sku_key,Line: Product Handle,Line: Variant Title,product_category,line_items,revenue,cogs,gross_profit,avg_unit_cost,has_cogs,margin_pct
0724999807814,clear-protein,500g Pack (20 Serv) / Peach,Clear Protein,654,45811.22727272727,14031.57,31779.657272727272,18.39,True,0.6937089260572289
LEAN-THA-1KG-V1,lean-protein,1 x 1kg Pack (25 servings) / Thai Milk Tea,Lean Protein,336,33209.52,6900.8,26308.72,18.16,True,0.7922041631435807
0724999807807,clear-protein,500g Pack (20 Serv) / White Grape,Clear Protein,425,28903.933333333334,9103.050000000001,19800.88333333333,18.39,True,0.6850584349534895
CLEAR-PEA-500G-V2,clear-protein,1 x 500g Pack (20 servings) / Peach,Clear Protein,273,27105.88,5498.610000000001,21607.27,18.39,True,0.7971432766617428
CLEAR-GRA-500G-V2,clear-protein,1 x 500g Pack (20 servings) / White Grape,Clear Protein,244,23701.77,4873.35,18828.420000000002,18.39,True,0.7943887734966629
LEAN-TAR-1KG-V1,lean-protein,1 x 1kg Pack (25 servings) / Taro,Lean Protein,259,20887.739999999998,5100.849999999999,15786.89,17.65,True,0.7557969411721901
0724999807821,lean-protein,1kg Pack (25 servings) / Thai Milk Tea,Lean Protein,304,19307.72818181818,7017.84,12289.88818181818,19.44,True,0.6365268904806417
CRE-UNF-250G-V1,micronized-creatine-monohydrate,1 x 250g Pack (50 servings),Other,234,11524.66,1353.69,10170.97,5.07,True,0.882539701822006
SOY-UNF-1KG-V1,soy-protein-isolate,1 x 1kg Pack (40 servings) / Unflavoured,Soy Protein,120,10465.02,677.04,9787.98,4.34,True,0.935304471467804
COL-UNF-300G-V1,collagen-glow,1 x 300g pack (30 servings),Collagen Glow,115,10269.25,1814.58,8454.67,11.86,True,0.8232996567422158
0724999807937,better-whey,1kg Pack (40 servings) / Cocoa Dinosaur,Other,152,10043.963333333333,4135.6,5908.363333333334,21.1,True,0.5882501894172586
0724999807814,clear-protein,1 x 500g Pack (20 servings) / Peach,Clear Protein,112,9284.11,2170.02,7114.09,18.39,True,0.7662651562723837
0724999807821,lean-protein,1 x 1kg Pack (25 servings) / Thai Milk Tea,Lean Protein,122,8327.43,2468.88,5858.549999999999,19.44,True,0.7035243766684318
0724999808606,plant-protein,480g Pack (16 servings) / Cocoa Dinosaur,Other,167,7805.8,1693.02,6112.78,6.09,True,0.7831074329344846
LEAN-POL-1KG-V1,lean-protein-peach-oolong-pre-order,1 x 1kg Pack (25 servings) / Peach Oolong,Lean Protein,85,7758.48,2347.45,5411.03,17.65,True,0.6974342912529259
0724999807890,better-whey,1kg Pack (40 servings) / Natural (Unflavoured),Other,97,7346.693939393939,2932.9,4413.79393939394,21.1,True,0.6007864184632213
0724999808613,plant-protein,480g Pack (16 servings) / Vanilla,Other,140,7150.635757575757,1624.3400000000001,5526.295757575757,6.74,True,0.7728397788575527
0724999807760,prime-whey-isolate,1kg Pack (40 servings) / Natural (Unflavoured),Other,86,6927.813636363637,3424.86,3502.953636363636,32.31,True,0.5056362396899454
0724999808507,collagen-glow,300g Pack (30 servings),Collagen Glow,143,6538.2,2453.1,4085.1,14.43,True,0.624804992199688
724999808507.0,collagen-glow,300g Pack,Collagen Glow,132,6485.016666666667,2943.72,3541.296666666667,14.43,True,0.5460736415480814
0724999808507,collagen-glow,300g Pack (30 servings) / Natural (Unflavoured),Collagen Glow,115,6037.539393939394,3015.87,3021.6693939393945,14.43,True,0.5004802779378315
0724999807814,clear-protein,500g Pack (20 servings) / Peach,Clear Protein,86,5874.76,1618.3200000000002,4256.44,18.39,True,0.7245300233541454
