first_order_sku,second_order_sku,transition_count,first_sku_customers,p_second_given_first
0724999808361|default,clear-protein|Peach,7,36,0.1944
0724999808361|default,collagen-glow|300g Pack (30 servings),7,36,0.1944
0724999808361|default,better-whey|Cocoa Dinosaur,6,36,0.1667
0724999808361|default,clear-protein|White Grape,6,36,0.1667
0724999808361|default,lean-protein|Thai Milk Tea,4,36,0.1111
0724999808361|default,0724999808361|default,3,36,0.0833
0724999808361|default,soy-protein-isolate|Natural (Unflavoured),3,36,0.0833
0724999808361|default,better-whey|Matchawhey,2,36,0.0556
0724999808361|default,plant-protein|Vanilla,2,36,0.0556
0724999808361|default,lean-protein|Taro,2,36,0.0556
0724999808361|default,plant-protein|Natural (Unflavoured),2,36,0.0556
0724999808361|default,prime-whey-isolate|Natural (Unflavoured),1,36,0.0278
0724999808361|default,better-whey|Vanilla (unsweetened),1,36,0.0278
0724999808361|default,pureburn-fat-burner-capsules|90 Tablets (90 servings),1,36,0.0278
0724999808361|default,prime-whey-isolate|Cocoa Dinosaur,1,36,0.0278
0724999808361|default,micronized-creatine-monohydrate|default,1,36,0.0278
0724999808361|default,better-whey|Natural (Unflavoured),1,36,0.0278
0724999808361|default,soy-protein-isolate|Unflavoured,1,36,0.0278
0724999810463|Thai Milk Tea,lean-protein|Thai Milk Tea,10,21,0.4762
0724999810463|Thai Milk Tea,clear-protein|Peach,8,21,0.381
0724999810463|Thai Milk Tea,lushprotein-clear-shaker|White,5,21,0.2381
0724999810463|Thai Milk Tea,0724999810470|Taro,4,21,0.1905
0724999810463|Thai Milk Tea,clear-protein|White Grape,4,21,0.1905
0724999810463|Thai Milk Tea,lean-protein|Taro,4,21,0.1905
0724999810463|Thai Milk Tea,0724999810463|Thai Milk Tea,2,21,0.0952
0724999810463|Thai Milk Tea,nan|default,1,21,0.0476
0724999810463|Thai Milk Tea,collagen-glow|300g,1,21,0.0476
0724999810463|Thai Milk Tea,micronized-creatine-monohydrate|250g (50 servings),1,21,0.0476
0724999810470|Taro,clear-protein|Peach,7,16,0.4375
0724999810470|Taro,lean-protein|Thai Milk Tea,7,16,0.4375
0724999810470|Taro,lean-protein|Taro,5,16,0.3125
0724999810470|Taro,clear-protein|White Grape,3,16,0.1875
0724999810470|Taro,lushprotein-clear-shaker|White,3,16,0.1875
0724999810470|Taro,0724999810463|Thai Milk Tea,2,16,0.125
0724999810470|Taro,0724999810470|Taro,2,16,0.125
0724999810470|Taro,collagen-glow|300g,1,16,0.0625
0724999810470|Taro,micronized-creatine-monohydrate|250g (50 servings),1,16,0.0625
better-whey|Cocoa Dinosaur,better-whey|Cocoa Dinosaur,38,90,0.4222
better-whey|Cocoa Dinosaur,nan|default,12,90,0.1333
better-whey|Cocoa Dinosaur,better-whey|Matchawhey,10,90,0.1111
better-whey|Cocoa Dinosaur,lean-protein|Thai Milk Tea,6,90,0.0667
better-whey|Cocoa Dinosaur,better-whey|Teh Tarik,5,90,0.0556
better-whey|Cocoa Dinosaur,micronized-creatine-monohydrate|default,4,90,0.0444
better-whey|Cocoa Dinosaur,clear-protein|Peach,4,90,0.0444
better-whey|Cocoa Dinosaur,better-whey|Mango,3,90,0.0333
better-whey|Cocoa Dinosaur,lushprotein-clear-shaker|default,3,90,0.0333
better-whey|Cocoa Dinosaur,better-whey|Unflavoured,3,90,0.0333
better-whey|Cocoa Dinosaur,0724999808361|default,2,90,0.0222
better-whey|Cocoa Dinosaur,lean-protein|Taro,2,90,0.0222
better-whey|Cocoa Dinosaur,better-whey|Natural (Unflavored),2,90,0.0222
better-whey|Cocoa Dinosaur,clear-protein|White Grape,2,90,0.0222
better-whey|Cocoa Dinosaur,prime-whey-isolate|1kg,2,90,0.0222
better-whey|Cocoa Dinosaur,better-whey|Natural (Unflavoured),2,90,0.0222
better-whey|Cocoa Dinosaur,collagen-glow|Unflavoured,2,90,0.0222
better-whey|Cocoa Dinosaur,0724999807951|Mango,2,90,0.0222
better-whey|Cocoa Dinosaur,plant-protein|480g,1,90,0.0111
better-whey|Cocoa Dinosaur,super-omega-3|60 Capsules,1,90,0.0111
better-whey|Cocoa Dinosaur,0724999808736|Genmai-Roasted Brown Rice,1,90,0.0111
better-whey|Cocoa Dinosaur,collagen-glow|300g Pack (30 servings),1,90,0.0111
better-whey|Cocoa Dinosaur,soy-protein-isolate|Natural (Unflavoured),1,90,0.0111
better-whey|Cocoa Dinosaur,multivitamin-vegan|90 capsules,1,90,0.0111
better-whey|Cocoa Dinosaur,plant-protein|Cocoa Dinosaur,1,90,0.0111
better-whey|Cocoa Dinosaur,plant-protein|Vanilla,1,90,0.0111
better-whey|Cocoa Dinosaur,green-tea-extract-capsules|60 Capsules (60 servings),1,90,0.0111
better-whey|Cocoa Dinosaur,pureburn-fat-burner-capsules|90 Tablets (90 servings),1,90,0.0111
better-whey|Cocoa Dinosaur,0724999807913|Vanilla,1,90,0.0111
better-whey|Cocoa Dinosaur,07249998080422|Teh Tarik,1,90,0.0111
better-whey|Cocoa Dinosaur,lushprotein-lean-protein-40g-single-serve|Taro,1,90,0.0111
better-whey|Cocoa Dinosaur,724999807913.0|Vanilla,1,90,0.0111
better-whey|Cocoa Dinosaur,7249998080422.0|Teh Tarik,1,90,0.0111
better-whey|Cocoa Dinosaur,724999807951.0|Mango,1,90,0.0111
better-whey|Cocoa Dinosaur,0724999809566|default,1,90,0.0111
better-whey|Cocoa Dinosaur,prime-whey-isolate|Cocoa Dinosaur,1,90,0.0111
better-whey|Cocoa Dinosaur,0724999808903|Vanilla (unsweetened),1,90,0.0111
better-whey|Cocoa Dinosaur,pureburn-fat-burner-capsules|90 Capsules (90 servings),1,90,0.0111
better-whey|Cocoa Dinosaur,lean-protein-peach-oolong-pre-order|Peach Oolong,1,90,0.0111
better-whey|Cocoa Dinosaur,micronized-creatine-monohydrate|250g (50 servings),1,90,0.0111
better-whey|Cocoa Dinosaur,collagen-glow|1 x 300g pack (30 servings),1,90,0.0111
better-whey|Matchawhey,better-whey|Matchawhey,13,34,0.3824
better-whey|Matchawhey,nan|default,5,34,0.1471
better-whey|Matchawhey,better-whey|Cocoa Dinosaur,5,34,0.1471
better-whey|Matchawhey,soy-protein-isolate|Unflavoured,2,34,0.0588
better-whey|Matchawhey,clear-protein|White Grape,2,34,0.0588
better-whey|Matchawhey,soy-protein-isolate|Natural (Unflavoured),2,34,0.0588
better-whey|Matchawhey,better-whey|Vanilla,2,34,0.0588
better-whey|Matchawhey,micronized-creatine-monohydrate|default,2,34,0.0588
better-whey|Matchawhey,better-whey|Natural (Unflavoured),2,34,0.0588
better-whey|Matchawhey,724999807913.0|Vanilla,2,34,0.0588
better-whey|Matchawhey,lushprotein-clear-shaker|default,2,34,0.0588
better-whey|Matchawhey,plant-protein|Cocoa Dinosaur,1,34,0.0294
better-whey|Matchawhey,better-whey|Genmai-Roasted Brown Rice,1,34,0.0294
better-whey|Matchawhey,better-whey|Vanilla (unsweetened),1,34,0.0294
better-whey|Matchawhey,lean-protein|Thai Milk Tea,1,34,0.0294
better-whey|Matchawhey,better-whey|Mango,1,34,0.0294
better-whey|Matchawhey,clear-protein|Peach,1,34,0.0294
better-whey|Matchawhey,724999808361.0|default,1,34,0.0294
better-whey|Matchawhey,0724999808705|Vanilla,1,34,0.0294
better-whey|Matchawhey,0724999808361|default,1,34,0.0294
better-whey|Matchawhey,724999807876.0|Natural (Unflavoured),1,34,0.0294
better-whey|Matchawhey,724999807913.0|Vanilla (Exp. Nov23),1,34,0.0294
better-whey|Matchawhey,micronized-creatine-monohydrate|1 x 250g Pack (50 servings),1,34,0.0294
better-whey|Matchawhey,collagen-glow|Unflavoured,1,34,0.0294
