,0724999807913|Vanilla,0724999807913|Vanilla (unsweetened),0724999807951|Mango,0724999808361|default,0724999808699|Belgian Choc,0724999808705|Vanilla,0724999808736|Genmai-Roasted Brown Rice,0724999808903|Vanilla,0724999809146|500g (40 servings),0724999809566|default,0724999810463|Thai Milk Tea,0724999810470|Taro,724999807777.0|1kg,724999807876.0|Natural (Unflavoured),724999807913.0|Vanilla,724999808361.0|default,724999808699.0|Belgian Choc,724999808705.0|Vanilla,724999808910.0|Teh Tarik,724999808941.0|Matchawhey,724999809146.0|500g (40 servings),BND-SS-MIX6-SHK-V1|6 Sachets Variety + 1 Shaker B,better-whey|Cocoa Dinosaur,better-whey|Genmai-Roasted Brown Rice,better-whey|Mango,better-whey|Matchawhey,better-whey|Natural (Unflavored),better-whey|Natural (Unflavoured),better-whey|Teh Tarik,better-whey|Unflavoured,better-whey|Vanilla,better-whey|Vanilla (Exp Nov23),better-whey|Vanilla (Expiry Sep 2024),better-whey|Vanilla (unsweetened),clear-protein-25g-single-sachet|Peach,clear-protein-25g-single-sachet|White Grape,clear-protein|Peach,clear-protein|White Grape,collagen-glow|1 x 300g pack (30 servings),collagen-glow|300g,collagen-glow|300g Pack,collagen-glow|300g Pack (30 servings),collagen-glow|Natural (Unflavoured),collagen-glow|Unflavoured,creatine-monohydrate-sachet|1 x 5g (1 servings),creatine-monohydrate-sachet|10 x 5g (10 servings) *Most Po,discovery-sampler|5 Sachets Variety,discovery-sampler|6 Sachets Variety,green-tea-extract-capsules|60 Capsules,green-tea-extract-capsules|60 Capsules (60 servings),lean-protein-peach-oolong-pre-order|Peach Oolong,lean-protein|Taro,lean-protein|Thai Milk Tea,lp-tote-bag-fuel-your-journey|default,lushprotein-clear-shaker|White,lushprotein-clear-shaker|default,lushprotein-lean-protein-40g-single-serve|Taro,lushprotein-lean-protein-40g-single-serve|Thai Milk Tea,lushprotein-logo-white-cap|default,micronized-creatine-monohydrate|1 x 250g Pack (50 servings),micronized-creatine-monohydrate|250g (50 serves),micronized-creatine-monohydrate|250g (50 servings),micronized-creatine-monohydrate|default,multivitamin-vegan|90 Capsules (30 servings),multivitamin-vegan|default,nan|default,plant-protein|480g,plant-protein|Cocoa Dinosaur,plant-protein|Natural (Unflavoured),plant-protein|Vanilla,prime-whey-isolate|1kg,prime-whey-isolate|Cocoa Dinosaur,prime-whey-isolate|Natural (Unflavoured),pureburn-fat-burner-capsules|90 Capsules (90 servings),pureburn-fat-burner-capsules|90 Tablets,pureburn-fat-burner-capsules|90 Tablets (90 servings),pureburn-fat-burner-capsules|90 capsules,soy-protein-isolate|Natural (Unflavoured),soy-protein-isolate|Unflavoured,super-omega-3|60 Capsules,super-omega-3|60 Softgels,super-omega-3|60 Softgels (60 servings),victory-tag-delivery|default
0724999807913|Vanilla,1.0000000000000002,0.19738550848793068,0.0,0.0,0.11664236870396087,0.05292561240249632,0.0657951694959769,0.0,0.0,0.04550157551932901,0.0,0.0,0.0,0.058321184351980436,0.08728715609439697,0.0,0.030261376633440123,0.0,0.0,0.05006261743217588,0.0,0.0,0.08438367882147811,0.0,0.0,0.01550807017330785,0.0,0.038426027846949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006900655593423542,0.007900018051561873,0.0,0.0,0.020088585092257697,0.0,0.04761904761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009287970209589214,0.007411068098220142,0.0,0.0,0.07072482449833388,0.0,0.0,0.0,0.0,0.03984095364447979,0.0,0.05065862196575853,0.0,0.0,0.04691756453222204,0.0,0.0,0.0,0.0,0.0,0.02865341275306264,0.026082026547865053,0.0,0.0,0.0,0.051434449987363975,0.0,0.0,0.0,0.04052204492365539,0.0,0.0
0724999807913|Vanilla (unsweetened),0.19738550848793068,1.0000000000000002,0.08362420100070908,0.0,0.08058229640253803,0.0,0.0,0.0,0.0,0.1257389226923863,0.0,0.0,0.0,0.08058229640253803,0.06030226891555273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04372230279968167,0.0,0.0,0.02142747821777417,0.0,0.026546593660094944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019069251784911846,0.010915443561199601,0.0,0.0,0.0,0.0,0.03289758474798845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012833175058483635,0.030719586345123145,0.0,0.0,0.09772038812426304,0.0,0.0,0.08058229640253803,0.0,0.05504818825631803,0.0,0.06999494499206371,0.0,0.0,0.009260847332207951,0.0,0.0,0.0,0.0,0.0,0.0,0.03603749850782236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06286946134619315,0.0
0724999807951|Mango,0.0,0.08362420100070908,1.0000000000000002,0.0,0.0,0.0,0.08362420100070908,0.07161148740394328,0.0,0.05783149319662403,0.0,0.0,0.0,0.0,0.05547001962252292,0.0,0.038461538461538464,0.049029033784546004,0.15384615384615385,0.06362847629757777,0.0,0.0,0.06703111502146483,0.0,0.0,0.13797289239745264,0.03883678186903087,0.07325794357582566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026311740579210877,0.05020373855055081,0.0,0.0,0.02553214605940827,0.0,0.060522753266880246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01180480411624714,0.02825790949501538,0.0,0.0,0.07191174652966195,0.0,0.0,0.2964997266644405,0.0,0.0,0.033883707378584864,0.06438598483954902,0.0,0.0,0.01703748109239964,0.0,0.019277164398874676,0.0,0.046225016352102424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043852900965351466,0.0,0.0,0.0,0.0,0.0
0724999808361|default,0.0,0.0,0.0,1.0000000000000004,0.053452248382484885,0.0,0.0,0.0,0.0,0.0,0.008247860988423226,0.0,0.0,0.0,0.0,0.026726124191242442,0.0,0.0,0.0,0.0,0.0,0.0,0.09667364890456637,0.026726124191242442,0.06546536707079773,0.0852802865422442,0.0,0.07043607250604991,0.015617376188860608,0.02721655269759087,0.04961389383568339,0.0,0.0,0.09701425001453319,0.0,0.0,0.14230249470757708,0.08688583371071959,0.00936585811581694,0.03779644730092272,0.01841149235796647,0.23958625754235077,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.018569533817705187,0.032539568672798426,0.025537695922762456,0.0611312049730192,0.053452248382484885,0.014538247283696279,0.012964074471043288,0.0,0.0,0.0,0.00662266178532522,0.0,0.012216944435630523,0.11607348488012054,0.025819888974716113,0.0,0.015357377920848781,0.0,0.04170288281141496,0.04681645887845223,0.049999999999999996,0.011470786693528088,0.06565321642986127,0.07171371656006362,0.0,0.0158113883008419,0.1042572070285374,0.0,0.08696263565463044,0.030323921743156138,0.0,0.018569533817705187,0.02085144140570748,0.0
0724999808699|Belgian Choc,0.11664236870396087,0.08058229640253803,0.0,0.053452248382484885,1.0,0.25928148942086576,0.0,0.0,0.07412493166611013,0.0,0.0,0.0,0.0,0.0,0.053452248382484885,0.0,0.037062465833055065,0.0472455591261534,0.0,0.0,0.0,0.0,0.012918559733220045,0.07142857142857144,0.0,0.01899342940993966,0.0,0.023531040266750586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008451542547285166,0.0,0.0,0.0,0.024603391565256146,0.02371560027256245,0.029160592175990218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009076667644828937,0.0,0.0,0.03464794643376186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03283545516515592,0.033149677206589796,0.0,0.0,0.0,0.03065696697424829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0724999808705|Vanilla,0.05292561240249632,0.0,0.0,0.0,0.25928148942086576,1.0,0.0,0.0,0.1345345587992625,0.0,0.0,0.0,0.06482037235521644,0.0,0.0,0.0,0.03363363969981562,0.0,0.0,0.0,0.0,0.0,0.04689360772322401,0.0,0.0,0.017236256333167308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015339299776947408,0.008780379160763444,0.0,0.0,0.02232721403445533,0.04304311312825917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04503773491110449,0.0,0.010323001737691675,0.032947766683012,0.0,0.0,0.03144249904852051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022348267517713433,0.0,0.016857391247472455,0.0,0.0,0.05564148840746572,0.0,0.0,0.0,0.0,0.0,0.05716619504750295,0.038348249442368525,0.0,0.0700140042014005,0.0,0.0,0.0
0724999808736|Genmai-Roasted Brown Rice,0.0657951694959769,0.0,0.08362420100070908,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06030226891555273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07287050466613612,0.0,0.0,0.10713739108887085,0.0422200330920749,0.05309318732018989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009534625892455923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03270349700838643,0.0,0.0,0.0,0.010958616215778212,0.07817631049941043,0.0,0.0,0.0,0.0,0.0,0.0,0.023331648330687904,0.0,0.0,0.018521694664415903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02383656473113981,0.0,0.0,0.0,0.0,0.0
0724999808903|Vanilla,0.0,0.0,0.07161148740394328,0.0,0.0,0.0,0.0,0.9999999999999998,0.07161148740394328,0.0,0.0,0.0,0.0,0.0,0.051639777949432225,0.0,0.03580574370197164,0.04564354645876383,0.07161148740394328,0.059234887775909226,0.04188539082916955,0.0,0.04992205762993178,0.0,0.0,0.03669879217087869,0.0,0.022733144649015782,0.0,0.03513641844631532,0.0,0.0,0.0,0.0,0.0,0.0,0.01632993161855452,0.009347427416193441,0.0,0.0,0.023769134427076417,0.0,0.02817180849095055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008768894029410938,0.0,0.00938439826880015,0.06694619270045783,0.0,0.0,0.06900655593423542,0.0,0.0,0.031544014893825585,0.059940089850262016,0.0,0.0,0.03172206342872576,0.0,0.0,0.0,0.0,0.029617443887954613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0724999809146|500g (40 servings),0.0,0.0,0.0,0.0,0.07412493166611013,0.1345345587992625,0.0,0.07161148740394328,1.0,0.0,0.022875450543583878,0.024610841494742637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0804373380257578,0.07412493166611013,0.0,0.0,0.0,0.02441931452527522,0.043314808182421,0.0,0.0,0.0,0.0,0.06726727939963124,0.0,0.0,0.008770580193070292,0.010040747710110163,0.0,0.0,0.07659643817822481,0.0,0.030261376633440123,0.031204323970714834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009419303165005126,0.0,0.010080460776296539,0.07191174652966195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051112443277198924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0724999809566|default,0.04550157551932901,0.1257389226923863,0.05783149319662403,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05572782125753529,0.0,0.0,0.028915746598312014,0.0,0.0,0.0,0.03382550457458692,0.0,0.05039462314023756,0.0,0.0,0.04445542244743871,0.029197858123689188,0.11015202290310473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01978141420187361,0.0,0.0,0.0,0.0,0.0,0.13650472655798704,0.046919408884858814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008874962836170935,0.014163041539502258,0.0,0.0,0.13515981960609363,0.0,0.0,0.16718346377260587,0.0,0.03806934938134405,0.025474090105633385,0.3227065958312141,0.0,0.0,0.006404469317237681,0.0,0.0,0.0,0.0,0.023918243661746993,0.08213785172900902,0.049844478627922684,0.0,0.0,0.0,0.0,0.049453535504684024,0.0,0.0,0.0,0.0,0.0
