decile,calendar_year,avg_cumulative_categories,n_customers_with_orders
D1,2022,1.28,116
D2,2022,1.12,85
D3,2022,1.1,152
D4,2022,,0
D5,2022,,0
D6,2022,1.0,4
D7,2022,,0
D8,2022,1.07,320
D9,2022,1.04,24
D10,2022,1.04,303
D1,2023,1.65,194
D2,2023,1.47,121
D3,2023,1.28,181
D4,2023,,0
D5,2023,,0
D6,2023,1.0,5
D7,2023,1.35,83
D8,2023,1.13,403
D9,2023,1.13,61
D10,2023,1.08,398
D1,2024,2.11,325
D2,2024,1.78,221
D3,2024,1.48,264
D4,2024,,0
D5,2024,,0
D6,2024,1.0,6
D7,2024,1.46,403
D8,2024,1.16,418
D9,2024,1.35,415
D10,2024,1.1,415
D1,2025,2.38,423
D2,2025,1.99,394
D3,2025,1.59,271
D4,2025,1.43,178
D5,2025,1.66,423
D6,2025,1.65,425
D7,2025,1.47,429
D8,2025,1.16,423
D9,2025,1.36,426
D10,2025,1.11,425
