calendar_year,category,pct_d1_ever_bought,n_d1_buyers,d1_pool_size
2022,Accessories,0.0023,1,429
2022,Clear Protein,0.0,0,429
2022,Collagen Glow,0.0186,8,429
2022,Lean Protein,0.0,0,429
2022,Other,0.0583,25,429
2022,Soy Protein,0.007,3,429
2022,Unknown,0.2611,112,429
2023,Accessories,0.0536,23,429
2023,Clear Protein,0.0,0,429
2023,Collagen Glow,0.0839,36,429
2023,Lean Protein,0.0,0,429
2023,Other,0.2517,108,429
2023,Soy Protein,0.0256,11,429
2023,Unknown,0.331,142,429
2024,Accessories,0.1632,70,429
2024,Clear Protein,0.1935,83,429
2024,Collagen Glow,0.1888,81,429
2024,Lean Protein,0.0932,40,429
2024,Other,0.4429,190,429
2024,Soy Protein,0.0769,33,429
2024,Unknown,0.4382,188,429
2025,Accessories,0.3054,131,429
2025,Clear Protein,0.345,148,429
2025,Collagen Glow,0.2401,103,429
2025,Lean Protein,0.3147,135,429
2025,Other,0.5711,245,429
2025,Soy Protein,0.0909,39,429
2025,Unknown,0.4825,207,429
