decile,calendar_year,avg_cumulative_categories,n_customers_with_orders
D1,2022,1.2,189
D2,2022,1.12,102
D3,2022,1.12,77
D4,2022,1.1,60
D5,2022,1.19,91
D6,2022,1.12,51
D7,2022,1.05,76
D8,2022,1.01,103
D9,2022,1.0,134
D10,2022,1.0,121
D1,2023,1.5,235
D2,2023,1.42,164
D3,2023,1.3,111
D4,2023,1.29,103
D5,2023,1.31,143
D6,2023,1.31,101
D7,2023,1.16,121
D8,2023,1.05,172
D9,2023,1.01,175
D10,2023,1.0,121
D1,2024,1.9,332
D2,2024,1.78,285
D3,2024,1.66,204
D4,2024,1.54,241
D5,2024,1.48,266
D6,2024,1.43,199
D7,2024,1.19,241
D8,2024,1.12,338
D9,2024,1.05,237
D10,2024,1.0,124
D1,2025,2.21,422
D2,2025,1.98,394
D3,2025,1.81,351
D4,2025,1.63,356
D5,2025,1.58,380
D6,2025,1.39,356
D7,2025,1.21,367
D8,2025,1.16,396
D9,2025,1.21,371
D10,2025,1.59,424
