calendar_year,category,pct_d1_ever_bought,n_d1_buyers,d1_pool_size
2022,Accessories,0.0023,1,429
2022,Clear Protein,0.0,0,429
2022,Collagen Glow,0.021,9,429
2022,Lean Protein,0.0,0,429
2022,Other,0.0746,32,429
2022,Soy Protein,0.007,3,429
2022,Unknown,0.4219,181,429
2023,Accessories,0.0303,13,429
2023,Clear Protein,0.0023,1,429
2023,Collagen Glow,0.0746,32,429
2023,Lean Protein,0.0,0,429
2023,Other,0.2401,103,429
2023,Soy Protein,0.0163,7,429
2023,Unknown,0.4592,197,429
2024,Accessories,0.0979,42,429
2024,Clear Protein,0.1702,73,429
2024,Collagen Glow,0.1538,66,429
2024,Lean Protein,0.0839,36,429
2024,Other,0.3753,161,429
2024,Soy Protein,0.0536,23,429
2024,Unknown,0.5385,231,429
2025,Accessories,0.2261,97,429
2025,Clear Protein,0.3263,140,429
2025,Collagen Glow,0.2075,89,429
2025,Lean Protein,0.2774,119,429
2025,Other,0.5035,216,429
2025,Soy Protein,0.0653,28,429
2025,Unknown,0.5688,244,429
