revenue_slice,slice_rank,n_customers,pct_of_pool,revenue_in_slice,rev_min,rev_max,rev_mean,rev_median
0-10%,1,21,0.0048951048951048955,54946.38636363636,1500.99696969697,5542.969999999999,2616.494588744589,2010.060606060606
10-20%,2,59,0.013752913752913752,54797.22696969697,709.64,1411.24,928.7665588084232,875.0545454545454
20-30%,3,102,0.023776223776223775,55678.40090909091,442.0969696969697,697.78,545.8666755793226,540.97
30-40%,4,156,0.03636363636363636,55257.09333333334,288.95606060606065,441.81,354.21213675213676,349.01666666666665
40-50%,5,227,0.052913752913752915,55205.51515151515,211.55,287.64,243.19610198905355,239.23333333333335
50-60%,6,306,0.07132867132867132,55127.95181818182,153.71818181818182,211.48000000000002,180.15670528817589,178.75121212121212
60-70%,7,418,0.09743589743589744,55300.753030303036,116.52,153.64,132.29845222560536,129.72
70-80%,8,538,0.12540792540792542,55117.13909090909,87.87575757575758,116.43,102.44821392362284,102.3821212121212
80-90%,9,768,0.17902097902097902,55207.20606060606,60.39,87.84,71.88438289141415,70.86454545454545
90-100%,10,1694,0.39487179487179486,55243.936363636356,3.95,60.37,32.61153268219383,32.455
