month,orders,revenue
2019-12,3,291.52
2020-01,235,62236.72
2020-02,140,32227.98
2020-03,282,54068.63
2020-04,190,33339.21
2020-05,216,38466.54
2020-06,331,96797.27
2020-07,152,24247.47
2020-08,341,92008.07
2020-09,169,53185.75
2020-10,131,43995.53
2020-11,466,260805.69
2020-12,194,58347.12
2021-01,589,123730.73
2021-02,414,109330.87
2021-03,573,165157.53
2021-04,377,101044.16
2021-05,396,124670.46
2021-06,534,174156.4
2021-07,221,46130.46
2021-08,477,155116.9
2021-09,497,122801.64
2021-10,682,174056.33
2021-11,952,426671.86
2021-12,547,139412.19
2022-01,347,95403.17
2022-02,363,109695.17
2022-03,319,168242.27
2022-04,364,150974.85
2022-05,283,105510.70999999999
2022-06,273,104967.13
2022-07,694,525476.48
2022-08,296,152534.7
2022-09,231,54462.83
2022-10,145,36560.24
2022-11,268,55030.44
2022-12,127,22502.96
2023-01,194,39297.85
2023-02,169,31058.74
2023-03,212,31748.94
2023-04,161,27823.24
2023-05,191,34179.19
2023-06,179,26954.66
2023-07,209,29479.96
2023-08,171,25452.67
2023-09,210,28259.81
2023-10,156,21400.57
2023-11,265,52272.72
2023-12,136,20184.5
2024-01,160,24501.28
2024-02,162,23139.32
2024-03,288,41305.3
2024-04,322,42552.72
2024-05,414,61924.92
2024-06,311,41528.21
2024-07,781,138167.11
2024-08,521,48799.99
2024-09,424,59236.28
2024-10,300,28967.71
2024-11,366,59549.57
2024-12,212,25023.36
2025-01,146,18594.36
2025-02,192,18556.329999999998
2025-03,335,24839.62
2025-04,637,29256.76
2025-05,681,33381.44
2025-06,654,34388.55
2025-07,715,43344.79
2025-08,635,34922.91
2025-09,566,52343.6
2025-10,605,47296.57
2025-11,859,60014.03
2025-12,382,35957.21
2026-01,472,44351.09
2026-02,594,56861.25
2026-03,544,83002.14
