cohort_month,cohort_size,repeat_in_90d,repeat_any_time,retention_90d,retention_ever
2019-12,3,0,0,0.0,0.0
2020-01,202,75,152,0.3712871287128713,0.7524752475247525
2020-02,92,30,58,0.32608695652173914,0.6304347826086957
2020-03,174,62,112,0.3563218390804598,0.6436781609195402
2020-04,121,43,68,0.35537190082644626,0.5619834710743802
2020-05,128,34,70,0.265625,0.546875
2020-06,180,45,106,0.25,0.5888888888888889
2020-07,102,22,42,0.21568627450980393,0.4117647058823529
2020-08,182,35,67,0.19230769230769232,0.36813186813186816
2020-09,91,18,33,0.1978021978021978,0.3626373626373626
2020-10,90,19,31,0.2111111111111111,0.34444444444444444
2020-11,216,53,101,0.24537037037037038,0.4675925925925926
2020-12,118,32,56,0.2711864406779661,0.4745762711864407
2021-01,393,121,171,0.30788804071246817,0.4351145038167939
2021-02,245,60,99,0.24489795918367346,0.40408163265306124
2021-03,323,91,136,0.28173374613003094,0.42105263157894735
2021-04,203,59,96,0.29064039408866993,0.4729064039408867
2021-05,178,53,87,0.29775280898876405,0.4887640449438202
2021-06,248,76,118,0.3064516129032258,0.47580645161290325
2021-07,128,34,50,0.265625,0.390625
2021-08,199,43,70,0.21608040201005024,0.35175879396984927
2021-09,255,66,90,0.25882352941176473,0.35294117647058826
2021-10,372,84,128,0.22580645161290322,0.34408602150537637
2021-11,446,109,156,0.24439461883408073,0.34977578475336324
2021-12,344,67,101,0.19476744186046513,0.2936046511627907
2022-01,181,36,60,0.19889502762430938,0.3314917127071823
2022-02,185,45,70,0.24324324324324326,0.3783783783783784
2022-03,97,33,45,0.3402061855670103,0.4639175257731959
2022-04,111,30,49,0.2702702702702703,0.44144144144144143
2022-05,107,30,45,0.2803738317757009,0.4205607476635514
2022-06,105,23,36,0.21904761904761905,0.34285714285714286
2022-07,228,66,86,0.2894736842105263,0.37719298245614036
2022-08,126,25,44,0.1984126984126984,0.3492063492063492
2022-09,78,11,22,0.14102564102564102,0.28205128205128205
2022-10,59,13,21,0.22033898305084745,0.3559322033898305
2022-11,114,15,37,0.13157894736842105,0.32456140350877194
2022-12,71,13,21,0.18309859154929578,0.29577464788732394
2023-01,89,10,19,0.11235955056179775,0.21348314606741572
2023-02,63,13,23,0.20634920634920634,0.36507936507936506
2023-03,137,28,42,0.20437956204379562,0.30656934306569344
2023-04,45,14,17,0.3111111111111111,0.37777777777777777
2023-05,48,9,20,0.1875,0.4166666666666667
2023-06,61,6,12,0.09836065573770492,0.19672131147540983
2023-07,87,13,22,0.14942528735632185,0.25287356321839083
2023-08,73,10,19,0.136986301369863,0.2602739726027397
2023-09,96,13,21,0.13541666666666666,0.21875
2023-10,55,7,10,0.12727272727272726,0.18181818181818182
2023-11,82,18,31,0.21951219512195122,0.3780487804878049
2023-12,37,8,19,0.21621621621621623,0.5135135135135135
2024-01,54,10,19,0.18518518518518517,0.35185185185185186
2024-02,57,13,22,0.22807017543859648,0.38596491228070173
2024-03,111,35,53,0.3153153153153153,0.4774774774774775
2024-04,148,42,54,0.28378378378378377,0.36486486486486486
2024-05,182,61,78,0.33516483516483514,0.42857142857142855
2024-06,154,36,52,0.23376623376623376,0.33766233766233766
2024-07,385,58,87,0.15064935064935064,0.22597402597402597
2024-08,315,37,71,0.11746031746031746,0.2253968253968254
2024-09,230,47,67,0.20434782608695654,0.29130434782608694
2024-10,141,28,46,0.19858156028368795,0.3262411347517731
2024-11,145,29,41,0.2,0.2827586206896552
2024-12,93,20,33,0.21505376344086022,0.3548387096774194
2025-01,53,12,15,0.22641509433962265,0.2830188679245283
2025-02,69,15,20,0.21739130434782608,0.2898550724637681
2025-03,139,29,34,0.20863309352517986,0.2446043165467626
2025-04,420,78,109,0.18571428571428572,0.25952380952380955
2025-05,425,65,83,0.15294117647058825,0.1952941176470588
2025-06,362,70,83,0.19337016574585636,0.2292817679558011
2025-07,391,63,86,0.16112531969309463,0.21994884910485935
2025-08,332,51,58,0.1536144578313253,0.1746987951807229
2025-09,303,64,77,0.21122112211221122,0.25412541254125415
2025-10,364,66,75,0.1813186813186813,0.20604395604395603
2025-11,494,91,103,0.18421052631578946,0.20850202429149797
2025-12,172,28,29,0.16279069767441862,0.1686046511627907
2026-01,224,33,33,0.14732142857142858,0.14732142857142858
