slice_dimension,slice_value,customers,repeaters,avg_orders,avg_revenue,repeat_rate
First Product Category,Unknown,6908,2808,2.337434858135495,336.05437028596117,0.4064852345107122
First Product Category,Other,2502,629,1.8689048760991207,139.25705532543662,0.2513988808952838
First Product Category,Clear Protein,1550,349,1.4716129032258065,109.85963903337979,0.22516129032258064
First Product Category,Lean Protein,1324,307,1.444108761329305,102.06978394214045,0.23187311178247735
First Product Category,Accessories,696,154,1.3951149425287357,69.11259230233368,0.22126436781609196
First Product Category,Collagen Glow,439,137,1.9088838268792712,130.11566922068062,0.3120728929384966
First Product Category,Soy Protein,361,75,1.4542936288088644,89.80903970452448,0.2077562326869806
Acquisition Channel,Direct / Organic,6920,2320,1.984393063583815,198.0740572535743,0.3352601156069364
Acquisition Channel,Subscription,4275,1747,2.270409356725146,342.6816357965621,0.40865497076023394
Acquisition Channel,Marketplace,2126,306,1.5376293508936971,115.23031699877419,0.14393226716839136
Acquisition Channel,Paid Social,382,74,1.4083769633507854,71.27526178010471,0.193717277486911
Acquisition Channel,Email,48,6,1.375,49.70916666666667,0.125
Acquisition Channel,Affiliate,26,5,1.3461538461538463,94.23346153846154,0.19230769230769232
Acquisition Channel,Paid Search,3,1,1.3333333333333333,90.8,0.3333333333333333
Store (Country),SG,8637,2354,1.7927521130022,216.9166523168468,0.27254833854347577
Store (Country),MY,5142,2105,2.307467911318553,240.98506699355784,0.4093737845196422
Store (Country),HK,1,0,1.0,297.4426229508197,0.0
Ever Subscribed,False,12685,3644,1.7363027197477336,199.5179346745171,0.2872684272763106
Ever Subscribed,True,1095,815,4.863013698630137,531.5678372768784,0.7442922374429224
First Order Discounted,False,7554,2202,1.733121525019857,202.7868959250969,0.2915011914217633
First Order Discounted,True,6226,2257,2.2900738837134598,253.95110365342907,0.3625120462576293
