customer_id,R,F,M,RFM_score,segment,total_orders,total_revenue,recency_days,first_product_cat,first_channel,ever_subscribed
6327387259135,2,1,4,214,Hibernating,1,1693.12,1401,Unknown,Subscription,False
6327388733695,3,3,4,334,Loyal,2,336.01,727,Unknown,Subscription,False
6327388799231,1,4,3,143,At Risk,3,93.07,1637,Unknown,Subscription,False
6327389520127,1,1,1,111,Hibernating,1,29.0,1883,Unknown,Subscription,False
6327390699775,1,3,4,134,At Risk,2,492.98,1978,Unknown,Subscription,False
6327390765311,2,1,4,214,Hibernating,1,972.7,1339,Unknown,Subscription,False
6327391224063,1,1,4,114,Hibernating,1,219.8,2243,Unknown,Subscription,False
6327391256831,1,1,4,114,Hibernating,1,468.0,1665,Unknown,Subscription,False
6327391715583,2,4,3,243,At Risk,4,116.72,1498,Unknown,Subscription,False
6327391748351,1,1,2,112,Hibernating,1,57.0,1940,Unknown,Subscription,False
6327391912191,1,3,4,134,At Risk,2,264.01,1665,Unknown,Subscription,False
6327391944959,4,4,4,444,Champions,70,13000.16,83,Unknown,Subscription,True
6327391977727,2,3,4,234,At Risk,2,211.97,1211,Unknown,Subscription,False
6327392305407,4,4,4,444,Champions,6,643.28,86,Unknown,Subscription,True
6327392436479,4,4,4,444,Champions,10,991.37,132,Unknown,Subscription,False
6327393026303,1,1,2,112,Hibernating,1,33.81,2063,Unknown,Subscription,False
6327393517823,1,3,2,132,At Risk,2,58.0,1877,Unknown,Subscription,False
6327393583359,2,4,4,244,At Risk,7,1118.7969696969697,1590,Unknown,Direct / Organic,False
6327393747199,1,4,4,144,At Risk,4,1483.3999999999999,2063,Unknown,Subscription,False
6327393779967,3,4,4,344,Loyal,12,1883.34,641,Unknown,Subscription,False
6327394173183,1,1,2,112,Hibernating,1,65.78,1828,Unknown,Subscription,False
6327395090687,2,4,4,244,At Risk,10,742.1800000000001,1487,Unknown,Subscription,False
6327395713279,2,4,4,244,At Risk,3,490.13,1520,Unknown,Subscription,False
6327395877119,2,3,3,233,At Risk,2,120.36000000000001,1536,Unknown,Subscription,False
6327396139263,1,1,1,111,Hibernating,1,19.0,1834,Unknown,Subscription,False
6327396303103,2,3,3,233,At Risk,2,139.44,1470,Unknown,Subscription,False
6327396696319,3,4,4,344,Loyal,6,432.58,517,Unknown,Subscription,True
6327397253375,1,1,1,111,Hibernating,1,23.9,1624,Unknown,Subscription,False
6327397286143,1,1,3,113,Hibernating,1,114.27272727272728,2237,Unknown,Direct / Organic,False
6327397449983,1,1,1,111,Hibernating,1,29.0,1654,Unknown,Subscription,False
6327398367487,1,1,4,114,Hibernating,1,1052.46,1784,Unknown,Subscription,False
6327398400255,2,1,3,213,Hibernating,1,150.97,1557,Unknown,Subscription,False
6327398498559,2,4,4,244,At Risk,3,2278.6,1459,Unknown,Subscription,False
6327398531327,1,1,3,113,Hibernating,1,118.94,1686,Unknown,Subscription,False
6327398662399,1,1,3,113,Hibernating,1,146.08,1884,Unknown,Subscription,False
6327399678207,2,4,4,244,At Risk,3,156.19,1311,Unknown,Subscription,False
6327399940351,2,1,4,214,Hibernating,1,648.91,1410,Unknown,Subscription,False
6327400726783,1,1,4,114,Hibernating,1,742.77,1958,Unknown,Subscription,False
6327401185535,1,1,3,113,Hibernating,1,73.9,2159,Unknown,Subscription,False
6327401349375,1,1,3,113,Hibernating,1,66.9,2107,Unknown,Subscription,False
6327401611519,2,4,4,244,At Risk,4,283.05,1373,Unknown,Subscription,False
6327401644287,2,1,1,211,Hibernating,1,24.4,1532,Unknown,Subscription,False
6327401709823,2,4,4,244,At Risk,3,363.04,1122,Unknown,Subscription,False
6327402201343,4,4,4,444,Champions,15,12204.525757575759,136,Unknown,Direct / Organic,False
6327403970815,1,1,2,112,Hibernating,1,50.9,2117,Unknown,Subscription,False
6327404921087,2,3,4,234,At Risk,2,361.09000000000003,1043,Unknown,Subscription,False
6327404986623,2,3,4,234,At Risk,2,1952.26,1514,Unknown,Subscription,False
6327405117695,1,1,2,112,Hibernating,1,59.92,1824,Unknown,Subscription,False
6327405347071,1,1,1,111,Hibernating,1,23.9,1936,Unknown,Subscription,False
6327405969663,4,4,4,444,Champions,6,564.0,151,Unknown,Subscription,False
6327406133503,1,1,4,114,Hibernating,1,177.7,2101,Unknown,Subscription,False
6327406166271,2,3,3,233,At Risk,2,113.78999999999999,1391,Unknown,Subscription,False
6327406199039,2,4,4,244,At Risk,4,610.82,1089,Other,Subscription,False
6327406264575,3,1,2,312,Promising,1,30.31,563,Other,Subscription,False
6327406756095,2,4,4,244,At Risk,4,9526.0,1536,Unknown,Subscription,False
6327406952703,2,4,4,244,At Risk,3,162.57999999999998,1396,Unknown,Subscription,False
6327407018239,1,1,2,112,Hibernating,1,29.9,1774,Unknown,Subscription,False
6327407149311,3,4,4,344,Loyal,11,1108.4454545454546,549,Unknown,Direct / Organic,False
6327407247615,2,4,4,244,At Risk,3,200.3,1261,Unknown,Subscription,False
6327407575295,1,3,4,134,At Risk,2,207.60000000000002,2040,Unknown,Subscription,False
6327407739135,1,4,4,144,At Risk,8,843.260606060606,1909,Unknown,Direct / Organic,False
6327500570879,1,3,4,134,At Risk,2,321.2,1631,Unknown,Subscription,False
6327500898559,2,4,4,244,At Risk,3,262.35,1264,Unknown,Subscription,False
6327501029631,2,4,4,244,At Risk,3,1839.49,1479,Unknown,Subscription,False
6327501881599,2,4,4,244,At Risk,7,4696.03,1374,Unknown,Subscription,False
6327501979903,1,1,2,112,Hibernating,1,32.9,1910,Unknown,Subscription,False
6327503421695,3,4,4,344,Loyal,5,1998.56,517,Unknown,Subscription,True
6327503552767,2,1,3,213,Hibernating,1,132.81,1186,Other,Subscription,False
6327503880447,3,4,4,344,Loyal,6,745.12,517,Unknown,Subscription,False
6327504011519,4,1,3,413,New Customers,1,74.0,127,Clear Protein,Direct / Organic,False
6327504240895,1,1,1,111,Hibernating,1,21.91,2148,Unknown,Subscription,False
6327504765183,3,4,4,344,Loyal,4,444.5,638,Unknown,Subscription,False
6327505125631,1,1,2,112,Hibernating,1,58.91,1627,Unknown,Subscription,False
6327505191167,2,3,3,233,At Risk,2,108.06,1374,Unknown,Subscription,False
6327505256703,1,1,2,112,Hibernating,1,52.85,1855,Unknown,Subscription,False
6327505322239,3,3,4,334,Loyal,2,160.36,688,Other,Subscription,False
6327505355007,3,1,2,312,Promising,1,41.93,606,Clear Protein,Subscription,False
6327506272511,2,4,4,244,At Risk,8,336.9,1372,Unknown,Subscription,False
6327506895103,1,4,4,144,At Risk,3,215.12,1633,Unknown,Subscription,False
6327507124479,2,1,4,214,Hibernating,1,215.79,1612,Unknown,Subscription,False
6327507255551,2,1,1,211,Hibernating,1,9.9,1582,Unknown,Subscription,False
6327507321087,1,1,2,112,Hibernating,1,60.0,1925,Unknown,Subscription,False
6327507452159,2,1,3,213,Hibernating,1,83.11,1519,Unknown,Subscription,False
6327507648767,1,4,4,144,At Risk,3,357.51,1624,Unknown,Subscription,False
6327507943679,1,1,3,113,Hibernating,1,125.01,1953,Unknown,Subscription,False
6327508173055,1,1,2,112,Hibernating,1,35.5,1701,Unknown,Subscription,False
6327508369663,1,1,1,111,Hibernating,1,29.0,1629,Unknown,Subscription,False
6327509319935,2,4,4,244,At Risk,3,642.65,1382,Unknown,Subscription,False
6327509451007,1,1,4,114,Hibernating,1,181.03,2065,Unknown,Subscription,False
6327509516543,3,4,4,344,Loyal,7,620.2,318,Unknown,Subscription,False
6327509713151,2,1,3,213,Hibernating,1,121.25,1485,Unknown,Subscription,False
6327509942527,1,4,3,143,At Risk,4,99.94848484848485,1769,Unknown,Direct / Organic,False
6327509975295,1,4,4,144,At Risk,3,409.54999999999995,1980,Unknown,Subscription,False
6327510335743,2,1,3,213,Hibernating,1,116.43,1453,Unknown,Subscription,False
6327510434047,1,3,4,134,At Risk,2,1027.52,1983,Unknown,Subscription,False
6327510892799,1,1,2,112,Hibernating,1,57.8,1795,Unknown,Subscription,False
6327510958335,1,1,3,113,Hibernating,1,71.4,2303,Unknown,Subscription,False
6327511089407,1,4,4,144,At Risk,3,289.8,1656,Unknown,Subscription,False
6327511122175,1,3,4,134,At Risk,2,329.84000000000003,1633,Unknown,Subscription,False
6327511515391,3,4,4,344,Loyal,6,2013.8060606060606,519,Unknown,Direct / Organic,False
6327511548159,2,4,4,244,At Risk,4,1476.87,1359,Unknown,Subscription,False
6327511810303,2,3,4,234,At Risk,2,165.56,1312,Unknown,Subscription,False
6327511941375,1,1,2,112,Hibernating,1,48.0,1857,Unknown,Subscription,False
6327512137983,2,1,2,212,Hibernating,1,57.96,1311,Other,Subscription,False
6327512826111,2,4,4,244,At Risk,4,323.13,1235,Unknown,Subscription,False
6327513678079,1,4,4,144,At Risk,3,181.70000000000002,2109,Unknown,Subscription,False
6327514235135,3,4,4,344,Loyal,19,5083.46,393,Unknown,Subscription,False
6327514267903,2,4,4,244,At Risk,3,263.85,1606,Unknown,Subscription,False
6327514726655,1,1,3,113,Hibernating,1,119.56,1727,Unknown,Subscription,False
6327514824959,2,1,1,211,Hibernating,1,23.9,1602,Unknown,Subscription,False
6327514857727,1,1,2,112,Hibernating,1,44.93,1707,Unknown,Subscription,False
6327515152639,3,4,4,344,Loyal,3,154.88,363,Unknown,Subscription,True
6327515218175,1,1,3,113,Hibernating,1,84.0,1861,Unknown,Subscription,False
6327515349247,1,3,3,133,At Risk,2,69.53999999999999,2067,Unknown,Subscription,False
6327515644159,2,1,1,211,Hibernating,1,16.8,1584,Unknown,Subscription,False
6327515775231,1,3,4,134,At Risk,2,687.88,1619,Unknown,Subscription,False
6327515873535,2,4,4,244,At Risk,3,184.41,1279,Unknown,Subscription,False
6327516889343,4,4,4,444,Champions,3,161.73,290,Other,Subscription,True
6327516987647,2,3,4,234,At Risk,2,453.58,1493,Unknown,Subscription,False
6327517053183,2,1,3,213,Hibernating,1,82.61,863,Other,Subscription,False
6327517413631,2,1,2,212,Hibernating,1,57.09,1445,Unknown,Subscription,False
6327519084799,2,1,3,213,Hibernating,1,91.71,1291,Other,Subscription,False
6327519903999,1,1,2,112,Hibernating,1,29.9,1916,Unknown,Subscription,False
6327520002303,2,4,4,244,At Risk,6,884.62,1599,Unknown,Subscription,False
6327520657663,3,4,4,344,Loyal,5,1297.86,516,Unknown,Subscription,False
6327520985343,1,1,1,111,Hibernating,1,14.0,1687,Unknown,Subscription,False
6327521149183,2,1,1,211,Hibernating,1,9.9,1532,Unknown,Subscription,False
6327521280255,1,1,3,113,Hibernating,1,94.0,1716,Unknown,Subscription,False
6327522230527,2,1,4,214,Hibernating,1,959.9,1339,Unknown,Subscription,False
6327522263295,1,4,4,144,At Risk,5,194.93,1856,Unknown,Subscription,False
6327522361599,4,4,4,444,Champions,10,599.82,163,Unknown,Subscription,True
6327522984191,1,4,4,144,At Risk,5,942.3,2158,Unknown,Subscription,False
6327523115263,1,3,4,134,At Risk,2,242.9,2093,Unknown,Subscription,False
6327523148031,2,1,4,214,Hibernating,1,275.09,1123,Other,Subscription,False
6327523279103,1,4,4,144,At Risk,4,270.7,2132,Unknown,Subscription,False
6327523410175,1,1,1,111,Hibernating,1,23.9,1618,Unknown,Subscription,False
6327523442943,1,1,4,114,Hibernating,1,453.6,1843,Unknown,Subscription,False
6327523705087,2,4,3,243,At Risk,3,147.84,1033,Unknown,Subscription,True
6327524262143,1,1,3,113,Hibernating,1,96.9,2019,Unknown,Subscription,False
6327524327679,1,4,4,144,At Risk,7,1432.0,1704,Unknown,Subscription,False
6327524557055,2,1,2,212,Hibernating,1,54.39,1492,Unknown,Subscription,False
6327524688127,2,1,3,213,Hibernating,1,94.89,1491,Unknown,Subscription,False
6327525867775,1,1,1,111,Hibernating,1,26.1,1628,Unknown,Subscription,False
6327526359295,2,4,4,244,At Risk,4,413.84000000000003,1585,Unknown,Subscription,False
6327526457599,3,4,4,344,Loyal,11,3521.02,518,Unknown,Subscription,False
6327526588671,2,3,4,234,At Risk,2,285.7,816,Unknown,Subscription,False
6327526916351,1,1,3,113,Hibernating,1,107.0,1626,Unknown,Subscription,False
6327527047423,1,1,2,112,Hibernating,1,45.22,1977,Unknown,Subscription,False
6327527276799,2,4,4,244,At Risk,11,3879.7606060606063,888,Unknown,Direct / Organic,False
6327527604479,1,4,4,144,At Risk,4,169.7,1677,Unknown,Subscription,False
6327527702783,1,1,2,112,Hibernating,1,38.05,1822,Unknown,Subscription,False
6327528030463,2,4,4,244,At Risk,4,1832.05,1505,Unknown,Subscription,False
6327528358143,2,3,2,232,At Risk,2,57.989999999999995,1177,Unknown,Subscription,False
6327528882431,1,1,4,114,Hibernating,1,220.8,2232,Unknown,Subscription,False
6327529341183,3,4,4,344,Loyal,10,1281.56,641,Unknown,Subscription,False
6327529406719,3,4,4,344,Loyal,5,566.0,589,Unknown,Subscription,True
6327529472255,1,3,4,134,At Risk,2,197.8,2075,Unknown,Subscription,False
6327529832703,3,4,4,344,Loyal,7,2648.53,548,Unknown,Subscription,False
6327530193151,4,1,2,412,New Customers,1,53.91,271,Other,Subscription,True
6327530422527,2,3,4,234,At Risk,2,385.97,1483,Unknown,Subscription,False
6327530881279,3,4,4,344,Loyal,5,334.22727272727275,639,Unknown,Subscription,False
6327531176191,3,4,4,344,Loyal,5,549.3199999999999,428,Clear Protein,Subscription,True
6327531405567,1,1,3,113,Hibernating,1,101.9,2127,Unknown,Subscription,False
6327531602175,1,4,4,144,At Risk,3,1631.65,1634,Unknown,Subscription,False
6327531634943,1,3,4,134,At Risk,2,1441.2,2030,Unknown,Subscription,False
6327531700479,1,1,3,113,Hibernating,1,119.9,1798,Unknown,Subscription,False
6327532126463,2,4,4,244,At Risk,5,539.1727272727273,887,Unknown,Subscription,False
6327532945663,3,4,4,344,Loyal,7,544.49,516,Unknown,Subscription,False
6327532978431,1,1,3,113,Hibernating,1,80.5,2013,Unknown,Subscription,False
6327541498111,3,4,4,344,Loyal,8,861.8499999999999,669,Unknown,Subscription,False
6327542153471,1,4,4,144,At Risk,4,322.22,1854,Unknown,Subscription,False
6327543038207,2,1,3,213,Hibernating,1,95.1,1609,Unknown,Subscription,False
6327543431423,2,4,4,244,At Risk,15,1895.8,1614,Unknown,Subscription,False
6327544021247,3,1,2,312,Promising,1,32.36,520,Other,Subscription,True
6327544250623,2,1,1,211,Hibernating,1,23.9,1614,Unknown,Subscription,False
6327544348927,1,4,4,144,At Risk,4,2112.45,1954,Unknown,Subscription,False
6327544479999,2,4,4,244,At Risk,4,312.82,1612,Unknown,Subscription,False
6327544709375,2,1,2,212,Hibernating,1,43.99,1378,Unknown,Subscription,False
6327546151167,4,4,4,444,Champions,7,2387.9706060606063,284,Unknown,Subscription,True
6327547429119,1,1,1,111,Hibernating,1,23.9,1623,Unknown,Subscription,False
6327547461887,2,1,1,211,Hibernating,1,9.9,1575,Unknown,Subscription,False
6327547527423,1,3,4,134,At Risk,2,537.71,1624,Unknown,Subscription,False
6327548281087,2,1,1,211,Hibernating,1,23.9,1611,Unknown,Subscription,False
6327548379391,1,4,4,144,At Risk,4,1578.72,1979,Unknown,Subscription,False
6327548575999,1,1,4,114,Hibernating,1,197.9,2284,Unknown,Subscription,False
6327548903679,2,3,4,234,At Risk,2,173.89999999999998,1122,Other,Subscription,False
6327549427967,2,3,3,233,At Risk,2,100.22999999999999,1460,Unknown,Subscription,False
6327549526271,1,1,4,114,Hibernating,1,169.9,2255,Unknown,Subscription,False
6327549853951,2,3,4,234,At Risk,2,233.53000000000003,1598,Unknown,Subscription,False
6327549886719,2,4,4,244,At Risk,8,10946.880000000001,1262,Unknown,Subscription,False
6327550509311,1,1,1,111,Hibernating,1,23.9,1617,Unknown,Subscription,False
6327551033599,3,4,4,344,Loyal,5,172.54939393939395,376,Unknown,Direct / Organic,False
6327551426815,2,1,1,211,Hibernating,1,4.9,1488,Unknown,Subscription,False
6327551754495,1,3,3,133,At Risk,2,98.19999999999999,2235,Unknown,Subscription,False
