metric_date,customer_id,first_subscription_activation_date,reactivated_date,days_to_reactivate
2026-04-05,175122042,2025-01-16,2026-04-05,444
2026-04-01,191230863,2025-04-09,2026-04-01,357
2026-04-01,230786752,2026-02-02,2026-04-01,58
2026-03-27,214043366,2025-10-10,2026-03-27,168
2026-03-22,204781914,2025-07-22,2026-03-22,243
2026-03-16,196501140,2025-05-25,2026-03-16,295
2026-03-13,200198007,2025-06-19,2026-03-13,267
2026-03-11,208249488,2025-08-22,2026-03-11,201
2026-03-03,206491730,2025-08-07,2026-03-03,208
2026-02-12,208383384,2025-08-23,2026-02-12,173
2026-02-07,211898801,2025-09-23,2026-02-07,137
2026-01-19,198430597,2025-06-03,2026-01-19,230
2026-01-11,178951194,2025-02-08,2026-01-11,337
2026-01-11,204578937,2025-07-20,2026-01-11,175
2025-12-27,194841897,2025-05-12,2025-12-27,229
2025-12-25,175122066,2025-01-16,2025-12-25,343
2025-12-17,198579409,2025-06-04,2025-12-17,196
2025-12-14,191930556,2025-04-16,2025-12-14,242
2025-11-30,206491730,2025-08-07,2025-11-30,115
2025-11-28,204388658,2025-07-17,2025-11-28,134
2025-11-24,208249488,2025-08-22,2025-11-24,94
2025-11-11,208295851,2025-08-22,2025-11-11,81
2025-11-07,209209785,2025-08-31,2025-11-07,68
2025-09-16,175122265,2025-06-13,2025-09-16,95
2025-09-11,194841897,2025-05-12,2025-09-11,122
2025-09-08,207570504,2025-08-17,2025-09-08,22
2025-09-05,175122071,2025-01-16,2025-09-05,232
2025-09-05,196501140,2025-05-25,2025-09-05,103
2025-09-04,196643329,2025-05-26,2025-09-04,101
2025-08-26,195179892,2025-05-14,2025-08-26,104
2025-08-24,205156307,2025-07-26,2025-08-24,29
2025-08-15,189472132,2025-03-22,2025-08-15,146
2025-08-13,198457488,2025-06-03,2025-08-13,71
2025-07-27,198453856,2025-06-03,2025-07-27,54
2025-07-26,192603585,2025-04-24,2025-07-26,93
2025-07-21,192236714,2025-04-20,2025-07-21,92
2025-07-16,175122081,2025-01-16,2025-07-16,181
2025-07-13,192721876,2025-04-24,2025-07-13,80
2025-07-06,196546639,2025-05-26,2025-07-06,41
2025-07-02,190480945,2025-04-02,2025-07-02,91
2025-06-29,186767023,2025-03-11,2025-06-29,110
2025-06-26,191930556,2025-04-16,2025-06-26,71
2025-06-21,193330833,2025-04-30,2025-06-21,52
2025-06-20,186358824,2025-03-11,2025-06-20,101
2025-06-17,175122335,2025-03-14,2025-06-17,95
2025-05-31,188283337,2025-03-17,2025-05-31,75
2025-05-26,175122062,2025-01-16,2025-05-26,130
2025-05-14,189472132,2025-03-22,2025-05-14,53
2025-05-14,175122097,2025-01-16,2025-05-14,118
2025-04-20,175122057,2025-01-16,2025-04-20,94
