decile,n_customers,total_revenue,total_orders,avg_revenue,avg_aof,avg_aov,pct_revenue,cum_pct_revenue,pct_customers,pct_transactions
D1,819,1223501.16,5104,1493.8964102564103,6.231990231990232,392.09684640481794,0.6845969152579044,0.6845969152579044,0.10009777560498656,0.3383942186567659
D2,818,197186.02,2084,241.0587041564792,2.547677261613692,125.6257960173968,0.11033331674485986,0.7949302320027642,0.09997555609875336,0.138168799310482
D3,818,114086.04,1293,139.46948655256722,1.580684596577017,107.05556071719641,0.06383561668056768,0.858765848683332,0.09997555609875336,0.08572565139561095
D4,818,82197.89,1089,100.48641809290953,1.3312958435207825,86.62548247758761,0.04599294530681815,0.9047587939901501,0.09997555609875336,0.07220049061857721
D5,818,59438.71,961,72.66345965770171,1.1748166259168704,66.83114710676446,0.033258290914010384,0.9380170849041605,0.09997555609875336,0.06371411522906584
D6,818,46158.49,943,56.428471882640586,1.1528117359413204,52.60979400977995,0.02582748664248331,0.9638445715466438,0.09997555609875336,0.0625207186899158
D7,818,32314.18,925,39.503887530562345,1.13080684596577,37.24656071719641,0.01808105187827421,0.9819256234249181,0.09997555609875336,0.061327322150765765
D8,818,21006.09,856,25.67981662591687,1.0464547677261613,25.105515484922574,0.011753731737884021,0.993679355162802,0.09997555609875336,0.05675263541735729
D9,818,10941.02,866,13.375330073349634,1.058679706601467,12.9860130399348,0.006121930069747575,0.9998012852325496,0.09997555609875336,0.05741563349466287
D10,819,355.14,962,0.43362637362637363,1.1746031746031746,0.4245299145299145,0.000198714767450398,1.0,0.10009777560498656,0.06378041503679639
