pattern,n_customers,pct_cohort
NNNNNN,493,0.613947696139477
YNNNNN,97,0.12079701120797011
YYNNNN,50,0.062266500622665005
NYNNNN,25,0.031133250311332503
YYYYNN,15,0.0186799501867995
YYYNNN,14,0.017434620174346202
YNNYNN,10,0.012453300124533
NNNYNN,9,0.0112079701120797
YYYYYN,9,0.0112079701120797
NYYNNN,8,0.009962640099626401
YNYNNN,7,0.008717310087173101
YYNYNN,7,0.008717310087173101
NYNYNN,6,0.007471980074719801
YYYYYY,6,0.007471980074719801
NYYYNN,5,0.0062266500622665
YNYYNN,5,0.0062266500622665
YYYNYN,4,0.0049813200498132005
NNYNNN,4,0.0049813200498132005
NNNNYY,4,0.0049813200498132005
NNNNYN,4,0.0049813200498132005
NNNYYN,3,0.0037359900373599006
YYNNYN,2,0.0024906600249066002
NYYYYN,2,0.0024906600249066002
NNYYNN,2,0.0024906600249066002
YYNYYN,2,0.0024906600249066002
YYYNNY,1,0.0012453300124533001
YNNYYY,1,0.0012453300124533001
NYYYYY,1,0.0012453300124533001
NNNYYY,1,0.0012453300124533001
NNYYYN,1,0.0012453300124533001
NYYYNY,1,0.0012453300124533001
YYYNYY,1,0.0012453300124533001
YNYYYY,1,0.0012453300124533001
YNNYYN,1,0.0012453300124533001
YNNNYN,1,0.0012453300124533001
