vtd_decile,n_cust,vtd_sum,n_orders,avg_aof,avg_aov,pct_vtd,pct_cust,pct_trans,cum_vtd
D1,81,165538.67200000002,881,10.876543209876543,979.157882170734,0.6305324274680016,0.10087173100871731,0.331203007518797,0.6305324274680016
D2,80,44257.188,489,6.1125,334.4471896214123,0.16857445964377263,0.099626400996264,0.1838345864661654,0.7991068871117742
D3,80,22950.156000000003,385,4.8125,230.80420003520786,0.08741653777100086,0.099626400996264,0.14473684210526316,0.8865234248827751
D4,80,11634.228000000001,263,3.2875,161.1972254385965,0.04431446703013417,0.099626400996264,0.09887218045112782,0.9308378919129093
D5,81,6756.036,160,1.9753086419753085,134.87794238683128,0.025733562603070827,0.10087173100871731,0.06015037593984962,0.9565714545159801
D6,80,4400.264,123,1.5375,104.81316666666666,0.016760489303792765,0.099626400996264,0.0462406015037594,0.973331943819773
D7,80,2965.556,108,1.35,77.54679166666668,0.01129572444239674,0.099626400996264,0.0406015037593985,0.9846276682621697
D8,80,2021.048,86,1.075,60.768125,0.007698118427996992,0.099626400996264,0.032330827067669175,0.9923257866901667
D9,80,1345.0520000000001,83,1.0375,41.1628125,0.005123267526458655,0.099626400996264,0.031203007518796993,0.9974490542166253
D10,81,669.72,82,1.0123456790123457,20.658024691358023,0.002550945783374836,0.10087173100871731,0.030827067669172932,1.0000000000000002
