vtd_decile,n_cohort,pct_cohort,pct_active_2020,pct_active_2021,pct_active_2022,pct_active_2023,pct_active_2024,pct_active_2025,pct_active_2026
D1,81,0.1009,1.0,0.8519,0.642,0.4198,0.358,0.2346,0.0988
D2,80,0.0996,1.0,0.6375,0.475,0.3,0.2875,0.1125,0.0375
D3,80,0.0996,1.0,0.5625,0.475,0.2,0.1625,0.1125,0.0375
D4,80,0.0996,1.0,0.4,0.2125,0.1,0.1625,0.0375,0.0375
D5,81,0.1009,1.0,0.1975,0.0494,0.0494,0.0741,0.037,0.0
D6,80,0.0996,1.0,0.125,0.0875,0.0,0.05,0.0125,0.0
D7,80,0.0996,1.0,0.1,0.025,0.0125,0.0,0.0,0.0
D8,80,0.0996,1.0,0.025,0.0,0.0,0.0,0.0,0.0
D9,80,0.0996,1.0,0.0125,0.0125,0.0,0.0,0.0,0.0
D10,81,0.1009,1.0,0.0,0.0,0.0,0.0,0.0,0.0
