Line: Product Handle,Line: Variant Title,Line: SKU,total_orders,unique_customers,total_revenue,first_sale,last_sale,Status
better-whey,1kg Pack (40 servings) / Cocoa Dinosaur,0724999807937,305,229,22676.11090909091,2024-01-01 00:00:00+08:00,2025-03-13 00:00:00+08:00,draft
better-whey,1kg Pack (40 servings) / Natural (Unflavoured),0724999807890,222,149,17617.9096969697,2024-01-01 00:00:00+08:00,2025-03-13 00:00:00+08:00,draft
prime-whey-isolate,1kg Pack (40 servings) / Natural (Unflavoured),0724999807760,179,104,17381.889393939393,2024-01-03 00:00:00+08:00,2025-02-01 00:00:00+08:00,archived
better-whey,1kg (40 serves) / Cocoa Dinosaur,0724999807937,239,176,15696.938181818183,2024-07-28 00:00:00+08:00,2025-06-04 00:00:00+08:00,draft
better-whey,1KG Pack / Cocoa Dinosaur,0724999807937,112,102,12290.497272727274,2022-09-24 00:00:00+08:00,2022-12-30 00:00:00+08:00,draft
better-whey,1KG Pack / Cocoa Dinosaur,724999807937.0,168,140,12199.844848484849,2023-01-02 00:00:00+08:00,2023-08-02 00:00:00+08:00,draft
better-whey,1kg Pack (40 servings) / Matchawhey,0724999807784,175,135,11669.346363636363,2024-01-01 00:00:00+08:00,2025-01-12 00:00:00+08:00,draft
prime-whey-isolate,1kg Pack (40 servings) / Cocoa Dinosaur,0724999807791,119,87,11025.076363636364,2024-01-09 00:00:00+08:00,2025-05-26 00:00:00+08:00,archived
prime-whey-isolate,Natural (Unflavored) / 1kg,724999807760.0,99,69,11000.54696969697,2023-01-01 00:00:00+08:00,2023-08-03 00:00:00+08:00,archived
better-whey,1kg (40 serves) / Unflavoured,0724999807890,129,91,10330.313333333334,2024-07-28 00:00:00+08:00,2025-06-01 00:00:00+08:00,draft
prime-whey-isolate,1kg Pack (40 servings) / Natural (Unflavoured),724999807760.0,95,63,9331.119090909091,2023-08-05 00:00:00+08:00,2023-12-26 00:00:00+08:00,archived
better-whey,1KG Pack / Matchawhey,724999807784.0,108,93,8652.846060606062,2023-01-02 00:00:00+08:00,2023-08-03 00:00:00+08:00,draft
better-whey,1kg Pack (40 servings) / Cocoa Dinosaur,724999807937.0,116,97,7544.435454545455,2023-08-05 00:00:00+08:00,2023-12-27 00:00:00+08:00,draft
better-whey,1KG Pack / Natural (Unflavored),724999807890.0,80,64,7267.584848484849,2023-01-04 00:00:00+08:00,2023-07-02 00:00:00+08:00,draft
