first_handle,first_variant,first_sku,flavor_sku,customers,loyal_rate,avg_ltv,avg_orders,pct_subscribed,lift_vs_baseline
better-whey,1KG / Natural (Unflavoured),724999807876.0,unknown | 1KG / Natural (Unflavoured),1,0.0,194.11,2.0,0.0,0.0
better-whey,1KG Pack / Cocoa Dinosaur,0724999807937,better-whey | 1KG Pack / Cocoa Dinosaur,35,0.2,230.50745454545458,2.6285714285714286,0.17142857142857143,1.1732652192422308
better-whey,1KG Pack / Cocoa Dinosaur,0724999807937,unknown | Default,41,0.975609756097561,1770.3773170731708,10.536585365853659,0.3170731707317073,5.72324497191332
better-whey,1KG Pack / Cocoa Dinosaur,0724999808361_FREEGIFT,unknown | Default,2,1.0,2445.89,16.5,0.5,5.866326096211154
better-whey,1KG Pack / Cocoa Dinosaur,724999807937.0,better-whey | 1KG Pack / Cocoa Dinosaur,45,0.13333333333333333,120.38567676767677,1.6,0.17777777777777778,0.7821768128281538
better-whey,1KG Pack / Cocoa Dinosaur,724999807937.0,unknown | Default,27,0.9629629629629629,885.0563411896745,5.814814814814815,0.25925925925925924,5.649054759314444
better-whey,1KG Pack / Genmai-Roasted Brown Rice,724999808736.0,better-whey | 1KG Pack / Genmai-Roasted Brown Rice,1,0.0,59.9,1.0,0.0,0.0
better-whey,1KG Pack / Matchawhey,0724999807784,better-whey | 1KG Pack / Matchawhey,9,0.1111111111111111,130.1729292929293,1.5555555555555556,0.1111111111111111,0.6518140106901281
better-whey,1KG Pack / Matchawhey,0724999807784,unknown | Default,19,0.8947368421052632,1187.4916746411484,8.736842105263158,0.2631578947368421,5.248818086083664
better-whey,1KG Pack / Matchawhey,0724999808361_FREE,unknown | Default,1,1.0,184.16666666666669,3.0,0.0,5.866326096211154
better-whey,1KG Pack / Matchawhey,0724999808361_FREEGIFT,unknown | Default,1,1.0,6339.53,14.0,0.0,5.866326096211154
better-whey,1KG Pack / Matchawhey,724999807784.0,better-whey | 1KG Pack / Matchawhey,30,0.16666666666666666,148.3630202020202,1.8666666666666667,0.1,0.9777210160351921
better-whey,1KG Pack / Matchawhey,724999807784.0,unknown | Default,13,1.0,1406.789324009324,8.23076923076923,0.46153846153846156,5.866326096211154
better-whey,1KG Pack / Natural (Unflavored),0724999807890,better-whey | 1KG Pack / Natural (Unflavored),4,0.5,258.85,2.25,0.0,2.933163048105577
