first_handle,first_variant,first_sku,flavor_sku,customers,loyal_rate,avg_ltv,avg_orders,pct_subscribed,lift_vs_baseline
better-whey,1KG Pack / Cocoa Dinosaur,0724999807937,unknown | Default,30,0.9,1633.1917474747474,8.633333333333333,0.3,5.556451612903226
collagen-glow,300g Pack,0724999808507,unknown | Default,31,0.8387096774193549,883.6986901270772,7.064516129032258,0.16129032258064516,5.178055266504799
collagen-glow,300g Pack (30 servings) / Natural (Unflavoured),0724999808507,collagen-glow | 300g Pack (30 servings) / Natural (Unflavoured),36,0.3333333333333333,177.59265151515152,2.361111111111111,0.2222222222222222,2.0579450418160095
collagen-glow,300g,0724999808507,collagen-glow | 300g,38,0.23684210526315788,124.15684210526315,2.210526315789474,0.21052631578947367,1.4622241086587437
better-whey,1kg Pack (40 servings) / Cocoa Dinosaur,724999807937.0,better-whey | 1kg Pack (40 servings) / Cocoa Dinosaur,32,0.21875,194.9358806818182,2.3125,0.15625,1.3505264336917564
better-whey,1KG Pack / Cocoa Dinosaur,0724999807937,better-whey | 1KG Pack / Cocoa Dinosaur,30,0.2,234.90820202020205,2.466666666666667,0.16666666666666666,1.234767025089606
collagen-glow,300g Pack (30 servings),0724999808507,collagen-glow | 300g Pack (30 servings),73,0.1917808219178082,141.54602739726027,1.7808219178082192,0.1780821917808219,1.1840231747434575
better-whey,1kg Pack (40 servings) / Natural (Unflavoured),0724999807890,better-whey | 1kg Pack (40 servings) / Natural (Unflavoured),43,0.18604651162790697,158.08546863988724,1.7209302325581395,0.11627906976744186,1.1486204884554472
collagen-glow,300g Pack,724999808507.0,collagen-glow | 300g Pack,76,0.18421052631578946,110.26264752791069,2.3289473684210527,0.19736842105263158,1.1372854178456895
better-whey,1KG Pack / Matchawhey,724999807784.0,better-whey | 1KG Pack / Matchawhey,31,0.16129032258064516,148.8597165200391,1.8064516129032258,0.0967741935483871,0.9957798589432305
lean-protein,1kg Pack (25 servings) / Thai Milk Tea,0724999807821,lean-protein | 1kg Pack (25 servings) / Thai Milk Tea,192,0.15625,127.78399463383839,1.8177083333333333,0.17708333333333334,0.9646617383512546
lean-protein,1kg Pack (25 serves) / Taro,0724999807708,lean-protein | 1kg Pack (25 serves) / Taro,39,0.15384615384615385,119.75472416472417,1.9743589743589745,0.20512820512820512,0.949820788530466
plant-protein,480g Pack (16 servings) / Cocoa Dinosaur,0724999808606,plant-protein | 480g Pack (16 servings) / Cocoa Dinosaur,105,0.1523809523809524,63.95998845598846,1.5142857142857142,0.11428571428571428,0.9407748762587473
better-whey,1kg (40 serves) / Cocoa Dinosaur,0724999807937,better-whey | 1kg (40 serves) / Cocoa Dinosaur,47,0.14893617021276595,79.37148936170213,1.5106382978723405,0.1276595744680851,0.9195073591092809
lean-protein,1kg Pack (25 serves) / Thai Milk Tea,0724999807821,lean-protein | 1kg Pack (25 serves) / Thai Milk Tea,54,0.14814814814814814,119.59410774410775,1.7222222222222223,0.1111111111111111,0.9146422408071154
soy-protein-isolate,1kg Pack (40 servings) / Natural (Unflavoured),0724999807845,soy-protein-isolate | 1kg Pack (40 servings) / Natural (Unflavoured),84,0.14285714285714285,88.62388167388168,1.5714285714285714,0.08333333333333333,0.8819764464925756
