factor_type,factor_value,customers,loyal_rate,lift_vs_baseline
First product category,Unknown,6908,0.23451071221771858,1.3757163109238661
Acquisition channel,Subscription,4275,0.23251461988304092,1.3640065823704997
First-order discount depth,0%,8635,0.21343370005790388,1.2520716844605855
Acquisition channel,Direct / Organic,6920,0.17601156069364163,1.0325412117319632
First product category,Collagen Glow,439,0.17084282460136674,1.0022197203094225
First product category,Other,2502,0.12150279776179057,0.7127750332726581
First-order discount depth,11-20%,1133,0.11650485436893204,0.6834554675197461
First-order discount depth,1-5%,395,0.11139240506329114,0.6534641727425082
First-order discount depth,31-50%,555,0.1045045045045045,0.6130575019463907
Acquisition channel,Email,48,0.10416666666666667,0.6110756350219951
First-order discount depth,21-30%,1286,0.1026438569206843,0.602142336469574
First-order discount depth,6-10%,536,0.09888059701492537,0.5800658266775953
First product category,Clear Protein,1550,0.09290322580645162,0.5450006179705846
First product category,Soy Protein,361,0.09141274238227147,0.5362569561633465
First product category,Lean Protein,1324,0.08685800604229607,0.5095373875107875
First product category,Accessories,696,0.08333333333333333,0.48886050801759606
Acquisition channel,Affiliate,26,0.07692307692307693,0.4512558535547041
First-order discount depth,51%+,1240,0.07016129032258064,0.4115890083632019
Acquisition channel,Paid Social,382,0.06806282722513089,0.3992787395326963
Acquisition channel,Marketplace,2126,0.04891815616180621,0.2869698560705362
Acquisition channel,Paid Search,3,0.0,0.0
