Line: Product Handle,Line: Variant Title,Line: SKU,flavor_label,loyal_buyers,total_line_items,total_revenue,avg_purchases_per_loyal_buyer
clear-protein,500g Pack (20 Serv) / Peach,0724999807814,clear-protein / 500g Pack (20 Serv) / Peach,171,287,20022.296666666665,1.6783625730994152
lean-protein,1kg Pack (25 servings) / Thai Milk Tea,0724999807821,lean-protein / 1kg Pack (25 servings) / Thai Milk Tea,125,177,11518.296666666667,1.416
clear-protein,500g Pack (20 Serv) / White Grape,0724999807807,clear-protein / 500g Pack (20 Serv) / White Grape,123,183,12274.599393939394,1.4878048780487805
better-whey,1kg Pack (40 servings) / Cocoa Dinosaur,0724999807937,better-whey / 1kg Pack (40 servings) / Cocoa Dinosaur,99,148,9926.628181818181,1.494949494949495
lushprotein-clear-shaker,White,0724999808361,lushprotein-clear-shaker / White,84,103,1092.36,1.2261904761904763
collagen-glow,300g Pack,724999808507.0,collagen-glow / 300g Pack,76,118,7003.4193939393945,1.5526315789473684
better-whey,1kg Pack (40 servings) / Natural (Unflavoured),0724999807890,better-whey / 1kg Pack (40 servings) / Natural (Unflavoured),75,127,8696.692727272728,1.6933333333333334
better-whey,1KG Pack / Cocoa Dinosaur,724999807937.0,better-whey / 1KG Pack / Cocoa Dinosaur,74,97,7819.233333333334,1.3108108108108107
lushprotein-clear-shaker,White,ACC-SHK-V2,lushprotein-clear-shaker / White,72,97,1291.27,1.3472222222222223
soy-protein-isolate,1kg Pack (40 servings) / Natural (Unflavoured),0724999807845,soy-protein-isolate / 1kg Pack (40 servings) / Natural (Unflavoured),71,125,5145.221515151516,1.7605633802816902
lean-protein,1 x 1kg Pack (25 servings) / Thai Milk Tea,LEAN-THA-1KG-V1,lean-protein / 1 x 1kg Pack (25 servings) / Thai Milk Tea,70,138,12243.84,1.9714285714285715
collagen-glow,300g Pack (30 servings) / Natural (Unflavoured),0724999808507,collagen-glow / 300g Pack (30 servings) / Natural (Unflavoured),69,135,7196.963636363637,1.9565217391304348
micronized-creatine-monohydrate,1 x 250g Pack (50 servings),CRE-UNF-250G-V1,micronized-creatine-monohydrate / 1 x 250g Pack (50 servings),64,118,4239.62,1.84375
plant-protein,480g Pack (16 servings) / Cocoa Dinosaur,0724999808606,plant-protein / 480g Pack (16 servings) / Cocoa Dinosaur,61,140,8310.099696969697,2.2950819672131146
collagen-glow,300g Pack (30 servings),0724999808507,collagen-glow / 300g Pack (30 servings),60,102,5059.7,1.7
lean-protein,1 x 1kg Pack (25 servings) / Taro,LEAN-TAR-1KG-V1,lean-protein / 1 x 1kg Pack (25 servings) / Taro,59,109,7932.49,1.847457627118644
plant-protein,480g Pack (16 servings) / Vanilla,0724999808613,plant-protein / 480g Pack (16 servings) / Vanilla,56,125,6683.056363636364,2.232142857142857
lean-protein,1kg Pack (25 serves) / Thai Milk Tea,0724999807821,lean-protein / 1kg Pack (25 serves) / Thai Milk Tea,56,82,4653.33,1.4642857142857142
collagen-glow,300g (30 serves) / Unflavoured,0724999808507,collagen-glow / 300g (30 serves) / Unflavoured,55,110,4843.209090909091,2.0
better-whey,1kg (40 serves) / Cocoa Dinosaur,0724999807937,better-whey / 1kg (40 serves) / Cocoa Dinosaur,55,101,5439.826666666667,1.8363636363636364
collagen-glow,300g,0724999808507,collagen-glow / 300g,54,71,3627.31,1.3148148148148149
prime-whey-isolate,1kg Pack (40 servings) / Natural (Unflavoured),0724999807760,prime-whey-isolate / 1kg Pack (40 servings) / Natural (Unflavoured),53,109,9711.675151515152,2.056603773584906
collagen-glow,1 x 300g pack (30 servings),COL-UNF-300G-V1,collagen-glow / 1 x 300g pack (30 servings),47,90,5683.25,1.9148936170212767
better-whey,1KG Pack / Matchawhey,724999807784.0,better-whey / 1KG Pack / Matchawhey,47,59,5233.70606060606,1.2553191489361701
better-whey,1kg Pack (40 servings) / Matchawhey,0724999807784,better-whey / 1kg Pack (40 servings) / Matchawhey,47,71,4905.851515151515,1.5106382978723405
clear-protein,1 x 500g Pack (20 servings) / Peach,CLEAR-PEA-500G-V2,clear-protein / 1 x 500g Pack (20 servings) / Peach,46,83,7692.03,1.8043478260869565
lean-protein-peach-oolong-pre-order,1 x 1kg Pack (25 servings) / Peach Oolong,LEAN-POL-1KG-V1,lean-protein-peach-oolong-pre-order / 1 x 1kg Pack (25 servings) / Peach Oolong,45,46,4893.95,1.0222222222222221
better-whey,1KG Pack / Cocoa Dinosaur,0724999807937,better-whey / 1KG Pack / Cocoa Dinosaur,42,42,6263.624848484849,1.0
lean-protein,1 x 1kg Pack (25 servings) / Thai Milk Tea,0724999807821,lean-protein / 1 x 1kg Pack (25 servings) / Thai Milk Tea,40,65,3703.11,1.625
collagen-glow,300g Pack,0724999808507,collagen-glow / 300g Pack,40,43,4229.27696969697,1.075
better-whey,1kg Pack (40 servings) / Cocoa Dinosaur,724999807937.0,better-whey / 1kg Pack (40 servings) / Cocoa Dinosaur,39,46,3083.7442424242427,1.1794871794871795
clear-protein,1 x 500g Pack (20 servings) / White Grape,CLEAR-GRA-500G-V2,clear-protein / 1 x 500g Pack (20 servings) / White Grape,39,79,6925.41,2.0256410256410255
prime-whey-isolate,Natural (Unflavored) / 1kg,724999807760.0,prime-whey-isolate / Natural (Unflavored) / 1kg,39,63,7931.823636363637,1.6153846153846154
