flavor_sku,loyal_customers
unknown | Default,1579
clear-protein | 500g Pack (20 Serv) / Peach,57
clear-protein | 500g Pack (20 Serv) / White Grape,42
lean-protein | 1kg Pack (25 servings) / Thai Milk Tea,41
lushprotein-clear-shaker | White,37
lushprotein-clear-shaker | Default,31
plant-protein | 480g Pack (16 servings) / Cocoa Dinosaur,20
collagen-glow | 300g Pack,19
micronized-creatine-monohydrate | Default,19
soy-protein-isolate | 1kg Pack (40 servings) / Natural (Unflavoured),18
collagen-glow | 300g Pack (30 servings) / Natural (Unflavoured),18
lean-protein | 1 x 1kg Pack (25 servings) / Taro,18
collagen-glow | 300g Pack (30 servings),17
better-whey | 1kg Pack (40 servings) / Cocoa Dinosaur,17
better-whey | 1kg Pack (40 servings) / Natural (Unflavoured),15
lean-protein | 1 x 1kg Pack (25 servings) / Thai Milk Tea,13
better-whey | 1KG Pack / Cocoa Dinosaur,13
micronized-creatine-monohydrate | 1 x 250g Pack (50 servings),12
plant-protein | 480g Pack (16 servings) / Vanilla,12
clear-protein | 1 x 500g Pack (20 servings) / Peach,11
