acq_year,first_channel,customers,avg_ltv,repeat_rate
2019,Direct / Organic,2,39.790909090909096,0.0
2019,Subscription,1,28.9,0.0
2020,Direct / Organic,896,440.61172382305193,0.5446428571428571
2020,Subscription,800,816.9644359848485,0.51
2021,Direct / Organic,2057,238.7433250836022,0.4039863879436072
2021,Subscription,1277,272.345604043568,0.3688332028191073
2022,Direct / Organic,847,246.5073220993882,0.38134592680047225
2022,Marketplace,34,128.41294117647058,0.35294117647058826
2022,Subscription,581,327.5654404631513,0.3459552495697074
2023,Direct / Organic,291,105.28845569092992,0.2611683848797251
2023,Marketplace,257,73.57556420233462,0.09727626459143969
2023,Subscription,325,190.21994405594407,0.47384615384615386
2024,Direct / Organic,755,93.69876451410204,0.28741721854304636
2024,Email,1,60.0,0.0
2024,Marketplace,287,57.281825572801175,0.12195121951219512
2024,Subscription,972,168.3571137298915,0.3816872427983539
2025,Affiliate,24,94.15291666666667,0.20833333333333334
2025,Direct / Organic,1712,84.76181104073521,0.20852803738317757
2025,Email,39,41.327948717948715,0.15384615384615385
2025,Marketplace,1186,130.55338111298482,0.17706576728499157
2025,Paid Search,3,90.8,0.3333333333333333
2025,Paid Social,359,70.4816991643454,0.20055710306406685
2025,Subscription,201,173.18701794060004,0.6019900497512438
2026,Affiliate,2,95.2,0.0
2026,Direct / Organic,360,81.73427777777778,0.07777777777777778
2026,Email,8,89.28125,0.0
2026,Marketplace,362,139.30524861878453,0.06629834254143646
2026,Paid Social,23,83.66173913043478,0.08695652173913043
2026,Subscription,118,110.0635593220339,0.17796610169491525
