Line: SKU,flavor_label,repeat_buyers,median_reorder_days,mean_reorder_days
0724999807814,clear-protein / 500g Pack (20 Serv) / Peach,97,48.0,66.28350515463917
0724999807807,clear-protein / 500g Pack (20 Serv) / White Grape,62,45.0,62.37096774193548
0724999807999,micronized-creatine-monohydrate / Default,51,59.0,70.66666666666667
CRE-UNF-250G-V1,micronized-creatine-monohydrate / 1 x 250g Pack (50 servings),49,58.0,63.07142857142857
0724999807821,lean-protein / 1kg Pack (25 servings) / Thai Milk Tea,45,35.0,65.63333333333334
0724999807845,soy-protein-isolate / 1kg Pack (40 servings) / Natural (Unflavoured),41,65.0,83.15853658536585
0724999808507,collagen-glow / 300g Pack (30 servings) / Natural (Unflavoured),40,42.0,49.8875
LEAN-THA-1KG-V1,lean-protein / 1 x 1kg Pack (25 servings) / Thai Milk Tea,39,34.0,49.37179487179487
724999808507.0,collagen-glow / 300g Pack,38,39.5,50.73684210526316
LEAN-TAR-1KG-V1,lean-protein / 1 x 1kg Pack (25 servings) / Taro,35,40.0,47.7
0724999808507,collagen-glow / 300g Pack (30 servings),33,53.0,53.36363636363637
0724999807937,better-whey / 1kg Pack (40 servings) / Cocoa Dinosaur,33,69.0,78.25757575757575
0724999808606,plant-protein / 480g Pack (16 servings) / Cocoa Dinosaur,33,62.0,97.13636363636364
COL-UNF-300G-V1,collagen-glow / 1 x 300g pack (30 servings),33,67.0,62.18181818181818
0724999808507,collagen-glow / 300g (30 serves) / Unflavoured,31,42.0,59.564516129032256
0724999807760,prime-whey-isolate / 1kg Pack (40 servings) / Natural (Unflavoured),30,54.5,78.01666666666667
0724999807890,better-whey / 1kg Pack (40 servings) / Natural (Unflavoured),29,55.0,95.27586206896552
0724999808613,plant-protein / 480g Pack (16 servings) / Vanilla,27,54.5,69.62962962962963
0724999808361,lushprotein-clear-shaker / Default,25,46.0,89.9
0724999808361,lushprotein-clear-shaker / White,25,13.5,35.58
0724999808620,plant-protein / 480g Pack (16 servings) / Natural (Unflavoured),24,35.5,55.0
CLEAR-PEA-500G-V2,clear-protein / 1 x 500g Pack (20 servings) / Peach,21,48.0,55.80952380952381
CLEAR-GRA-500G-V2,clear-protein / 1 x 500g Pack (20 servings) / White Grape,21,22.0,30.047619047619047
0724999807937,better-whey / 1kg (40 serves) / Cocoa Dinosaur,21,84.0,88.21428571428571
SOY-UNF-1KG-V1,soy-protein-isolate / 1 x 1kg Pack (40 servings) / Unflavoured,17,42.0,45.470588235294116
724999807937.0,better-whey / 1KG Pack / Cocoa Dinosaur,15,62.0,72.5
0724999807791,prime-whey-isolate / 1kg Pack (40 servings) / Cocoa Dinosaur,15,56.0,59.9
724999808507.0,collagen-glow / 300g Pack (30 servings) / Natural (Unflavoured),15,63.0,63.86666666666667
0724999807784,better-whey / 1kg Pack (40 servings) / Matchawhey,14,56.0,64.21428571428571
PLT-CHO-480G-V1,plant-protein / 480g Pack (16 servings) / Cocoa Dinosaur,14,50.25,61.535714285714285
0724999807821,lean-protein / 1 x 1kg Pack (25 servings) / Thai Milk Tea,14,28.0,24.678571428571427
724999807890.0,better-whey / 1KG Pack / Natural (Unflavored),13,63.0,62.23076923076923
0724999808507,collagen-glow / 300g,13,28.0,31.73076923076923
0724999807890,better-whey / 1kg (40 serves) / Unflavoured,13,31.0,53.80769230769231
724999807913.0, / 1KG Pack / Vanilla,13,79.0,73.61538461538461
724999807784.0,better-whey / 1KG Pack / Matchawhey,12,76.5,81.95833333333333
0724999807821,lean-protein / 1kg Pack (25 serves) / Thai Milk Tea,12,28.0,42.25
0724999808361, / Default,12,57.5,71.91666666666667
724999807760.0,prime-whey-isolate / Natural (Unflavored) / 1kg,12,56.0,49.958333333333336
CRE-UNF-5G-10PK-V1,creatine-monohydrate-sachet / 10 x 5g (10 servings) *Most Popular*,11,48.0,57.54545454545455
724999807760.0,prime-whey-isolate / 1kg Pack (40 servings) / Natural (Unflavoured),11,56.0,51.13636363636363
ACC-SHK-V2,lushprotein-clear-shaker / White,10,16.5,54.7
724999807890.0,better-whey / 1kg Pack (40 servings) / Natural (Unflavoured),10,50.0,50.6
LEAN-THA-40G-5PK-V1,lushprotein-lean-protein-40g-single-serve / 5 x 40g Sachet (5 servings) *Most Popular* / Thai Milk Tea,9,18.0,27.333333333333332
0724999807999,micronized-creatine-monohydrate / 250g (50 servings),9,41.0,35.94444444444444
0724999808897,better-whey / 500g Pack (20 servings) / Cocoa Dinosaur,8,33.5,43.75
724999807913.0,better-whey / 1KG Pack / Vanilla,8,64.0,66.25
724999807937.0,better-whey / 1kg Pack (40 servings) / Cocoa Dinosaur,8,52.75,58.4375
724999808606.0,plant-protein / Cocoa Dinosaur / 480g,7,67.5,80.57142857142857
0724999807913, / 1kg Pack (40 servings) / Vanilla,7,42.0,81.14285714285714
0724999807814,clear-protein / 1 x 500g Pack (20 servings) / Peach,7,42.0,39.857142857142854
0724999807890,better-whey / 1kg (40 servings) / Unflavoured,7,83.0,71.57142857142857
724999807784.0,better-whey / 1kg Pack (40 servings) / Matchawhey,7,42.0,42.0
PLT-VAN-480G-V1,plant-protein / 480g Pack (16 servings) / Vanilla,7,42.0,45.92857142857143
724999809146.0, / 500g (40 servings),7,41.0,51.285714285714285
724999808699.0, / 500g (10 servings) / Belgian Choc,7,41.5,42.642857142857146
724999807845.0,soy-protein-isolate / 1KG Pack / Natural (Unflavoured),7,33.5,30.571428571428573
CLEAR-GRA-25G-5PK-V2,clear-protein-25g-single-sachet / 5 x 25g (5 servings) *MOST POPULAR* / White Grape,6,19.75,33.25
CLEAR-PEA-25G-5PK-V2,clear-protein-25g-single-sachet / 5 x 25g (5 servings) *MOST POPULAR* / Peach,6,28.25,37.916666666666664
LEAN-TAR-40G-5PK-V1,lushprotein-lean-protein-40g-single-serve / 5 x 40g Sachet (5 servings) *Most Popular* / Taro,6,35.5,38.666666666666664
0724999807822,lean-protein / 1 x 1kg Pack (25 servings) / Taro,6,21.0,29.25
0724999807708,lean-protein / 1kg Pack (25 serves) / Taro,6,19.5,29.666666666666668
0724999807822,lean-protein / 1kg Pack (25 servings) / Taro,6,8.5,21.833333333333332
0724999807708,lean-protein / 1kg Pack (25 servings) / Taro,6,1.5,44.333333333333336
0724999807562,pureburn-fat-burner-capsules / 90 Tablets (90 servings),6,62.75,69.75
0724999807555,super-omega-3 / 60 Softgels,6,82.5,81.33333333333333
0724999808507,collagen-glow / 1 x 300g pack (30 servings),6,33.0,37.25
CAP-OMG-BOTTLE-V1,super-omega-3 / 60 Softgels,6,23.25,49.416666666666664
0724999807999,micronized-creatine-monohydrate / 1 x 250g Pack (50 servings),6,25.0,31.5
0724999807555,super-omega-3 / 60 Softgels (60 servings),5,28.0,53.0
0724999807807,clear-protein / 1 x 500g Pack (20 servings) / White Grape,5,56.0,45.6
0724999807845,soy-protein-isolate / 1kg Pack (40 servings) / Unflavoured,5,20.5,17.9
0724999807876, / 1kg Pack (40 servings) / Natural (Unflavoured),5,65.0,61.8
0724999807845,soy-protein-isolate / 1 x 1kg Pack (40 servings) / Unflavoured,5,28.0,27.9
724999807777.0,prime-whey-isolate / Matchawhey / 1kg,5,63.0,69.0
0724999807951, / 1kg Pack (40 servings) / Mango,5,51.5,95.8
0724999807999,micronized-creatine-monohydrate / 250g (50 serves),5,51.0,35.7
0724999807951,better-whey / 1kg Pack (40 servings) / Mango,5,52.5,46.9
724999807555.0,super-omega-3 / 60 Capsules,5,54.0,51.6
724999807845.0,soy-protein-isolate / 1kg Pack (40 servings) / Natural (Unflavoured),5,74.0,58.5
724999807791.0,prime-whey-isolate / Cocoa Dinosaur / 1kg,5,32.0,55.4
724999808606.0,plant-protein / 480g Pack (16 servings) / Cocoa Dinosaur,5,56.0,56.8
724999808361.0,lushprotein-clear-shaker / Default,5,108.0,101.8
CAP-PBT-BOTTLE-V1,pureburn-fat-burner-capsules / 90 Tablets,5,71.0,65.9
CAP-MUL-BOTTLE-V1,multivitamin-vegan / Default,5,30.0,48.0
LEAN-TAR-1KG-2BL-V1,lean-protein / 2 x 1kg Packs (50 servings) *MOST POPULAR* / Taro,5,56.0,57.4
LEAN-THA-1KG-2BL-V1,lean-protein / 2 x 1kg Packs (50 servings) *MOST POPULAR* / Thai Milk Tea,5,55.0,57.0
