Line: Product Handle,Line: Variant Title,Line: SKU,line_items,unique_customers,total_revenue,unit_cost,Price / Singapore,Status,has_cost
clear-protein,500g Pack (20 Serv) / Peach,0724999807814,667,532,46450.35363636364,,,,False
lean-protein,1 x 1kg Pack (25 servings) / Thai Milk Tea,LEAN-THA-1KG-V1,359,282,35519.909999999996,18.16,,,True
clear-protein,500g Pack (20 Serv) / White Grape,0724999807807,438,366,29374.878787878788,,,,False
clear-protein,1 x 500g Pack (20 servings) / Peach,CLEAR-PEA-500G-V2,287,239,28312.99,18.39,,active,True
clear-protein,1 x 500g Pack (20 servings) / White Grape,CLEAR-GRA-500G-V2,262,212,26701.28,18.39,,,True
lean-protein,1 x 1kg Pack (25 servings) / Taro,LEAN-TAR-1KG-V1,281,216,26200.079999999998,17.65,,active,True
lean-protein,1kg Pack (25 servings) / Thai Milk Tea,0724999807821,313,258,19547.52,,,,False
micronized-creatine-monohydrate,1 x 250g Pack (50 servings),CRE-UNF-250G-V1,255,205,12130.52,5.07,,active,True
collagen-glow,1 x 300g pack (30 servings),COL-UNF-300G-V1,121,97,11397.4,11.86,,active,True
soy-protein-isolate,1 x 1kg Pack (40 servings) / Unflavoured,SOY-UNF-1KG-V1,122,99,10536.82,4.34,,active,True
better-whey,1kg Pack (40 servings) / Cocoa Dinosaur,0724999807937,160,125,10205.703333333333,,,,False
clear-protein,1 x 500g Pack (20 servings) / Peach,0724999807814,118,96,9692.71,,,,False
lean-protein,1 x 1kg Pack (25 servings) / Thai Milk Tea,0724999807821,128,100,8565.72,,,,False
plant-protein,480g Pack (16 servings) / Cocoa Dinosaur,0724999808606,172,122,7993.83,,,,False
lean-protein-peach-oolong-pre-order,1 x 1kg Pack (25 servings) / Peach Oolong,LEAN-POL-1KG-V1,83,83,7638.68,17.65,,active,True
better-whey,1kg Pack (40 servings) / Natural (Unflavoured),0724999807890,100,82,7571.818181818182,,,,False
prime-whey-isolate,1kg Pack (40 servings) / Natural (Unflavoured),0724999807760,92,55,7446.737878787879,,,,False
lean-protein,1 x 1kg Pack (25 servings) / Taro,0724999807822,85,68,7265.46,,,,False
plant-protein,480g Pack (16 servings) / Vanilla,0724999808613,138,87,7144.515757575758,,,,False
collagen-glow,300g Pack (30 servings),0724999808507,148,115,6811.5199999999995,,,,False
soy-protein-isolate,1kg Pack (40 servings) / Natural (Unflavoured),0724999807845,170,119,6711.5233333333335,,,,False
collagen-glow,300g Pack,724999808507.0,136,102,6698.29,,,,False
collagen-glow,300g Pack (30 servings) / Natural (Unflavoured),0724999808507,115,75,6037.539393939394,,,,False
clear-protein,500g Pack (20 servings) / Peach,0724999807814,88,73,6012.76,,,,False
clear-protein,1 x 500g Pack (20 servings) / White Grape,0724999807807,82,65,5977.74,,,,False
lean-protein,1kg Pack (25 serves) / Thai Milk Tea,0724999807821,108,93,5592.750303030303,,,,False
lushprotein-clear-shaker,White,ACC-SHK-V2,351,322,5497.19,1.58,,active,True
plant-protein,480g Pack (16 servings) / Cocoa Dinosaur,PLT-CHO-480G-V1,74,50,5319.45,6.09,,active,True
clear-protein,500g Pack (20 servings) / White Grape,0724999807807,68,55,4813.6,,,,False
prime-whey-isolate,1kg Pack (40 servings) / Cocoa Dinosaur,0724999807791,60,41,4731.675151515152,,,,False
collagen-glow,300g (30 serves) / Unflavoured,0724999808507,124,80,4707.672727272728,,,,False
better-whey,1KG Pack / Cocoa Dinosaur,724999807937.0,75,66,4606.783333333334,,,,False
better-whey,1kg (40 serves) / Cocoa Dinosaur,0724999807937,87,49,4444.285757575758,,,,False
lushprotein-clear-shaker,White,0724999808361,497,463,4355.38,,,,False
clear-protein,2 x 500g Pack (40 servings) *MOST POPULAR* / Peach,CLEAR-PEA-500G-2BL-V2,32,22,4095.98,,,,False
better-whey,1kg Pack (40 servings) / Matchawhey,0724999807784,78,68,4078.068181818182,,,,False
better-whey,1KG Pack / Matchawhey,724999807784.0,56,50,3864.106060606061,,,,False
prime-whey-isolate,Natural (Unflavored) / 1kg,724999807760.0,45,34,3789.885151515152,,,,False
collagen-glow,300g,0724999808507,77,62,3689.3999999999996,,,,False
lean-protein,1kg Pack (25 serves) / Taro,0724999807708,70,66,3434.2566666666667,,,,False
clear-protein,2 x 500g Pack (40 servings) *MOST POPULAR* / White Grape,CLEAR-GRA-500G-2BL-V2,25,21,3104.52,,,,False
discovery-sampler,5 Sachets Variety,BND-SS-MIX6-V1,106,62,3015.21,3.97,,active,True
lean-protein,2 x 1kg Packs (50 servings) *MOST POPULAR* / Thai Milk Tea,LEAN-THA-1KG-2BL-V1,27,20,2975.66,,,,False
lean-protein,2 x 1kg Packs (50 servings) *MOST POPULAR* / Taro,LEAN-TAR-1KG-2BL-V1,28,25,2972.42,,,,False
plant-protein,480g Pack (16 servings) / Natural (Unflavoured),0724999808620,77,58,2956.888484848485,,,,False
better-whey,1KG Pack / Natural (Unflavored),724999807890.0,38,32,2839.188484848485,,,,False
better-whey,1kg Pack (40 servings) / Cocoa Dinosaur,724999807937.0,52,43,2815.6278787878787,,,,False
lushprotein-lean-protein-40g-single-serve,5 x 40g Sachet (5 servings) *Most Popular* / Taro,LEAN-TAR-40G-5PK-V1,41,31,2804.85,4.15,,,True
lean-protein,1kg Pack (25 servings) / Taro,0724999807822,48,40,2773.09,,,,False
prime-whey-isolate,Cocoa Dinosaur / 1kg,724999807791.0,27,21,2689.337575757576,,,,False
prime-whey-isolate,1kg Pack (40 servings) / Natural (Unflavoured),724999807760.0,37,26,2620.6133333333332,,,,False
clear-protein,2 x 500g Pack (40 servings) *MOST POPULAR* / Peach,0724999807814_2,21,19,2595.9,,,,False
pureburn-fat-burner-capsules,90 Tablets,CAP-PBT-BOTTLE-V1,27,16,2465.88,8.37,,active,True
better-whey,1kg (40 serves) / Unflavoured,0724999807890,44,31,2460.2063636363637,,,,False
clear-protein,2 x 500g Pack (40 servings) *MOST POPULAR* / White Grape,0724999807807_2,19,14,2427.29,,,,False
discovery-sampler,6 Sachets Variety,BND-SS-MIX6-V1,76,47,2401.83,3.97,,active,True
plant-protein,480g Pack (16 servings) / Vanilla,PLT-VAN-480G-V1,45,28,2395.73,6.74,,,True
soy-protein-isolate,1 x 1kg Pack (40 servings) / Unflavoured,0724999807845,41,35,2346.72,,,,False
lean-protein,4 x 1kg Packs (100 servings) / Thai Milk Tea,LEAN-THA-1KG4BL-V1,11,8,2320.72,,,,False
better-whey,500g Pack / Cocoa Dinosaur,724999808897.0,44,44,2320.6787878787877,,,,False
micronized-creatine-monohydrate,250g (50 servings),0724999807999,82,68,2262.690909090909,,,,False
better-whey,1kg Pack (40 servings) / Matchawhey,724999807784.0,43,35,2257.777575757576,,,,False
lean-protein,1kg Pack (40 servings) / Thai Milk Tea,0724999807821,34,32,2204.81,,,,False
better-whey,1KG Pack / Cocoa Dinosaur,0724999807937,25,25,2201.7939393939396,,,,False
clear-protein,4 x 500g Pack (80 servings) / Peach,CLEAR-PEA-500G-4BL-V2,9,9,2196.38,,,,False
better-whey,1kg (40 servings) / Unflavoured,0724999807890,34,24,2183.7799999999997,,,,False
micronized-creatine-monohydrate,250g (50 serves),0724999807999,66,30,2114.83,,,,False
creatine-monohydrate-sachet,10 x 5g (10 servings) *Most Popular*,CRE-UNF-5G-10PK-V1,54,37,2104.44,2.1,,,True
better-whey,1kg (40 servings) / Cocoa Dinosaur,0724999807937,32,25,2067.08,,,,False
plant-protein,Cocoa Dinosaur / 480g,724999808606.0,32,28,2053.926363636364,,,,False
plant-protein,480g Pack (16 servings) / Cocoa Dinosaur,724999808606.0,49,35,2027.0436363636363,,,,False
better-whey,1kg Pack (40 servings) / Natural (Unflavoured),724999807890.0,34,31,1995.1172727272726,,,,False
better-whey,500g (20 servings) / Cocoa Dinosaur,0724999808897,37,31,1991.27,,,,False
lean-protein,1kg Pack (25 servings) / Taro,0724999807708,31,28,1893.27,,,,False
pureburn-fat-burner-capsules,90 Tablets,0724999807562,36,29,1889.6499999999999,,,,False
better-whey,1KG Pack / Vanilla,724999807913.0,25,20,1857.48,,,,False
soy-protein-isolate,1kg Pack (40 servings) / Unflavoured,0724999807845,38,25,1686.03,,,,False
clear-protein-25g-single-sachet,1 x 25g (1 serving) / Peach,CLEAR-PEA-25G-V2,111,100,1682.04,1.05,,active,True
micronized-creatine-monohydrate,1 x 250g Pack (50 servings),0724999807999,49,45,1679.35,,,,False
prime-whey-isolate,1kg Pack (40 servings) / Cocoa Dinosaur,724999807791.0,17,14,1659.337575757576,,,,False
plant-protein,480g Pack (16 servings) / Vanilla,724999808613.0,37,28,1645.6524242424243,,,,False
soy-protein-isolate,1KG Pack / Natural (Unflavoured),724999807845.0,32,27,1636.7778787878788,,,,False
collagen-glow,1 x 300g pack (30 servings),0724999808507,28,25,1634.02,,,,False
better-whey,1KG Pack / Teh Tarik,724999808422.0,18,16,1500.41,,,,False
collagen-glow,300g Pack (30 servings) / Natural (Unflavoured),724999808507.0,31,20,1490.969696969697,,,,False
clear-protein,4 x 500g Pack (80 servings) / Peach,0724999807814_4,6,5,1477.33,,,,False
lushprotein-lean-protein-40g-single-serve,5 x 40g Sachet (5 servings) *Most Popular* / Taro,0724999810524,21,9,1477.29,,,,False
better-whey,1kg (40 serves) / Matchawhey,0724999807784,28,24,1414.8727272727274,,,,False
collagen-glow,300g Pack,0724999808507,20,20,1412.389696969697,,,,False
prime-whey-isolate,Matchawhey / 1kg,724999807777.0,14,12,1345.98,,,,False
prime-whey-isolate,Cocoa Dinosaur,0724999807791,11,10,1345.0575757575757,,,,False
better-whey,500g Pack (20 servings) / Cocoa Dinosaur,0724999808897,45,36,1339.2939393939394,,,,False
pureburn-fat-burner-capsules,90 Tablets (90 servings),0724999807562,29,20,1316.0,,,,False
better-whey,500g Pack / Cocoa Dinosaur,0724999808897,27,27,1267.4163636363637,,,,False
lushprotein-lean-protein-40g-single-serve,5 x 40g Sachet (5 servings) *Most Popular* / Thai Milk Tea,LEAN-THA-40G-5PK-V1,40,31,1256.8899999999999,4.15,,,True
lean-protein,4 x 1kg Packs (100 servings) / Taro,LEAN-TAR-1KG-4BL-V1,5,3,1255.88,,,,False
lean-protein,4 x 1kg Packs (100 servings) / Taro,0724999807822_4,6,5,1251.31,,,,False
clear-protein-25g-single-sachet,5 x 25g (5 servings) *MOST POPULAR* / White Grape,CLEAR-GRA-25G-5PK-V2,49,41,1247.12,5.25,,,True
clear-protein,4 x 500g Pack (80 servings) / White Grape,CLEAR-GRA-500G-4BL-V2,4,4,1245.0,,,,False
soy-protein-isolate,1KG / Unflavoured,0724999807845,33,27,1238.14,,,,False
lean-protein,2 x 1kg Packs (50 servings) *MOST POPULAR* / Thai Milk Tea,0724999807821_2,11,10,1205.52,,,,False
lean-protein,2 x 1kg Packs (50 servings) *MOST POPULAR* / Taro,0724999807822_2,12,11,1192.94,,,,False
lushprotein-lean-protein-40g-single-serve,1 x 40g Sachet (1 serving) / Thai Milk Tea,LEAN-THA-40G-V1,93,80,1191.72,0.83,,,True
super-omega-3,60 Softgels,CAP-OMG-BOTTLE-V1,18,13,1112.66,11.56,,draft,True
better-whey,1KG Pack / Matchawhey,0724999807784,12,12,1103.4766666666667,,,,False
