customer_id,tier,profit_decile,order_freq_decile,finals_orders,finals_revenue,true_gross_profit,avg_margin_pct,cogs_coverage_pct,ever_subscribed,n_categories_ever,first_channel,first_product_cat,acq_year,days_to_second,lifespan_days,recency_days,recency_status
7755957895423,Tier 1,D1,D1,38,4995.46,2796.69,56.0,62.9,True,4,Direct / Organic,Unknown,2022,48.0,1442,52,Active
6336728531199,Tier 1,D1,D1,3,5542.97,2215.23,40.0,0.0,False,1,Subscription,Unknown,2022,2.0,4,1427,Likely churned
6558688313599,Tier 1,D1,D1,10,2783.08,1824.82,65.6,53.4,True,3,Direct / Organic,Unknown,2022,115.0,1401,51,Active
7756000690431,Tier 1,D1,D1,4,3612.43,1817.95,50.3,29.9,False,2,Direct / Organic,Unknown,2022,86.0,142,1282,Likely churned
7756026904831,Tier 1,D1,D1,5,4306.38,1722.55,40.0,0.0,False,1,Direct / Organic,Unknown,2022,0.0,72,1455,Likely churned
6336747438335,Tier 1,D1,D1,5,3180.03,1544.83,48.6,28.1,False,4,Subscription,Unknown,2022,2.0,1117,227,Likely churned
8081852530943,Tier 1,D1,D1,7,1933.2,1500.97,77.6,100.0,False,3,Direct / Organic,Clear Protein,2025,21.0,254,84,Active
6329689735423,Tier 1,D1,D1,13,2177.98,1431.6,65.7,57.9,False,4,Direct / Organic,Unknown,2022,1.0,817,702,Likely churned
7476721352959,Tier 1,D1,D1,11,1575.37,1089.58,69.2,100.0,True,2,Subscription,Clear Protein,2024,56.0,526,80,Active
6334073602303,Tier 1,D1,D1,6,1960.53,1080.55,55.1,49.5,False,3,Subscription,Unknown,2022,221.0,641,702,Likely churned
6327679418623,Tier 1,D1,D1,11,1670.91,1006.53,60.2,100.0,True,3,Subscription,Other,2022,110.0,665,634,Likely churned
6328214618367,Tier 1,D1,D1,14,1411.24,931.01,66.0,87.5,True,3,Subscription,Unknown,2022,101.0,833,584,Likely churned
8235052826879,Tier 1,D1,D1,4,1037.77,928.64,89.5,100.0,False,4,Direct / Organic,Lean Protein,2025,36.0,90,181,Likely churned
7756002066687,Tier 1,D1,D1,12,2010.06,923.13,45.9,50.8,True,5,Direct / Organic,Unknown,2022,23.0,907,580,Likely churned
6327501881599,Tier 1,D1,D1,4,2176.18,870.47,40.0,0.0,False,1,Subscription,Unknown,2022,28.0,94,1456,Likely churned
6590570627327,Tier 1,D1,D1,14,1125.32,827.42,73.5,100.0,True,3,Subscription,Other,2023,80.0,1053,101,At-risk
7756013306111,Tier 1,D1,D1,9,1232.96,768.5,62.3,98.2,True,4,Direct / Organic,Unknown,2022,54.0,532,700,Likely churned
6327806263551,Tier 1,D1,D1,3,1898.63,759.45,40.0,0.0,False,1,Subscription,Unknown,2022,21.0,22,1533,Likely churned
7916487934207,Tier 1,D1,D1,10,1045.9,750.08,71.7,100.0,True,2,Paid Social,Clear Protein,2025,37.0,318,87,Active
6329711493375,Tier 1,D1,D1,9,955.73,739.11,77.3,100.0,True,2,Subscription,Other,2024,28.0,420,190,Likely churned
7756006097151,Tier 1,D1,D1,5,1501.0,728.5,48.5,17.5,False,2,Direct / Organic,Unknown,2022,2.0,258,1202,Likely churned
7033655099647,Tier 1,D1,D1,17,889.29,727.87,81.8,100.0,True,2,Subscription,Unknown,2024,44.0,687,139,At-risk
6327607623935,Tier 1,D1,D1,12,1102.89,724.77,65.7,100.0,True,3,Subscription,Collagen Glow,2024,42.0,563,70,Active
6336754647295,Tier 1,D1,D1,4,754.9,642.22,85.1,88.7,True,3,Subscription,Unknown,2022,60.0,1112,228,Likely churned
