decile,n_customers,pct_customers,avg_profit,avg_orders,aov_decile,avg_cats_ever,avg_handles_ever,avg_units_per_tx,dollars_per_unit,units_per_cat_per_tx,avg_cats_per_tx,total_profit,total_revenue,total_orders
D1,429,0.1,228.32340326340326,4.24941724941725,134.32639605046626,2.261072261072261,2.58974358974359,2.6588041689522766,52.94401760539166,2.014546965918537,1.31980252331322,97950.74,244877.02,1823
D2,429,0.1,78.44275058275059,2.2447552447552446,87.36214953271028,2.041958041958042,2.2937062937062938,2.259605399792316,41.71496031082887,1.5929721815519766,1.4184839044652129,33651.94,84129.75,963
D3,429,0.1,53.21543123543124,1.529137529137529,87.00227134146341,1.8275058275058276,1.9533799533799534,2.355182926829268,39.52604942630185,1.5797546012269936,1.4908536585365855,22829.420000000002,57073.49,656
D4,429,0.1,42.15342657342657,1.2983682983682985,81.16592459605026,1.6037296037296038,1.7575757575757576,2.229802513464991,39.42820036109892,1.5486284289276806,1.4398563734290843,18083.82,45209.42,557
D5,429,0.1,33.08797202797203,1.1958041958041958,69.17606237816764,1.5804195804195804,1.6643356643356644,2.0584795321637426,36.23286070936639,1.4251012145748987,1.4444444444444444,14194.74,35487.32,513
D6,429,0.1,26.653892773892775,1.0909090909090908,61.08143162393163,1.365967365967366,1.4195804195804196,1.6816239316239316,37.41624966308575,1.2775974025974026,1.3162393162393162,11434.52,28586.11,468
D7,429,0.1,22.35102564102564,1.0652680652680653,52.454113785557986,1.1958041958041958,1.2167832167832169,1.4923413566739605,36.36764107349151,1.2771535580524345,1.1684901531728664,9588.59,23971.53,457
D8,429,0.1,16.52997668997669,1.0512820512820513,39.310022172949004,1.1888111888111887,1.1958041958041958,1.492239467849224,28.444916475302804,1.2602996254681647,1.1840354767184036,7091.36,17728.82,451
D9,429,0.1,10.056386946386946,1.083916083916084,23.194451612903226,1.219114219114219,1.2261072261072261,1.7161290322580645,13.063362193362194,1.4326750448833034,1.1978494623655913,4314.19,10785.42,465
D10,429,0.1,3.7623543123543124,1.013986013986014,9.277310344827587,1.592074592074592,1.592074592074592,2.942528735632184,3.072549005681818,1.8577648766328012,1.5839080459770114,1614.05,4035.63,435
