segment,category,n_category_buyers,pct_sole_cat_buyers,avg_n_categories,cat_share_of_buyers_profit,most_common_additional_cat,pct_also_buying
all_profit,Unknown,1429,0.5899,1.64,0.6526,Other,0.2281
all_profit,Other,1376,0.3794,2.01,0.5168,Unknown,0.2369
all_profit,Clear Protein,1363,0.4277,1.92,0.6559,Accessories,0.2656
all_profit,Lean Protein,1148,0.3371,2.06,0.5669,Accessories,0.3484
all_profit,Accessories,892,0.0123,2.54,0.0676,Lean Protein,0.4484
all_profit,Collagen Glow,411,0.2482,2.45,0.3841,Other,0.4185
all_profit,Soy Protein,192,0.3438,2.23,0.2866,Other,0.4115
d1_profit,Unknown,244,0.4057,2.16,0.6525,Other,0.459
d1_profit,Other,223,0.0852,2.91,0.421,Unknown,0.5022
d1_profit,Clear Protein,148,0.1014,3.05,0.5165,Other,0.5338
d1_profit,Lean Protein,128,0.0781,3.25,0.435,Clear Protein,0.6172
d1_profit,Accessories,104,0.0,3.56,0.0216,Other,0.7308
d1_profit,Collagen Glow,94,0.0638,3.32,0.3101,Other,0.6277
d1_profit,Soy Protein,29,0.0345,3.45,0.1537,Other,0.7931
