calendar_year,category,pct_d1_active_in_year,n_d1_active_buyers,d1_pool_size,n_d1_active_any_order
2022,Accessories,0.0023,1,429,189
2022,Clear Protein,0.0,0,429,189
2022,Collagen Glow,0.021,9,429,189
2022,Lean Protein,0.0,0,429,189
2022,Other,0.0746,32,429,189
2022,Soy Protein,0.007,3,429,189
2022,Unknown,0.4219,181,429,189
2023,Accessories,0.028,12,429,103
2023,Clear Protein,0.0023,1,429,103
2023,Collagen Glow,0.0653,28,429,103
2023,Lean Protein,0.0,0,429,103
2023,Other,0.1911,82,429,103
2023,Soy Protein,0.014,6,429,103
2023,Unknown,0.0886,38,429,103
2024,Accessories,0.0723,31,429,173
2024,Clear Protein,0.1702,73,429,173
2024,Collagen Glow,0.1166,50,429,173
2024,Lean Protein,0.0839,36,429,173
2024,Other,0.2471,106,429,173
2024,Soy Protein,0.0396,17,429,173
2024,Unknown,0.1166,50,429,173
2025,Accessories,0.1352,58,429,202
2025,Clear Protein,0.2238,96,429,202
2025,Collagen Glow,0.1002,43,429,202
2025,Lean Protein,0.2331,100,429,202
2025,Other,0.2331,100,429,202
2025,Soy Protein,0.028,12,429,202
2025,Unknown,0.042,18,429,202
