profit_decile,n_customers,total_revenue,total_gp,avg_gp,avg_margin_pct,avg_revenue,avg_orders,pct_gp,pct_revenue
D1,429,239489.45636363636,139960.96424242423,326.24933389842477,0.6538828684918001,558.2504810341173,4.181818181818182,0.40988605591188104,0.4339486384803588
D2,429,82223.28090909091,55532.28533333333,129.44588655788655,0.7178966282956409,191.6626594617504,2.0093240093240095,0.16263041294591,0.14898643699667177
D3,429,57361.741515151516,38927.413636363635,90.73989192625557,0.721310472122856,133.71035318217136,1.5617715617715617,0.11400181563927111,0.1039379771006146
D4,429,47162.942727272726,30863.202545454547,71.94219707565162,0.6916151349641624,109.93692943420216,1.4032634032634033,0.09038517584270378,0.08545802013158983
D5,429,36135.13424242424,23302.28115151515,54.3176716818535,0.6800015177509945,84.23108215017305,1.1934731934731935,0.06824245722114836,0.0654759192488022
D6,429,28281.29515151515,18824.128363636362,43.87908709472345,0.7084949378700411,65.92376492194674,1.1631701631701632,0.05512785491807238,0.051244967990685314
D7,429,25969.803636363635,15437.74103030303,35.985410327046694,0.6328270419151568,60.535672812036445,1.1095571095571095,0.0452105686564133,0.047056605750905284
D8,429,18894.928484848486,10552.165878787879,24.597123260577806,0.6101090776008007,44.04412234230416,1.0885780885780887,0.030902799768460467,0.03423711680122522
D9,429,12001.05303030303,6049.5583636363635,14.101534647171011,0.5488445444119605,27.974482588118953,1.062937062937063,0.017716579984292716,0.02174559457399701
D10,429,4364.700303030303,2013.3617575757576,4.693150950060041,0.49241326182092976,10.174126580490217,1.048951048951049,0.005896279111846779,0.007908722925150035
