cohort_month,cohort_size,repeat_in_60d,repeat_any_time,retention_60d,retention_ever
2019-12,3,0,0,0.0,0.0
2020-01,202,51,152,0.2524752475247525,0.7524752475247525
2020-02,92,27,58,0.29347826086956524,0.6304347826086957
2020-03,174,43,112,0.2471264367816092,0.6436781609195402
2020-04,121,39,68,0.32231404958677684,0.5619834710743802
2020-05,128,29,70,0.2265625,0.546875
2020-06,180,38,106,0.2111111111111111,0.5888888888888889
2020-07,102,20,42,0.19607843137254902,0.4117647058823529
2020-08,182,24,67,0.13186813186813187,0.36813186813186816
2020-09,91,11,33,0.12087912087912088,0.3626373626373626
2020-10,90,18,31,0.2,0.34444444444444444
2020-11,216,49,101,0.22685185185185186,0.4675925925925926
2020-12,118,26,56,0.22033898305084745,0.4745762711864407
2021-01,393,107,171,0.272264631043257,0.4351145038167939
2021-02,245,47,99,0.19183673469387755,0.40408163265306124
2021-03,323,86,136,0.26625386996904027,0.42105263157894735
2021-04,203,45,96,0.22167487684729065,0.4729064039408867
2021-05,178,48,87,0.2696629213483146,0.4887640449438202
2021-06,248,62,118,0.25,0.47580645161290325
2021-07,128,27,50,0.2109375,0.390625
2021-08,199,37,70,0.18592964824120603,0.35175879396984927
2021-09,255,59,90,0.23137254901960785,0.35294117647058826
2021-10,372,74,128,0.1989247311827957,0.34408602150537637
2021-11,446,103,156,0.23094170403587444,0.34977578475336324
2021-12,344,62,101,0.18023255813953487,0.2936046511627907
2022-01,181,33,60,0.18232044198895028,0.3314917127071823
2022-02,185,38,70,0.20540540540540542,0.3783783783783784
2022-03,97,31,45,0.31958762886597936,0.4639175257731959
2022-04,111,25,49,0.22522522522522523,0.44144144144144143
2022-05,107,24,45,0.22429906542056074,0.4205607476635514
2022-06,105,23,36,0.21904761904761905,0.34285714285714286
2022-07,228,58,86,0.2543859649122807,0.37719298245614036
2022-08,126,22,44,0.1746031746031746,0.3492063492063492
2022-09,78,10,22,0.1282051282051282,0.28205128205128205
2022-10,59,9,21,0.15254237288135594,0.3559322033898305
2022-11,114,12,37,0.10526315789473684,0.32456140350877194
2022-12,71,11,21,0.15492957746478872,0.29577464788732394
2023-01,89,7,19,0.07865168539325842,0.21348314606741572
2023-02,63,10,23,0.15873015873015872,0.36507936507936506
2023-03,137,25,42,0.18248175182481752,0.30656934306569344
2023-04,45,8,17,0.17777777777777778,0.37777777777777777
2023-05,48,6,20,0.125,0.4166666666666667
2023-06,61,6,12,0.09836065573770492,0.19672131147540983
2023-07,87,11,22,0.12643678160919541,0.25287356321839083
2023-08,73,10,19,0.136986301369863,0.2602739726027397
2023-09,96,11,21,0.11458333333333333,0.21875
2023-10,55,6,10,0.10909090909090909,0.18181818181818182
2023-11,82,15,31,0.18292682926829268,0.3780487804878049
2023-12,37,8,19,0.21621621621621623,0.5135135135135135
2024-01,54,7,19,0.12962962962962962,0.35185185185185186
2024-02,57,9,22,0.15789473684210525,0.38596491228070173
2024-03,111,24,53,0.21621621621621623,0.4774774774774775
2024-04,148,39,54,0.2635135135135135,0.36486486486486486
2024-05,182,39,78,0.21428571428571427,0.42857142857142855
2024-06,154,34,52,0.22077922077922077,0.33766233766233766
2024-07,385,48,87,0.12467532467532468,0.22597402597402597
2024-08,315,30,71,0.09523809523809523,0.2253968253968254
2024-09,230,41,67,0.1782608695652174,0.29130434782608694
2024-10,141,27,46,0.19148936170212766,0.3262411347517731
2024-11,145,25,41,0.1724137931034483,0.2827586206896552
2024-12,93,15,33,0.16129032258064516,0.3548387096774194
2025-01,53,11,15,0.20754716981132076,0.2830188679245283
2025-02,69,11,20,0.15942028985507245,0.2898550724637681
2025-03,139,22,34,0.15827338129496402,0.2446043165467626
2025-04,420,62,109,0.14761904761904762,0.25952380952380955
2025-05,425,54,83,0.12705882352941175,0.1952941176470588
2025-06,362,54,83,0.14917127071823205,0.2292817679558011
2025-07,391,58,86,0.1483375959079284,0.21994884910485935
2025-08,332,39,58,0.11746987951807229,0.1746987951807229
2025-09,303,50,77,0.16501650165016502,0.25412541254125415
2025-10,364,61,75,0.16758241758241757,0.20604395604395603
2025-11,494,74,103,0.14979757085020243,0.20850202429149797
2025-12,172,23,29,0.13372093023255813,0.1686046511627907
2026-01,236,34,35,0.1440677966101695,0.1483050847457627
2026-02,319,28,28,0.0877742946708464,0.0877742946708464
