bucket,n_customers,pct_of_repeaters,cum_pct
0-7d,336,0.07535321821036106,0.07535321821036106
8-14d,222,0.04978694774613142,0.12514016595649247
15-21d,213,0.047768557972639604,0.17290872392913206
22-30d,355,0.07961426328773268,0.2525229872168647
31-45d,372,0.08342677730432832,0.3359497645211931
46-60d,320,0.0717649697241534,0.4077147342453465
61-90d,461,0.10338640950885848,0.511101143754205
91-120d,257,0.0576362413097107,0.5687373850639157
121-180d,346,0.07759587351424087,0.6463332585781566
181-365d,450,0.10091948867459072,0.7472527472527473
365d+,463,0.10383494056963445,0.8510876878223818
