vtd_decile,n_cohort,pct_cohort,pct_active_2020,pct_active_2021,pct_active_2022,pct_active_2023,pct_active_2024,pct_active_2025,pct_active_2026
D1,170,0.1002,1.0,0.8176,0.6353,0.3765,0.3882,0.2294,0.0882
D2,170,0.1002,1.0,0.6588,0.5,0.2588,0.2176,0.0882,0.0353
D3,169,0.0996,1.0,0.568,0.3609,0.1657,0.1538,0.0828,0.0178
D4,170,0.1002,1.0,0.3294,0.1765,0.0765,0.1176,0.0294,0.0059
D5,169,0.0996,1.0,0.2189,0.1243,0.0118,0.071,0.0118,0.0
D6,170,0.1002,1.0,0.1294,0.0412,0.0118,0.0059,0.0118,0.0
D7,169,0.0996,1.0,0.0828,0.0118,0.0237,0.0,0.0,0.0059
D8,170,0.1002,1.0,0.0235,0.0059,0.0,0.0,0.0,0.0
D9,169,0.0996,1.0,0.0059,0.0,0.0,0.0,0.0,0.0
D10,170,0.1002,1.0,0.0,0.0,0.0,0.0,0.0,0.0
