acq_year,channel,pct
2020,Direct / Organic,0.5283018867924528
2021,Direct / Organic,0.6169766046790642
2022,Direct / Organic,0.579343365253078
2023,Direct / Organic,0.3333333333333333
2024,Direct / Organic,0.3746898263027295
2020,Email,0.0
2021,Email,0.0
2022,Email,0.0
2023,Email,0.0
2024,Email,0.0004962779156327543
2020,Marketplace,0.0
2021,Marketplace,0.0
2022,Marketplace,0.023255813953488372
2023,Marketplace,0.2943871706758305
2024,Marketplace,0.1424317617866005
2020,Subscription,0.4716981132075472
2021,Subscription,0.3830233953209358
2022,Subscription,0.39740082079343364
2023,Subscription,0.3722794959908362
2024,Subscription,0.4823821339950372
