first_handle,first_variant,first_sku,flavor_sku,customers,repeat_rate,avg_ltv
clear-protein,500g Pack (20 Serv) / Peach,0724999807814,clear-protein | 500g Pack (20 Serv) / Peach,326,0.2852760736196319,145.54346718720953
clear-protein,500g Pack (20 Serv) / White Grape,0724999807807,clear-protein | 500g Pack (20 Serv) / White Grape,211,0.2559241706161137,126.1371650150797
lushprotein-clear-shaker,White,0724999808361,lushprotein-clear-shaker | White,162,0.19753086419753085,49.20697530864197
lean-protein,1 x 1kg Pack (25 servings) / Thai Milk Tea,LEAN-THA-1KG-V1,lean-protein | 1 x 1kg Pack (25 servings) / Thai Milk Tea,143,0.1048951048951049,119.98671328671328
lushprotein-clear-shaker,White,ACC-SHK-V2,lushprotein-clear-shaker | White,137,0.145985401459854,97.06627737226277
lean-protein,1kg Pack (25 servings) / Thai Milk Tea,0724999807821,lean-protein | 1kg Pack (25 servings) / Thai Milk Tea,129,0.3875968992248062,139.98461827578106
clear-protein,1 x 500g Pack (20 servings) / White Grape,CLEAR-GRA-500G-V2,clear-protein | 1 x 500g Pack (20 servings) / White Grape,123,0.10569105691056911,139.11008130081302
lean-protein,1 x 1kg Pack (25 servings) / Taro,LEAN-TAR-1KG-V1,lean-protein | 1 x 1kg Pack (25 servings) / Taro,112,0.10714285714285714,112.40705357142858
micronized-creatine-monohydrate,1 x 250g Pack (50 servings),CRE-UNF-250G-V1,micronized-creatine-monohydrate | 1 x 250g Pack (50 servings),110,0.11818181818181818,95.90363636363637
clear-protein,1 x 500g Pack (20 servings) / Peach,CLEAR-PEA-500G-V2,clear-protein | 1 x 500g Pack (20 servings) / Peach,108,0.05555555555555555,127.87351851851852
plant-protein,480g Pack (16 servings) / Cocoa Dinosaur,0724999808606,plant-protein | 480g Pack (16 servings) / Cocoa Dinosaur,80,0.2875,70.41801136363637
soy-protein-isolate,1 x 1kg Pack (40 servings) / Unflavoured,SOY-UNF-1KG-V1,soy-protein-isolate | 1 x 1kg Pack (40 servings) / Unflavoured,74,0.0945945945945946,90.75202702702703
soy-protein-isolate,1kg Pack (40 servings) / Natural (Unflavoured),0724999807845,soy-protein-isolate | 1kg Pack (40 servings) / Natural (Unflavoured),64,0.25,84.54286458333334
collagen-glow,300g Pack,724999808507.0,collagen-glow | 300g Pack,61,0.3770491803278688,123.18368604073522
lushprotein-clear-shaker,40g Sachet / Thai Milk Tea,0724999810463,unknown | 40g Sachet / Thai Milk Tea,60,0.18333333333333332,39.7055
better-whey,1kg Pack (40 servings) / Cocoa Dinosaur,0724999807937,better-whey | 1kg Pack (40 servings) / Cocoa Dinosaur,57,0.22807017543859648,130.3829452418926
collagen-glow,300g Pack (30 servings),0724999808507,collagen-glow | 300g Pack (30 servings),56,0.26785714285714285,126.87410714285714
discovery-sampler,5 Sachets Variety,BND-SS-MIX6-V1,discovery-sampler | 5 Sachets Variety,52,0.057692307692307696,50.76480769230769
plant-protein,480g Pack (16 servings) / Vanilla,0724999808613,plant-protein | 480g Pack (16 servings) / Vanilla,47,0.2553191489361702,100.29551257253384
collagen-glow,1 x 300g pack (30 servings),COL-UNF-300G-V1,collagen-glow | 1 x 300g pack (30 servings),47,0.1702127659574468,136.39702127659575
lean-protein,1 x 1kg Pack (25 servings) / Thai Milk Tea,0724999807821,lean-protein | 1 x 1kg Pack (25 servings) / Thai Milk Tea,46,0.15217391304347827,123.22978260869564
clear-protein,1 x 500g Pack (20 servings) / Peach,0724999807814,clear-protein | 1 x 500g Pack (20 servings) / Peach,41,0.14634146341463414,152.22219512195122
lean-protein,1kg Pack (25 serves) / Thai Milk Tea,0724999807821,lean-protein | 1kg Pack (25 serves) / Thai Milk Tea,40,0.225,118.48907575757576
lushprotein-clear-shaker,40g Sachet / Taro,0724999810470,unknown | 40g Sachet / Taro,39,0.07692307692307693,14.288205128205128
clear-protein,500g Pack (20 servings) / Peach,0724999807814,clear-protein | 500g Pack (20 servings) / Peach,39,0.1794871794871795,161.1076923076923
lean-protein,40g Sachet (1 serving) / Taro,0724999810470,lean-protein | 40g Sachet (1 serving) / Taro,36,0.1111111111111111,22.234444444444446
better-whey,1kg Pack (40 servings) / Natural (Unflavoured),0724999807890,better-whey | 1kg Pack (40 servings) / Natural (Unflavoured),36,0.3888888888888889,162.27695286195288
lean-protein,1 x 1kg Pack (25 servings) / Taro,0724999807822,lean-protein | 1 x 1kg Pack (25 servings) / Taro,34,0.17647058823529413,114.93735294117647
