Line: SKU,flavor_label,repeat_buyers,median_reorder_days,mean_reorder_days
0724999807814,clear-protein / 500g Pack (20 Serv) / Peach,81,54.0,75.78395061728395
0724999807807,clear-protein / 500g Pack (20 Serv) / White Grape,48,53.5,70.53125
0724999808507,collagen-glow / 300g Pack (30 servings) / Natural (Unflavoured),40,42.0,50.225
0724999807821,lean-protein / 1kg Pack (25 servings) / Thai Milk Tea,39,35.0,68.8076923076923
0724999807999,micronized-creatine-monohydrate / Default,37,65.5,85.36486486486487
CRE-UNF-250G-V1,micronized-creatine-monohydrate / 1 x 250g Pack (50 servings),36,66.5,72.61111111111111
724999808507.0,collagen-glow / 300g Pack,34,41.0,54.13235294117647
LEAN-THA-1KG-V1,lean-protein / 1 x 1kg Pack (25 servings) / Thai Milk Tea,34,35.25,51.411764705882355
0724999807845,soy-protein-isolate / 1kg Pack (40 servings) / Natural (Unflavoured),30,84.0,95.83333333333333
0724999807937,better-whey / 1kg Pack (40 servings) / Cocoa Dinosaur,29,83.0,84.56896551724138
0724999808606,plant-protein / 480g Pack (16 servings) / Cocoa Dinosaur,29,62.0,100.08620689655173
0724999808507,collagen-glow / 300g (30 serves) / Unflavoured,28,49.25,66.76785714285714
COL-UNF-300G-V1,collagen-glow / 1 x 300g pack (30 servings),27,53.5,60.81481481481482
0724999807890,better-whey / 1kg Pack (40 servings) / Natural (Unflavoured),27,80.5,101.77777777777777
0724999808507,collagen-glow / 300g Pack (30 servings),27,56.0,58.111111111111114
0724999807760,prime-whey-isolate / 1kg Pack (40 servings) / Natural (Unflavoured),26,47.5,74.75
LEAN-TAR-1KG-V1,lean-protein / 1 x 1kg Pack (25 servings) / Taro,25,40.0,51.02
0724999808613,plant-protein / 480g Pack (16 servings) / Vanilla,23,56.0,71.69565217391305
0724999807937,better-whey / 1kg (40 serves) / Cocoa Dinosaur,20,84.0,93.925
0724999808620,plant-protein / 480g Pack (16 servings) / Natural (Unflavoured),19,42.0,64.26315789473684
0724999808361,lushprotein-clear-shaker / Default,16,88.0,118.90625
SOY-UNF-1KG-V1,soy-protein-isolate / 1 x 1kg Pack (40 servings) / Unflavoured,15,44.0,50.2
724999807937.0,better-whey / 1KG Pack / Cocoa Dinosaur,15,62.0,72.5
724999808507.0,collagen-glow / 300g Pack (30 servings) / Natural (Unflavoured),15,63.0,64.83333333333333
0724999807791,prime-whey-isolate / 1kg Pack (40 servings) / Cocoa Dinosaur,14,49.0,55.285714285714285
0724999808507,collagen-glow / 300g,12,28.0,32.875
724999807913.0, / 1KG Pack / Vanilla,12,81.5,79.33333333333333
0724999807821,lean-protein / 1kg Pack (25 serves) / Thai Milk Tea,12,28.0,42.25
PLT-CHO-480G-V1,plant-protein / 480g Pack (16 servings) / Cocoa Dinosaur,12,50.25,59.125
724999807890.0,better-whey / 1KG Pack / Natural (Unflavored),12,69.5,67.33333333333333
0724999807821,lean-protein / 1 x 1kg Pack (25 servings) / Thai Milk Tea,11,28.0,29.40909090909091
0724999808361,lushprotein-clear-shaker / White,11,8.0,9.227272727272727
724999807784.0,better-whey / 1KG Pack / Matchawhey,11,84.0,89.13636363636364
0724999807890,better-whey / 1kg (40 serves) / Unflavoured,11,56.0,68.45454545454545
724999807760.0,prime-whey-isolate / Natural (Unflavored) / 1kg,11,56.0,51.95454545454545
724999807760.0,prime-whey-isolate / 1kg Pack (40 servings) / Natural (Unflavoured),11,56.0,51.13636363636363
CLEAR-PEA-500G-V2,clear-protein / 1 x 500g Pack (20 servings) / Peach,11,68.0,75.45454545454545
0724999807784,better-whey / 1kg Pack (40 servings) / Matchawhey,10,56.0,62.1
0724999807999,micronized-creatine-monohydrate / 250g (50 servings),9,41.0,37.111111111111114
CLEAR-GRA-500G-V2,clear-protein / 1 x 500g Pack (20 servings) / White Grape,9,28.0,39.27777777777778
724999807890.0,better-whey / 1kg Pack (40 servings) / Natural (Unflavoured),9,56.0,56.111111111111114
0724999808361, / Default,9,74.0,90.44444444444444
ACC-SHK-V2,lushprotein-clear-shaker / White,8,33.0,54.875
724999807937.0,better-whey / 1kg Pack (40 servings) / Cocoa Dinosaur,8,52.75,58.4375
724999807913.0,better-whey / 1KG Pack / Vanilla,8,64.0,66.25
PLT-VAN-480G-V1,plant-protein / 480g Pack (16 servings) / Vanilla,7,42.0,45.92857142857143
724999808699.0, / 500g (10 servings) / Belgian Choc,7,36.0,40.57142857142857
724999808606.0,plant-protein / Cocoa Dinosaur / 480g,7,67.5,80.57142857142857
0724999807890,better-whey / 1kg (40 servings) / Unflavoured,7,83.0,71.57142857142857
0724999807562,pureburn-fat-burner-capsules / 90 Tablets (90 servings),6,77.5,81.33333333333333
0724999807555,super-omega-3 / 60 Softgels,6,82.5,81.33333333333333
0724999807814,clear-protein / 1 x 500g Pack (20 servings) / Peach,6,42.0,43.5
0724999807913, / 1kg Pack (40 servings) / Vanilla,6,55.0,97.0
LEAN-THA-40G-5PK-V1,lushprotein-lean-protein-40g-single-serve / 5 x 40g Sachet (5 servings) *Most Popular* / Thai Milk Tea,6,12.25,22.25
0724999808897,better-whey / 500g Pack (20 servings) / Cocoa Dinosaur,6,45.25,53.083333333333336
0724999808507,collagen-glow / 1 x 300g pack (30 servings),6,33.0,37.25
724999809146.0, / 500g (40 servings),6,46.0,55.166666666666664
CRE-UNF-5G-10PK-V1,creatine-monohydrate-sachet / 10 x 5g (10 servings) *Most Popular*,6,47.5,47.833333333333336
0724999807807,clear-protein / 1 x 500g Pack (20 servings) / White Grape,5,56.0,46.0
0724999807822,lean-protein / 1 x 1kg Pack (25 servings) / Taro,5,28.0,32.4
724999808606.0,plant-protein / 480g Pack (16 servings) / Cocoa Dinosaur,5,56.0,56.8
724999807784.0,better-whey / 1kg Pack (40 servings) / Matchawhey,5,42.0,42.0
724999807777.0,prime-whey-isolate / Matchawhey / 1kg,5,63.0,69.0
724999807845.0,soy-protein-isolate / 1KG Pack / Natural (Unflavoured),5,40.0,41.6
724999807791.0,prime-whey-isolate / Cocoa Dinosaur / 1kg,5,32.0,55.4
CAP-PBT-BOTTLE-V1,pureburn-fat-burner-capsules / 90 Tablets,5,71.0,65.9
LEAN-THA-1KG-2BL-V1,lean-protein / 2 x 1kg Packs (50 servings) *MOST POPULAR* / Thai Milk Tea,5,58.5,64.7
LEAN-TAR-1KG-2BL-V1,lean-protein / 2 x 1kg Packs (50 servings) *MOST POPULAR* / Taro,5,56.0,57.4
