Line: Product Handle,Line: Variant Title,Line: SKU,line_items,unique_customers,total_revenue,unit_cost,Price / Singapore,Status,has_cost
clear-protein,500g Pack (20 Serv) / Peach,0724999807814,654,532,45811.22727272727,,,,False
lean-protein,1 x 1kg Pack (25 servings) / Thai Milk Tea,LEAN-THA-1KG-V1,336,275,33209.52,18.16,,,True
clear-protein,500g Pack (20 Serv) / White Grape,0724999807807,425,362,28903.933333333334,,,,False
clear-protein,1 x 500g Pack (20 servings) / Peach,CLEAR-PEA-500G-V2,273,237,27105.88,18.39,,active,True
clear-protein,1 x 500g Pack (20 servings) / White Grape,CLEAR-GRA-500G-V2,244,207,23701.77,18.39,,,True
lean-protein,1 x 1kg Pack (25 servings) / Taro,LEAN-TAR-1KG-V1,259,205,20887.739999999998,17.65,,active,True
lean-protein,1kg Pack (25 servings) / Thai Milk Tea,0724999807821,304,255,19307.72818181818,,,,False
micronized-creatine-monohydrate,1 x 250g Pack (50 servings),CRE-UNF-250G-V1,234,192,11524.66,5.07,,active,True
soy-protein-isolate,1 x 1kg Pack (40 servings) / Unflavoured,SOY-UNF-1KG-V1,120,99,10465.02,4.34,,active,True
collagen-glow,1 x 300g pack (30 servings),COL-UNF-300G-V1,115,92,10269.25,11.86,,active,True
better-whey,1kg Pack (40 servings) / Cocoa Dinosaur,0724999807937,152,119,10043.963333333333,,,,False
clear-protein,1 x 500g Pack (20 servings) / Peach,0724999807814,112,94,9284.11,,,,False
lean-protein,1 x 1kg Pack (25 servings) / Thai Milk Tea,0724999807821,122,100,8327.43,,,,False
plant-protein,480g Pack (16 servings) / Cocoa Dinosaur,0724999808606,167,123,7805.8,,,,False
lean-protein-peach-oolong-pre-order,1 x 1kg Pack (25 servings) / Peach Oolong,LEAN-POL-1KG-V1,85,85,7758.48,17.65,,active,True
better-whey,1kg Pack (40 servings) / Natural (Unflavoured),0724999807890,97,81,7346.693939393939,,,,False
plant-protein,480g Pack (16 servings) / Vanilla,0724999808613,140,90,7150.635757575757,,,,False
prime-whey-isolate,1kg Pack (40 servings) / Natural (Unflavoured),0724999807760,86,55,6927.813636363637,,,,False
collagen-glow,300g Pack (30 servings),0724999808507,143,115,6538.2,,,,False
collagen-glow,300g Pack,724999808507.0,132,102,6485.016666666667,,,,False
collagen-glow,300g Pack (30 servings) / Natural (Unflavoured),0724999808507,115,75,6037.539393939394,,,,False
clear-protein,500g Pack (20 servings) / Peach,0724999807814,86,74,5874.76,,,,False
soy-protein-isolate,1kg Pack (40 servings) / Natural (Unflavoured),0724999807845,152,118,5812.69303030303,,,,False
clear-protein,1 x 500g Pack (20 servings) / White Grape,0724999807807,79,64,5776.14,,,,False
lean-protein,1kg Pack (25 serves) / Thai Milk Tea,0724999807821,108,96,5578.072424242424,,,,False
