handle_item,orders,customers
clear-protein,3239,2291
lean-protein,2982,1980
better-whey,2946,1705
lushprotein-clear-shaker,2275,2002
collagen-glow,1851,976
micronized-creatine-monohydrate,1419,921
plant-protein,1404,804
soy-protein-isolate,965,639
lushprotein-lean-protein-40g-single-serve,797,659
prime-whey-isolate,762,388
clear-protein-25g-single-sachet,579,493
discovery-sampler,374,282
better-whey-protein-elite,298,200
pureburn-fat-burner-capsules,248,182
super-omega-3,228,134
multivitamin-vegan,156,104
green-tea-extract-capsules,150,125
creatine-monohydrate-sachet,132,95
sg-nov-2025-victory-tag,122,113
lean-protein-peach-oolong-pre-order,118,116
collagen-glow-10g-single-serve,75,61
victory-tag-delivery,67,60
lushprotein-logo-white-cap,54,50
thermal-stainless-steel-bottle,53,46
lp-squeeze-bottle,38,31
lp-tote-bag-fuel-your-journey,30,28
lp-gifting-box,28,24
victory-tag-public,6,6
sg-june-2025-victory-tag-delivery,5,5
sample-new-flavour-tester_2025-12,4,4
lp-fuel-your-journey-sweater,4,4
carton_20pc-lean-protein-sachet-40g-taro-pack-of-5-copy,2,2
creatine-mono-40pcs,1,1
carton_20pc-lean-protein-sachet-40g-thai-milk-tea-pack-of-5,1,1
carton_20pc-lean-protein-sachet-40g-taro-pack-of-5,1,1
bag_15pc-lean-protein-sachet-40g-thai-milk-tea,1,1
