sku_item,orders,customers
0724999807814 | CLEAR PROTEIN | 500g Pack (20 Serv) / Peach,1068,840
0724999808361 | LP CLASSIC SHAKER | White,955,888
0724999807807 | CLEAR PROTEIN | 500g Pack (20 Serv) / White Grape,739,599
0724999807821 | LEAN PROTEIN | 1kg Pack (25 servings) / Thai Milk Tea,611,496
ACC-SHK-V2 | LP CLASSIC SHAKER | White,581,540
LEAN-THA-1KG-V1 | LEAN PROTEIN | 1 x 1kg Pack (25 servings) / Thai Milk Tea,550,414
LEAN-TAR-1KG-V1 | LEAN PROTEIN | 1 x 1kg Pack (25 servings) / Taro,478,366
0724999807999 | Creatine Monohydrate | Default,441,318
CRE-UNF-250G-V1 | CREATINE MONOHYDRATE | 1 x 250g Pack (50 servings),435,324
CLEAR-GRA-500G-V2 | CLEAR PROTEIN | 1 x 500g Pack (20 servings) / White Grape,408,321
CLEAR-PEA-500G-V2 | CLEAR PROTEIN | 1 x 500g Pack (20 servings) / Peach,391,326
0724999808606 | PLANT PROTEIN | 480g Pack (16 servings) / Cocoa Dinosaur,383,231
0724999808361 | [FREE GIFT] LushProtein Classic Shaker | Default,351,311
0724999808361 | LushProtein Classic Shaker | Default,332,310
0724999807937 | BETTER WHEY PROTEIN | 1kg Pack (40 servings) / Cocoa Dinosaur,328,244
0724999807821 | LEAN PROTEIN | 1 x 1kg Pack (25 servings) / Thai Milk Tea,312,246
0724999808507 | COLLAGEN GLOW | 300g (30 serves) / Unflavoured,305,194
0724999808613 | PLANT PROTEIN | 480g Pack (16 servings) / Vanilla,294,192
0724999808507 | COLLAGEN GLOW | 300g Pack (30 servings),293,200
0724999807814 | CLEAR PROTEIN | 1 x 500g Pack (20 servings) / Peach,268,220
0724999807937 | BETTER WHEY PROTEIN | 1kg (40 serves) / Cocoa Dinosaur,256,182
BND-SS-MIX6-V1 | Discovery Sampler (6 sachets variety pack) | 6 Sachets Variety,239,193
COL-UNF-300G-V1 | COLLAGEN GLOW | 1 x 300g pack (30 servings),238,167
0724999807890 | BETTER WHEY PROTEIN | 1kg Pack (40 servings) / Natural (Unflavoured),238,158
0724999808361 | [FREE] LushProtein Classic Shaker | Default,210,188
0724999807822 | LEAN PROTEIN | 1 x 1kg Pack (25 servings) / Taro,209,173
0724999807807 | CLEAR PROTEIN | 1 x 500g Pack (20 servings) / White Grape,207,169
0724999807845 | Soy Protein Isolate | 1kg Pack (40 servings) / Natural (Unflavoured),206,132
0724999808507 | COLLAGEN GLOW | 300g Pack (30 servings) / Natural (Unflavoured),201,120
0724999807760 | Prime Whey Isolate | 1kg Pack (40 servings) / Natural (Unflavoured),200,110
0724999807821 | LEAN PROTEIN | 1kg Pack (25 serves) / Thai Milk Tea,198,162
0724999807784 | BETTER WHEY PROTEIN | 1kg Pack (40 servings) / Matchawhey,196,142
SOY-UNF-1KG-V1 | SOY PROTEIN ISOLATE | 1 x 1kg Pack (40 servings) / Unflavoured,194,150
0724999810463 | LEAN PROTEIN | 40g Sachet (1 serving) / Thai Milk Tea,191,184
0724999808620 | PLANT PROTEIN | 480g Pack (16 servings) / Natural (Unflavoured),188,119
0724999810470 | LEAN PROTEIN | 40g Sachet (1 serving) / Taro,183,178
724999808507 | COLLAGEN GLOW | 300g Pack,183,127
0724999810463 | LEAN PROTEIN SACHET | 40g Sachet / Thai Milk Tea,178,167
LEAN-THA-40G-V1 | Lean Protein Single Serve | 1 x 40g Sachet (1 serving) / Thai Milk Tea,177,155
LEAN-TAR-40G-V1 | Lean Protein Single Serve | 1 x 40g Sachet (1 serving) / Taro,164,145
0724999807999 | CREATINE MONOHYDRATE | 1 x 250g Pack (50 servings),162,137
0724999810470 | Lean Protein Single Serve | 40g Sachet / Taro,158,142
0724999810487 | CLEAR PROTEIN | 25g Sachet (1 serving) / White Grape,158,149
