first_handle,first_variant,customers,repeat_rate,pct_subscribed,avg_ltv,gateway_score
collagen-glow,300g Pack (30 servings) / Natural (Unflavoured),38,0.5263157894736842,0.2631578947368421,204.88625996810208,0.6648199445983379
collagen-glow,300g Pack,68,0.39705882352941174,0.22058823529411764,143.90057486631017,0.4846453287197232
better-whey,1kg Pack (40 servings) / Matchawhey,45,0.3333333333333333,0.35555555555555557,108.39949494949495,0.45185185185185184
better-whey,1kg Pack (40 servings) / Cocoa Dinosaur,82,0.35365853658536583,0.25609756097560976,174.98163710273465,0.44422962522308146
better-whey,1KG Pack / Cocoa Dinosaur,40,0.325,0.225,164.00026515151515,0.39812500000000006
lean-protein,1kg Pack (25 servings) / Thai Milk Tea,125,0.336,0.184,134.79685818181818,0.397824
collagen-glow,300g (30 serves) / Unflavoured,31,0.3225806451612903,0.22580645161290322,70.38190615835776,0.39542143600416235
better-whey,1kg Pack (40 servings) / Natural (Unflavoured),61,0.3442622950819672,0.14754098360655737,176.2099304520616,0.3950550927170115
prime-whey-isolate,1kg Pack (40 servings) / Natural (Unflavoured),37,0.32432432432432434,0.1891891891891892,181.4803194103194,0.3856829802775749
soy-protein-isolate,1kg Pack (40 servings) / Natural (Unflavoured),72,0.3055555555555556,0.20833333333333334,76.76657407407407,0.36921296296296297
clear-protein,500g Pack (20 Serv) / White Grape,213,0.30985915492957744,0.15023474178403756,147.13116944088776,0.3564107650598426
better-whey,1KG Pack / Matchawhey,31,0.3225806451612903,0.0967741935483871,153.18618768328446,0.3537981269510926
clear-protein,500g Pack (20 Serv) / Peach,309,0.29449838187702265,0.13268608414239483,143.423988427969,0.3335742189545564
collagen-glow,300g Pack (30 servings),70,0.24285714285714285,0.17142857142857143,127.57342857142856,0.28448979591836737
plant-protein,480g Pack (16 servings) / Cocoa Dinosaur,138,0.2463768115942029,0.07971014492753623,90.39621651295565,0.2660155429531611
clear-protein,500g Pack (20 servings) / Peach,35,0.2,0.3142857142857143,114.3217142857143,0.26285714285714284
plant-protein,480g Pack (16 servings) / Natural (Unflavoured),47,0.2127659574468085,0.1702127659574468,93.62604771115409,0.24898143956541421
clear-protein,500g Pack (20 servings) / White Grape,31,0.1935483870967742,0.22580645161290322,186.0883870967742,0.2372528616024974
better-whey,500g Pack / Cocoa Dinosaur,42,0.21428571428571427,0.09523809523809523,125.3375468975469,0.23469387755102042
plant-protein,480g Pack (16 servings) / Vanilla,82,0.2073170731707317,0.12195121951219512,101.41527716186252,0.23259964306960143
discovery-sampler,6 Sachets Variety,44,0.22727272727272727,0.022727272727272728,115.7843181818182,0.2324380165289256
lushprotein-lean-protein-40g-single-serve,1 x 40g Sachet (1 serving) / Thai Milk Tea,48,0.20833333333333334,0.08333333333333333,90.52020833333334,0.22569444444444445
collagen-glow,1 x 300g pack (30 servings),57,0.19298245614035087,0.10526315789473684,189.59105263157895,0.21329639889196672
lean-protein,1kg Pack (25 serves) / Thai Milk Tea,31,0.1935483870967742,0.0967741935483871,121.65347996089932,0.21227887617065555
lushprotein-clear-shaker,White,359,0.17548746518105848,0.06685236768802229,68.09027855153204,0.18721921772798164
micronized-creatine-monohydrate,1 x 250g Pack (50 servings),131,0.16030534351145037,0.07633587786259542,106.5275572519084,0.17254239263446183
lushprotein-clear-shaker,40g Sachet / Thai Milk Tea,108,0.1574074074074074,0.06481481481481481,29.267314814814814,0.16760973936899864
lean-protein,1 x 1kg Pack (25 servings) / Thai Milk Tea,193,0.12953367875647667,0.20207253886010362,122.59373056994819,0.15570887809068698
lean-protein,1 x 1kg Pack (25 servings) / Taro,136,0.125,0.11764705882352941,119.08536764705883,0.13970588235294118
soy-protein-isolate,1 x 1kg Pack (40 servings) / Unflavoured,98,0.1326530612244898,0.04081632653061224,106.62673469387755,0.1380674718867139
clear-protein,1 x 500g Pack (20 servings) / White Grape,149,0.11409395973154363,0.20134228187919462,129.9638255033557,0.13706589793252555
clear-protein-25g-single-sachet,1 x 25g (1 serving) / Peach,37,0.13513513513513514,0.0,79.89324324324323,0.13513513513513514
clear-protein,1 x 500g Pack (20 servings) / Peach,149,0.08053691275167785,0.2080536912751678,127.85302013422817,0.09729291473357056
lean-protein-peach-oolong-pre-order,1 x 1kg Pack (25 servings) / Peach Oolong,39,0.07692307692307693,0.07692307692307693,95.76307692307692,0.08284023668639054
discovery-sampler,5 Sachets Variety,49,0.061224489795918366,0.0,45.705510204081634,0.061224489795918366
better-whey,500g (20 servings) / Cocoa Dinosaur,30,0.03333333333333333,0.0,47.242,0.03333333333333333
