sku_norm,Line: Title,Line: Variant Title,product_category,line_items,orders,revenue_sgd,covered_revenue_sgd,covered_lines,estimated_gross_profit_sgd,estimated_cogs_sgd,revenue_coverage_pct,line_coverage_pct,estimated_margin_pct
,Collagen Glow - 300g Pack,,Unknown,1213,1206,141437.52272727274,0.0,0,0.0,0.0,0.0,0.0,
,"Prime Whey Isolate - 1KG Pack, Natural (Unflavoured)",,Unknown,478,477,114425.40151515152,0.0,0,0.0,0.0,0.0,0.0,
,"Better Whey Protein - 1KG Pack, Chocolate Dinosaur",,Unknown,489,489,92063.19848484849,0.0,0,0.0,0.0,0.0,0.0,
0724999807814,CLEAR PROTEIN,500g Pack (20 Serv) / Peach,Clear Protein,1068,1068,86884.17484848485,86884.17484848484,1068,60053.16484848485,26831.010000000002,0.9999999999999998,1.0,0.6911864554530222
,"Better Whey - 1KG Pack, Chocolate Dinosaur",,Unknown,589,589,77220.59606060605,0.0,0,0.0,0.0,0.0,0.0,
,"Plant Protein - 480g Pack, Vanilla",,Unknown,637,636,77094.7487878788,0.0,0,0.0,0.0,0.0,0.0,
,"Better Whey - 1KG Pack, Natural (Unflavoured)",,Unknown,260,260,72257.68484848485,0.0,0,0.0,0.0,0.0,0.0,
,"Better Whey Protein - 1KG Pack, Matchawhey",,Unknown,235,234,70087.38575757576,0.0,0,0.0,0.0,0.0,0.0,
,"Soy Protein Isolate - 1KG Pack, Natural (Unflavoured)",,Unknown,533,533,62846.86727272727,0.0,0,0.0,0.0,0.0,0.0,
,"Better Whey Protein - 1KG Pack, Natural (Unflavoured)",,Unknown,251,251,62227.90727272727,0.0,0,0.0,0.0,0.0,0.0,
,"Plant Protein - 480g Pack, Chocolate Dinosaur",,Unknown,422,418,61414.58727272727,0.0,0,0.0,0.0,0.0,0.0,
0724999807807,CLEAR PROTEIN,500g Pack (20 Serv) / White Grape,Clear Protein,742,739,55984.54303030303,55984.54303030303,742,38127.85303030303,17856.690000000002,1.0,1.0,0.6810424979206381
LEAN-THA-1KG-V1,LEAN PROTEIN,1 x 1kg Pack (25 servings) / Thai Milk Tea,Lean Protein,551,550,52591.13,52591.13,551,40460.25,12130.88,1.0,1.0,0.7693360078020761
,"Prime Whey Isolate - 1KG Pack, Chocolate Dinosaur",,Unknown,309,309,49122.41515151515,0.0,0,0.0,0.0,0.0,0.0,
,"Prime Whey Isolate - 1KG Pack, Chocolate",,Unknown,210,210,44782.86,0.0,0,0.0,0.0,0.0,0.0,
,"Plant Protein - 480g Pack, Cocoa Dinosaur",,Unknown,480,475,44699.30606060606,0.0,0,0.0,0.0,0.0,0.0,
LEAN-TAR-1KG-V1,LEAN PROTEIN,1 x 1kg Pack (25 servings) / Taro,Lean Protein,478,478,42974.18,42974.18,478,31501.68,11472.499999999998,1.0,1.0,0.733037372673545
ELT-CHO-1KG-V1,BETTER WHEY PROTEIN ELITE,1kg (40 serves) / Cocoa Dinosaur,Other,38,37,42067.44,42067.439999999995,38,31935.440000000002,10132.0,0.9999999999999998,1.0,0.7591486432262102
0724999807821,LEAN PROTEIN,1kg Pack (25 servings) / Thai Milk Tea,Lean Protein,612,611,41443.32,41443.32,612,26933.48,14509.84,1.0,1.0,0.649887122942853
CLEAR-PEA-500G-V2,CLEAR PROTEIN,1 x 500g Pack (20 servings) / Peach,Clear Protein,391,391,41208.38,41208.38,391,32050.16,9158.220000000001,1.0,1.0,0.7777583103242593
CLEAR-GRA-500G-V2,CLEAR PROTEIN,1 x 500g Pack (20 servings) / White Grape,Clear Protein,408,408,40157.25,40157.25,408,31238.100000000002,8919.15,1.0,1.0,0.7778944026296621
,"Matchawhey - 1KG Pack, Uji Matcha",,Unknown,246,246,39590.76818181818,0.0,0,0.0,0.0,0.0,0.0,
,"Better Whey Protein - 1KG Pack, Vanilla",,Unknown,287,287,38193.757575757576,0.0,0,0.0,0.0,0.0,0.0,
,Pureburn™ Thermogenic Capsules - 90 capsules,,Unknown,214,214,35774.41454545454,0.0,0,0.0,0.0,0.0,0.0,
,Stainless Steel Bottle,,Unknown,487,486,35519.89757575757,0.0,0,0.0,0.0,0.0,0.0,
,"Prime Whey Isolate - 1KG Pack, Matchawhey",,Unknown,156,156,33218.006060606065,0.0,0,0.0,0.0,0.0,0.0,
,"Better Whey - 1KG Pack, Vanilla",,Unknown,315,315,31870.32303030303,0.0,0,0.0,0.0,0.0,0.0,
0724999807814,CLEAR PROTEIN,1 x 500g Pack (20 servings) / Peach,Clear Protein,268,268,27373.183606557377,27373.18360655738,268,19870.063606557378,7503.12,1.0000000000000002,1.0,0.7258952371837891
,"Better Whey - 1KG Pack, Teh Tarik",,Unknown,278,278,23911.094242424242,0.0,0,0.0,0.0,0.0,0.0,
0724999807937,BETTER WHEY PROTEIN,1kg Pack (40 servings) / Cocoa Dinosaur,Other,330,328,23718.15090909091,23718.15090909091,330,11762.39090909091,11955.759999999998,1.0,1.0,0.49592360526648444
0724999808606,PLANT PROTEIN,480g Pack (16 servings) / Cocoa Dinosaur,Other,384,383,23201.19575757576,23201.195757575755,384,18018.60575757576,5182.59,0.9999999999999999,1.0,0.7766240130831293
,"Prime Matchawhey Isolate - 1KG Pack, Uji Matcha",,Unknown,142,142,21548.725454545456,0.0,0,0.0,0.0,0.0,0.0,
CRE-UNF-250G-V1,CREATINE MONOHYDRATE,1 x 250g Pack (50 servings),Other,439,435,20506.99,20506.989999999998,439,17561.32,2945.67,0.9999999999999998,1.0,0.8563577589885206
,Lushprotein Lean Protein (1kg/25 servings) (Not linked to Shopify),,Unknown,60,60,20336.25,0.0,0,0.0,0.0,0.0,0.0,
COL-UNF-300G-V1,COLLAGEN GLOW,1 x 300g pack (30 servings),Collagen Glow,239,238,19978.11,19978.109999999997,239,15649.21,4328.9,0.9999999999999998,1.0,0.7833178413773876
,Vegan MULTI Super Multivitamin Capsules - 90 Capsules,,Unknown,190,190,19758.422121212123,0.0,0,0.0,0.0,0.0,0.0,
,"Better Whey - 1KG Pack, Mango",,Unknown,170,170,19686.478484848485,0.0,0,0.0,0.0,0.0,0.0,
,"Plant Protein - 480g Pack, Uji Matcha",,Unknown,386,385,19514.26606060606,0.0,0,0.0,0.0,0.0,0.0,
,"Prime Micellar Casein - 1KG, Natural (Unflavoured)",,Unknown,42,42,19232.22,0.0,0,0.0,0.0,0.0,0.0,
,"Better Whey Protein - 1KG Pack, Honeydew",,Unknown,183,183,18978.782727272726,0.0,0,0.0,0.0,0.0,0.0,
0724999807760,Prime Whey Isolate,1kg Pack (40 servings) / Natural (Unflavoured),Other,201,200,18777.854848484847,18777.854848484847,201,9052.544848484848,9725.310000000001,1.0,1.0,0.48208620854342593
0724999807890,BETTER WHEY PROTEIN,1kg Pack (40 servings) / Natural (Unflavoured),Other,241,238,18760.758181818182,18760.758181818182,241,10742.75818181818,8018.000000000001,1.0,1.0,0.5726185518573246
,"Better Whey - 1KG Pack, Matchawhey",,Unknown,115,115,18740.2496969697,0.0,0,0.0,0.0,0.0,0.0,
,Starter Pack,,Unknown,790,770,18596.369696969698,0.0,0,0.0,0.0,0.0,0.0,
0724999807821,LEAN PROTEIN,1 x 1kg Pack (25 servings) / Thai Milk Tea,Lean Protein,313,312,18594.35,18594.35,313,12547.07,6047.28,1.0,1.0,0.6747786289921401
,"Plant Protein - 480g Pack, Taro",,Unknown,363,360,18372.496363636365,0.0,0,0.0,0.0,0.0,0.0,
,"Better Whey Protein - 1KG Pack, Teh Tarik",,Unknown,197,197,17759.875454545454,0.0,0,0.0,0.0,0.0,0.0,
,Protein Bundle,,Unknown,321,319,17690.2696969697,0.0,0,0.0,0.0,0.0,0.0,
0724999807937,BETTER WHEY PROTEIN,1kg (40 serves) / Cocoa Dinosaur,Other,256,256,16878.164545454547,16878.164545454543,256,7911.344545454547,8966.82,0.9999999999999998,1.0,0.46873251674662403
0724999808507,COLLAGEN GLOW,300g (30 serves) / Unflavoured,Collagen Glow,305,305,16854.38787878788,16854.38787878788,305,10248.36787878788,6606.0199999999995,1.0,1.0,0.6080534014341739
0724999808507,COLLAGEN GLOW,300g Pack (30 servings),Collagen Glow,293,293,16822.23,16822.23,293,11580.11,5242.12,1.0,1.0,0.6883813858210238
,"Better Whey - 1KG Pack, Honeydew",,Unknown,135,135,16710.621212121212,0.0,0,0.0,0.0,0.0,0.0,
SOY-UNF-1KG-V1,SOY PROTEIN ISOLATE,1 x 1kg Pack (40 servings) / Unflavoured,Soy Protein,195,194,16661.82,16661.82,195,15498.7,1163.12,1.0,1.0,0.930192499978994
