sku_norm,Line: Title,Line: Variant Title,product_category,line_items,orders,revenue_sgd,units
,Collagen Glow - 300g Pack,,Unknown,1213,1206,141437.52272727274,2471.0
,"Prime Whey Isolate - 1KG Pack, Natural (Unflavoured)",,Unknown,478,477,114425.40151515152,921.0
,"Better Whey Protein - 1KG Pack, Chocolate Dinosaur",,Unknown,489,489,92063.19848484849,948.0
,"Better Whey - 1KG Pack, Chocolate Dinosaur",,Unknown,589,589,77220.59606060605,1022.0
,"Plant Protein - 480g Pack, Vanilla",,Unknown,637,636,77094.7487878788,1238.0
,"Better Whey - 1KG Pack, Natural (Unflavoured)",,Unknown,260,260,72257.68484848485,690.0
,"Better Whey Protein - 1KG Pack, Matchawhey",,Unknown,235,234,70087.38575757576,468.0
,"Soy Protein Isolate - 1KG Pack, Natural (Unflavoured)",,Unknown,533,533,62846.86727272727,1103.0
,"Better Whey Protein - 1KG Pack, Natural (Unflavoured)",,Unknown,251,251,62227.90727272727,584.0
,"Plant Protein - 480g Pack, Chocolate Dinosaur",,Unknown,422,418,61414.58727272727,868.0
,"Prime Whey Isolate - 1KG Pack, Chocolate Dinosaur",,Unknown,309,309,49122.41515151515,505.0
,"Prime Whey Isolate - 1KG Pack, Chocolate",,Unknown,210,210,44782.86,364.0
,"Plant Protein - 480g Pack, Cocoa Dinosaur",,Unknown,480,475,44699.30606060606,898.0
,"Matchawhey - 1KG Pack, Uji Matcha",,Unknown,246,246,39590.76818181818,418.0
,"Better Whey Protein - 1KG Pack, Vanilla",,Unknown,287,287,38193.757575757576,573.0
,Pureburn™ Thermogenic Capsules - 90 capsules,,Unknown,214,214,35774.41454545454,373.0
,Stainless Steel Bottle,,Unknown,487,486,35519.89757575757,547.0
,"Prime Whey Isolate - 1KG Pack, Matchawhey",,Unknown,156,156,33218.006060606065,273.0
,"Better Whey - 1KG Pack, Vanilla",,Unknown,315,315,31870.32303030303,507.0
,"Better Whey - 1KG Pack, Teh Tarik",,Unknown,278,278,23911.094242424242,409.0
,"Prime Matchawhey Isolate - 1KG Pack, Uji Matcha",,Unknown,142,142,21548.725454545456,219.0
,Lushprotein Lean Protein (1kg/25 servings) (Not linked to Shopify),,Unknown,60,60,20336.25,62.0
,Vegan MULTI Super Multivitamin Capsules - 90 Capsules,,Unknown,190,190,19758.422121212123,339.0
,"Better Whey - 1KG Pack, Mango",,Unknown,170,170,19686.478484848485,287.0
,"Plant Protein - 480g Pack, Uji Matcha",,Unknown,386,385,19514.26606060606,560.0
,"Prime Micellar Casein - 1KG, Natural (Unflavoured)",,Unknown,42,42,19232.22,111.0
,"Better Whey Protein - 1KG Pack, Honeydew",,Unknown,183,183,18978.782727272726,308.0
,"Better Whey - 1KG Pack, Matchawhey",,Unknown,115,115,18740.2496969697,192.0
,Starter Pack,,Unknown,790,770,18596.369696969698,831.0
,"Plant Protein - 480g Pack, Taro",,Unknown,363,360,18372.496363636365,542.0
,"Better Whey Protein - 1KG Pack, Teh Tarik",,Unknown,197,197,17759.875454545454,298.0
,Protein Bundle,,Unknown,321,319,17690.2696969697,331.0
,"Better Whey - 1KG Pack, Honeydew",,Unknown,135,135,16710.621212121212,228.0
,"Plant Protein - 480g Pack, Vanilla (Unsweetened)",,Unknown,115,113,16229.092424242424,237.0
,Super Omega 3 Capsules - 60 Capsules,,Unknown,114,114,16061.027878787878,255.0
,"Prime Micellar Casein - 1KG Pack, Natural (Unflavoured)",,Unknown,127,127,15688.677575757576,183.0
,Green Tea Extract Capsules - 60 Capsules,,Unknown,288,288,15314.705454545454,484.0
,"Better Whey Protein - 500g Pack, Matchawhey",,Unknown,255,255,15298.327878787879,350.0
,"Better Whey Protein - 1KG Pack, Mango",,Unknown,171,171,14385.375454545454,275.0
,"Better Whey Protein - 500g Pack, Vanilla",,Unknown,217,216,14015.15393939394,285.0
0724999807822,LEAN PROTEIN,1 x 1kg Pack (25 servings) / Taro,Lean Protein,209,209,13526.159672131147,270.0
,Lushprotein Collagen Glow 300gm (30 servings) | Unflavoured 100% Collagen Peptides Powder (Bovine Source) | Type I & III (Not linked to Shopify),,Unknown,46,46,12388.05,46.0
,"Better Whey - 500g Pack, Natural (Unflavoured)",,Unknown,194,193,12335.487272727272,290.0
0724999807784,BETTER WHEY PROTEIN,1kg Pack (40 servings) / Matchawhey,Other,196,196,12280.84696969697,244.0
,"Better Whey Protein ELITE - 1KG Pack, Chocolate Dinosaur",,Unknown,37,37,11954.412121212123,90.0
,"Lean Meal - 500g Pack (16 Serves), Belgian Choc",,Unknown,156,156,11637.218181818182,285.0
724999807760,Prime Whey Isolate,Natural (Unflavored) / 1kg,Other,102,101,11226.62696969697,164.0
,"Better Whey - 1KG Pack, Coffee",,Unknown,98,98,10895.32090909091,157.0
,L-Carnitine - 60 Capsules,,Unknown,202,202,10763.773333333333,300.0
,"Plant Protein - 480g Pack, Natural (Unflavoured & Unsweetened)",,Unknown,64,64,10714.694545454546,147.0
