antecedent,consequent,co_orders,antecedent_orders,consequent_orders,total_orders,support,antecedent_support,consequent_support,confidence,lift,leverage,conviction,level,both_item_customers,both_item_repeat_rate,both_item_avg_ltv,both_item_pct_subscribed,antecedent_item_revenue_sgd,antecedent_item_covered_revenue_sgd,antecedent_item_est_gross_profit_sgd,antecedent_item_margin_coverage_pct,antecedent_item_est_margin_pct,consequent_item_revenue_sgd,consequent_item_covered_revenue_sgd,consequent_item_est_gross_profit_sgd,consequent_item_margin_coverage_pct,consequent_item_est_margin_pct,margin_overlay_available
green-tea-extract-capsules,pureburn-fat-burner-capsules,53,150,248,15000,0.003533333333333333,0.01,0.016533333333333334,0.35333333333333333,21.370967741935484,0.003368,1.5208247422680412,handle,53,0.6981132075471698,1248.5052086906808,0.16981132075471697,3970.701515151515,3392.469090909091,2426.8290909090906,0.8543752477903492,0.7153577603440346,19497.708181818183,15845.118787878786,13242.048787878788,0.8126657061497374,0.835717861453251,True
pureburn-fat-burner-capsules,green-tea-extract-capsules,53,248,150,15000,0.003533333333333333,0.016533333333333334,0.01,0.21370967741935484,21.370967741935484,0.003368,1.2590769230769232,handle,53,0.6981132075471698,1248.5052086906808,0.16981132075471697,19497.708181818183,15845.118787878786,13242.048787878788,0.8126657061497374,0.835717861453251,3970.701515151515,3392.469090909091,2426.8290909090906,0.8543752477903492,0.7153577603440346,True
multivitamin-vegan,super-omega-3,50,156,228,15000,0.0033333333333333335,0.0104,0.0152,0.32051282051282054,21.086369770580298,0.0031752533333333334,1.4493283018867924,handle,38,0.7894736842105263,688.4475757575756,0.2631578947368421,9617.016363636363,7744.632727272727,5081.052727272728,0.8053051418895938,0.6560740717090171,10225.64,8415.281515151513,5490.601515151515,0.8229589067433934,0.6524560711683641,True
super-omega-3,multivitamin-vegan,50,228,156,15000,0.0033333333333333335,0.0152,0.0104,0.21929824561403508,21.086369770580298,0.0031752533333333334,1.2675775280898878,handle,38,0.7894736842105263,688.4475757575756,0.2631578947368421,10225.64,8415.281515151513,5490.601515151515,0.8229589067433934,0.6524560711683641,9617.016363636363,7744.632727272727,5081.052727272728,0.8053051418895938,0.6560740717090171,True
clear-protein-25g-single-sachet,lushprotein-lean-protein-40g-single-serve,230,579,797,15000,0.015333333333333332,0.0386,0.05313333333333333,0.39723661485319517,7.476222362356245,0.013282386666666667,1.570876217765043,handle,220,0.4,302.82089256198344,0.045454545454545456,13673.03,13156.29,10262.49,0.962207352722842,0.7800443742118788,19780.11,18874.91,15369.82,0.9542368571256681,0.8142989820878616,True
lushprotein-lean-protein-40g-single-serve,clear-protein-25g-single-sachet,230,797,579,15000,0.015333333333333332,0.05313333333333333,0.0386,0.28858218318695106,7.4762223623562445,0.013282386666666667,1.3513858906525573,handle,220,0.4,302.82089256198344,0.045454545454545456,19780.11,18874.91,15369.82,0.9542368571256681,0.8142989820878616,13673.03,13156.29,10262.49,0.962207352722842,0.7800443742118788,True
super-omega-3,micronized-creatine-monohydrate,66,228,1419,15000,0.0044,0.0152,0.0946,0.2894736842105263,3.0599755201958385,0.00296208,1.2742666666666667,handle,65,0.7538461538461538,1015.8808624708627,0.2,10225.64,8415.281515151513,5490.601515151515,0.8229589067433934,0.6524560711683641,54733.20181818182,49689.28212121212,40502.44212121212,0.9078453383062607,0.8151142538628431,True
discovery-sampler,lushprotein-clear-shaker,136,374,2275,15000,0.009066666666666667,0.02493333333333333,0.15166666666666667,0.36363636363636365,2.3976023976023977,0.005285111111111112,1.333095238095238,handle,147,0.2789115646258503,432.0510204081633,0.07482993197278912,9081.8,9081.8,7346.91,1.0,0.8089706886300073,24555.379696969696,23913.295454545456,19945.915454545455,0.9738515856668477,0.8340931300104069,True
clear-protein-25g-single-sachet,lushprotein-clear-shaker,206,579,2275,15000,0.013733333333333334,0.0386,0.15166666666666667,0.35578583765112265,2.3458406878096,0.007879,1.316849865951743,handle,231,0.49783549783549785,279.92536665354845,0.06493506493506493,13673.03,13156.29,10262.49,0.962207352722842,0.7800443742118788,24555.379696969696,23913.295454545456,19945.915454545455,0.9738515856668477,0.8340931300104069,True
lushprotein-clear-shaker,clear-protein-25g-single-sachet,206,2275,579,15000,0.013733333333333334,0.15166666666666667,0.0386,0.09054945054945054,2.3458406878095994,0.007879,1.0571217979700338,handle,231,0.49783549783549785,279.92536665354845,0.06493506493506493,24555.379696969696,23913.295454545456,19945.915454545455,0.9738515856668477,0.8340931300104069,13673.03,13156.29,10262.49,0.962207352722842,0.7800443742118788,True
lushprotein-clear-shaker,lushprotein-lean-protein-40g-single-serve,245,2275,797,15000,0.01633333333333333,0.15166666666666667,0.05313333333333333,0.1076923076923077,2.0268313869317636,0.008274777777777777,1.0611436781609196,handle,275,0.48727272727272725,285.5258236914601,0.14909090909090908,24555.379696969696,23913.295454545456,19945.915454545455,0.9738515856668477,0.8340931300104069,19780.11,18874.91,15369.82,0.9542368571256681,0.8142989820878616,True
lushprotein-lean-protein-40g-single-serve,lushprotein-clear-shaker,245,797,2275,15000,0.01633333333333333,0.05313333333333333,0.15166666666666667,0.3074027603513174,2.026831386931763,0.008274777777777777,1.2248580917874397,handle,275,0.48727272727272725,285.5258236914601,0.14909090909090908,19780.11,18874.91,15369.82,0.9542368571256681,0.8142989820878616,24555.379696969696,23913.295454545456,19945.915454545455,0.9738515856668477,0.8340931300104069,True
super-omega-3,collagen-glow,51,228,1851,15000,0.0034,0.0152,0.1234,0.2236842105263158,1.8126759361938072,0.0015243199999999998,1.1291796610169493,handle,54,0.8703703703703703,1324.7769360269358,0.25925925925925924,10225.64,8415.281515151513,5490.601515151515,0.8229589067433934,0.6524560711683641,116812.48333333334,90141.22545454545,61641.645454545454,0.7716745923234983,0.6838341185590918,True
green-tea-extract-capsules,lean-protein,46,150,2982,15000,0.0030666666666666668,0.01,0.1988,0.30666666666666664,1.5425888665325282,0.0010786666666666666,1.155576923076923,handle,48,0.7708333333333334,1349.3876704545455,0.2708333333333333,3970.701515151515,3392.469090909091,2426.8290909090906,0.8543752477903492,0.7153577603440346,256128.88088425234,207848.33121212118,146234.3812121212,0.8114990019655389,0.7035629314862316,True
