antecedent,consequent,co_orders,antecedent_orders,consequent_orders,total_orders,support,antecedent_support,consequent_support,confidence,lift,leverage,conviction,level,both_item_customers,both_item_repeat_rate,both_item_avg_ltv,both_item_pct_subscribed,antecedent_item_revenue_sgd,antecedent_item_covered_revenue_sgd,antecedent_item_est_gross_profit_sgd,antecedent_item_margin_coverage_pct,antecedent_item_est_margin_pct,consequent_item_revenue_sgd,consequent_item_covered_revenue_sgd,consequent_item_est_gross_profit_sgd,consequent_item_margin_coverage_pct,consequent_item_est_margin_pct,margin_overlay_available,pair_est_margin_pct,repeat_rate_uplift,subscription_uplift,ltv_ratio,trustworthy,n_repeat_uplift,n_sub_uplift,n_lift,n_scale,n_margin,retention_value_score
LEAN-THA-1KG-V1 | LEAN PROTEIN | 1 x 1kg Pack (25 servings) / Thai Milk Tea,LEAN-TAR-1KG-V1 | LEAN PROTEIN | 1 x 1kg Pack (25 servings) / Taro,48,336,259,7564,0.0063458487572712,0.044420941300899,0.0342411422527763,0.1428571428571428,4.172090457804743,0.0048248249871849,1.1267186673717609,sku_flavor,46,0.5217391304347826,1185.0725955204216,0.4347826086956521,,,,,,,,,,,False,,0.29302828516483137,0.3223947604349878,9.176498511148104,True,0.7010869565217391,1.0,0.021468953057360903,0.3249527448911575,0.5,0.5633627893016676
LEAN-TAR-1KG-V1 | LEAN PROTEIN | 1 x 1kg Pack (25 servings) / Taro,LEAN-THA-1KG-V1 | LEAN PROTEIN | 1 x 1kg Pack (25 servings) / Thai Milk Tea,48,259,336,7564,0.0063458487572712,0.0342411422527763,0.044420941300899,0.1853281853281853,4.172090457804743,0.0048248249871849,1.1729619725263845,sku_flavor,46,0.5217391304347826,1185.0725955204216,0.4347826086956521,,,,,,,,,,,False,,0.29302828516483137,0.3223947604349878,9.176498511148104,True,0.7010869565217391,1.0,0.021468953057360903,0.3249527448911575,0.5,0.5633627893016676
0724999808361 | [FREE] LushProtein Classic Shaker | Default,0724999807814 | CLEAR PROTEIN | 500g Pack (20 Serv) / Peach,40,94,654,7564,0.005288207297726,0.0124272871496562,0.0864621893178212,0.425531914893617,4.92159541935064,0.0042137168434855,1.5902324852615703,sku_flavor,41,0.5609756097560976,262.27756097560973,0.4146341463414634,,,,,,,,,,,False,,0.3322647644861464,0.30224629808079917,2.030921697875651,True,0.7820121951219514,0.9517787241364479,0.02836607786568968,0.2277650565308095,0.5,0.5623863136234568
0724999807814 | CLEAR PROTEIN | 500g Pack (20 Serv) / Peach,0724999808361 | [FREE] LushProtein Classic Shaker | Default,40,654,94,7564,0.005288207297726,0.0864621893178212,0.0124272871496562,0.0611620795107033,4.92159541935064,0.0042137168434855,1.0519096974008548,sku_flavor,41,0.5609756097560976,262.27756097560973,0.4146341463414634,,,,,,,,,,,False,,0.3322647644861464,0.30224629808079917,2.030921697875651,True,0.7820121951219514,0.9517787241364479,0.02836607786568968,0.2277650565308095,0.5,0.5623863136234568
0724999807821 | LEAN PROTEIN | 1kg Pack (25 servings) / Thai Milk Tea,0724999807814 | CLEAR PROTEIN | 500g Pack (20 Serv) / Peach,45,283,654,7564,0.0059492332099418,0.0374140666314119,0.0864621893178212,0.1590106007067137,1.8390767335559373,0.0027143310977071,1.086265547996036,sku_flavor,57,0.631578947368421,1106.2053588516746,0.2982456140350877,,,,,,,,,,,False,,0.4028681020984698,0.18585776577442345,8.565797459917315,True,0.9276315789473685,0.6732262755654571,0.0,0.29050521431372467,0.5,0.5401718247226336
0724999807814 | CLEAR PROTEIN | 500g Pack (20 Serv) / Peach,0724999807821 | LEAN PROTEIN | 1kg Pack (25 servings) / Thai Milk Tea,45,654,283,7564,0.0059492332099418,0.0864621893178212,0.0374140666314119,0.0688073394495412,1.8390767335559377,0.0027143310977071,1.03371297278006,sku_flavor,57,0.631578947368421,1106.2053588516746,0.2982456140350877,,,,,,,,,,,False,,0.4028681020984698,0.18585776577442345,8.565797459917315,True,0.9276315789473685,0.6732262755654571,4.086615651016511e-18,0.29050521431372467,0.5,0.5401718247226336
0724999807807 | CLEAR PROTEIN | 500g Pack (20 Serv) / White Grape,0724999807821 | LEAN PROTEIN | 1kg Pack (25 servings) / Thai Milk Tea,31,424,283,7564,0.0040983606557377,0.0560549973558963,0.0374140666314119,0.0731132075471698,1.9541636109073937,0.0020011152496405,1.038515103685194,sku_flavor,42,0.6666666666666666,1357.8631601731602,0.3095238095238095,,,,,,,,,,,False,,0.4379558213967154,0.19713596126314523,10.51448604479787,True,1.0,0.7002183589485178,0.0010590571078497304,0.0926353911650035,0.5,0.5391617098334499
0724999807821 | LEAN PROTEIN | 1kg Pack (25 servings) / Thai Milk Tea,0724999807807 | CLEAR PROTEIN | 500g Pack (20 Serv) / White Grape,31,283,424,7564,0.0040983606557377,0.0374140666314119,0.0560549973558963,0.1095406360424028,1.954163610907394,0.0020011152496405,1.0600652212233386,sku_flavor,42,0.6666666666666666,1357.8631601731602,0.3095238095238095,,,,,,,,,,,False,,0.4379558213967154,0.19713596126314523,10.51448604479787,True,1.0,0.7002183589485178,0.0010590571078497345,0.0926353911650035,0.5,0.5391617098334499
0724999807814 | CLEAR PROTEIN | 500g Pack (20 Serv) / Peach,0724999808507 | COLLAGEN GLOW | 300g Pack (30 servings),32,654,143,7564,0.0042305658381808,0.0864621893178212,0.0189053410893707,0.0489296636085626,2.58813968905712,0.0025959686577937,1.031568982198636,sku_flavor,34,0.6470588235294118,1602.185588235294,0.2647058823529412,,,,,,,,,,,False,,0.4183479782594606,0.15231803409227693,12.40637385473215,True,0.9595588235294119,0.5929557007988383,0.006893057362464054,0.10941326519629357,0.5,0.5038971735104699
0724999808507 | COLLAGEN GLOW | 300g Pack (30 servings),0724999807814 | CLEAR PROTEIN | 500g Pack (20 Serv) / Peach,32,143,654,7564,0.0042305658381808,0.0189053410893707,0.0864621893178212,0.2237762237762237,2.58813968905712,0.0025959686577937,1.1769000624103745,sku_flavor,34,0.6470588235294118,1602.185588235294,0.2647058823529412,,,,,,,,,,,False,,0.4183479782594606,0.15231803409227693,12.40637385473215,True,0.9595588235294119,0.5929557007988383,0.006893057362464054,0.10941326519629357,0.5,0.5038971735104699
0724999810494 | CLEAR PROTEIN | 25g Sachet (1 serving) / Peach,0724999810487 | CLEAR PROTEIN | 25g Sachet (1 serving) / White Grape,60,71,71,7564,0.0079323109465891,0.0093865679534637,0.0093865679534637,0.8450704225352113,90.0297560007935,0.0078442032886441,6.393959425027642,sku_flavor,58,0.3620689655172414,849.9067241379311,0.1551724137931034,,,,,,,,,,,False,,0.13335812024729018,0.042784565532439145,6.581173016866113,True,0.37176724137931044,0.3308094629933711,0.8115518282665599,0.4443890475391985,0.5,0.4732012609463277
0724999810487 | CLEAR PROTEIN | 25g Sachet (1 serving) / White Grape,0724999810494 | CLEAR PROTEIN | 25g Sachet (1 serving) / Peach,60,71,71,7564,0.0079323109465891,0.0093865679534637,0.0093865679534637,0.8450704225352113,90.0297560007935,0.0078442032886441,6.393959425027642,sku_flavor,58,0.3620689655172414,849.9067241379311,0.1551724137931034,,,,,,,,,,,False,,0.13335812024729018,0.042784565532439145,6.581173016866113,True,0.37176724137931044,0.3308094629933711,0.8115518282665599,0.4443890475391985,0.5,0.4732012609463277
0724999807814 | CLEAR PROTEIN | 500g Pack (20 Serv) / Peach,0724999807807 | CLEAR PROTEIN | 500g Pack (20 Serv) / White Grape,168,654,424,7564,0.0222104706504495,0.0864621893178212,0.0560549973558963,0.2568807339449541,4.582655357451965,0.017363832856854,1.2702469788667567,sku_flavor,174,0.4655172413793103,474.14934343434345,0.1666666666666666,,,,,,,,,,,False,,0.23680639610935908,0.05427881840600235,3.6715309766962925,True,0.5851293103448276,0.3583186360964139,0.025247069947935297,1.0,0.5,0.47016786611713884
0724999807807 | CLEAR PROTEIN | 500g Pack (20 Serv) / White Grape,0724999807814 | CLEAR PROTEIN | 500g Pack (20 Serv) / Peach,168,424,654,7564,0.0222104706504495,0.0560549973558963,0.0864621893178212,0.3962264150943396,4.582655357451965,0.017363832856854,1.5130469989423587,sku_flavor,174,0.4655172413793103,474.14934343434345,0.1666666666666666,,,,,,,,,,,False,,0.23680639610935908,0.05427881840600235,3.6715309766962925,True,0.5851293103448276,0.3583186360964139,0.025247069947935297,1.0,0.5,0.47016786611713884
ACC-SHK-V2 | LP CLASSIC SHAKER | White,LEAN-THA-1KG-V1 | LEAN PROTEIN | 1 x 1kg Pack (25 servings) / Thai Milk Tea,54,341,336,7564,0.0071390798519301,0.0450819672131147,0.044420941300899,0.158357771260997,3.5649350649350646,0.0051364964326273,1.135374421659907,sku_flavor,64,0.4375,857.8779403409093,0.34375,,,,,,,,,,,False,,0.2087891547300488,0.23136215173933575,6.642897382019073,True,0.5273437500000001,0.7821318342151677,0.01588176319535539,0.38793474693756846,0.5,0.4651026482334983
LEAN-THA-1KG-V1 | LEAN PROTEIN | 1 x 1kg Pack (25 servings) / Thai Milk Tea,ACC-SHK-V2 | LP CLASSIC SHAKER | White,54,336,341,7564,0.0071390798519301,0.044420941300899,0.0450819672131147,0.1607142857142857,3.564935064935065,0.0051364964326273,1.1377746773630972,sku_flavor,64,0.4375,857.8779403409093,0.34375,,,,,,,,,,,False,,0.2087891547300488,0.23136215173933575,6.642897382019073,True,0.5273437500000001,0.7821318342151677,0.015881763195355395,0.38793474693756846,0.5,0.4651026482334983
0724999810470 | Lean Protein Single Serve | 1 x 40g Sachet (1 serving) / Taro,0724999810463 | Lean Protein Single Serve | 1 x 40g Sachet (1 serving) / Thai Milk Tea,38,51,51,7564,0.0050237969328397,0.0067424643046007,0.0067424643046007,0.7450980392156863,110.50826605151865,0.0049783361079409,3.8966257169588743,sku_flavor,38,0.3947368421052631,1260.754282296651,0.0789473684210526,,,,,,,,,,,False,,0.1660259968353119,-0.03344047983961165,9.76253255551672,True,0.43914473684210525,0.14838020978371866,1.0,0.20049748068316572,0.5,0.4489130956010361
0724999810463 | Lean Protein Single Serve | 1 x 40g Sachet (1 serving) / Thai Milk Tea,0724999810470 | Lean Protein Single Serve | 1 x 40g Sachet (1 serving) / Taro,38,51,51,7564,0.0050237969328397,0.0067424643046007,0.0067424643046007,0.7450980392156863,110.50826605151865,0.0049783361079409,3.8966257169588743,sku_flavor,38,0.3947368421052631,1260.754282296651,0.0789473684210526,,,,,,,,,,,False,,0.1660259968353119,-0.03344047983961165,9.76253255551672,True,0.43914473684210525,0.14838020978371866,1.0,0.20049748068316572,0.5,0.4489130956010361
LEAN-TAR-1KG-V1 | LEAN PROTEIN | 1 x 1kg Pack (25 servings) / Taro,ACC-SHK-V2 | LP CLASSIC SHAKER | White,33,259,341,7564,0.004362771020624,0.0342411422527763,0.0450819672131147,0.1274131274131274,2.826254826254826,0.0028191129682447,1.0943529667778906,sku_flavor,43,0.5116279069767442,1213.612522903453,0.2325581395348837,,,,,,,,,,,False,,0.282917061706793,0.12017029127421944,9.397494762456787,True,0.680232558139535,0.5160165702801363,0.009084250088683701,0.12569023162863113,0.5,0.403744294773926
ACC-SHK-V2 | LP CLASSIC SHAKER | White,LEAN-TAR-1KG-V1 | LEAN PROTEIN | 1 x 1kg Pack (25 servings) / Taro,33,341,259,7564,0.004362771020624,0.0450819672131147,0.0342411422527763,0.0967741935483871,2.8262548262548264,0.0028191129682447,1.0692330210772834,sku_flavor,43,0.5116279069767442,1213.612522903453,0.2325581395348837,,,,,,,,,,,False,,0.282917061706793,0.12017029127421944,9.397494762456787,True,0.680232558139535,0.5160165702801363,0.009084250088683707,0.12569023162863113,0.5,0.403744294773926
CLEAR-PEA-500G-V2 | CLEAR PROTEIN | 1 x 500g Pack (20 servings) / Peach,CLEAR-GRA-500G-V2 | CLEAR PROTEIN | 1 x 500g Pack (20 servings) / White Grape,61,273,244,7564,0.0080645161290322,0.0360920148069804,0.032258064516129,0.2234432234432234,6.926739926739927,0.0069002575868715,1.2461959829580036,sku_flavor,70,0.2571428571428571,846.8902207792206,0.3571428571428571,,,,,,,,,,,False,,0.02843201187290592,0.24475500888219284,6.557815005985839,True,0.15535714285714286,0.8141849332325524,0.04681789958235212,0.4532548995176182,0.5,0.37750519100939406
CLEAR-GRA-500G-V2 | CLEAR PROTEIN | 1 x 500g Pack (20 servings) / White Grape,CLEAR-PEA-500G-V2 | CLEAR PROTEIN | 1 x 500g Pack (20 servings) / Peach,61,244,273,7564,0.0080645161290322,0.032258064516129,0.0360920148069804,0.25,6.926739926739927,0.0069002575868715,1.285210646924026,sku_flavor,70,0.2571428571428571,846.8902207792206,0.3571428571428571,,,,,,,,,,,False,,0.02843201187290592,0.24475500888219284,6.557815005985839,True,0.15535714285714286,0.8141849332325524,0.04681789958235212,0.4532548995176182,0.5,0.37750519100939406
ACC-SHK-V2 | LP CLASSIC SHAKER | White,CRE-UNF-250G-V1 | CREATINE MONOHYDRATE | 1 x 250g Pack (50 servings),40,341,232,7564,0.005288207297726,0.0450819672131147,0.0306716023268112,0.1173020527859237,3.824451410658307,0.003905471127255,1.0981428026795923,sku_flavor,41,0.4878048780487805,1320.802564671101,0.1707317073170731,,,,,,,,,,,False,,0.25909403277882925,0.05834385905640885,10.227510798950117,True,0.6310975609756098,0.3680474899987095,0.018269894986454944,0.2277650565308095,0.5,0.36915987826927266
CRE-UNF-250G-V1 | CREATINE MONOHYDRATE | 1 x 250g Pack (50 servings),ACC-SHK-V2 | LP CLASSIC SHAKER | White,40,232,341,7564,0.005288207297726,0.0306716023268112,0.0450819672131147,0.1724137931034483,3.824451410658307,0.003905471127255,1.1538592896174864,sku_flavor,41,0.4878048780487805,1320.802564671101,0.1707317073170731,,,,,,,,,,,False,,0.25909403277882925,0.05834385905640885,10.227510798950117,True,0.6310975609756098,0.3680474899987095,0.018269894986454944,0.2277650565308095,0.5,0.36915987826927266
LEAN-POL-1KG-V1 | LEAN PROTEIN PEACH OOLONG (PRE-ORDER) | 1 x 1kg Pack (25 servings) / Peach Oolong,ACC-SHK-V2 | LP CLASSIC SHAKER | White,30,85,341,7564,0.0039661554732945,0.0112374405076679,0.0450819672131147,0.3529411764705882,7.828877005347594,0.0034595495487685,1.4757824143070046,sku_flavor,36,0.4722222222222222,217.7137457912458,0.1944444444444444,,,,,,,,,,,False,,0.243511376952271,0.08205659618378014,1.685845974045576,True,0.5989583333333335,0.4247991377621008,0.0551195818187774,0.07532479810441645,0.5,0.3582099205199432
ACC-SHK-V2 | LP CLASSIC SHAKER | White,LEAN-POL-1KG-V1 | LEAN PROTEIN PEACH OOLONG (PRE-ORDER) | 1 x 1kg Pack (25 servings) / Peach Oolong,30,341,85,7564,0.0039661554732945,0.0450819672131147,0.0112374405076679,0.0879765395894428,7.828877005347594,0.0034595495487685,1.0841415845237468,sku_flavor,36,0.4722222222222222,217.7137457912458,0.1944444444444444,,,,,,,,,,,False,,0.243511376952271,0.08205659618378014,1.685845974045576,True,0.5989583333333335,0.4247991377621008,0.0551195818187774,0.07532479810441645,0.5,0.3582099205199432
