antecedent,consequent,co_orders,antecedent_orders,consequent_orders,total_orders,support,antecedent_support,consequent_support,confidence,lift,leverage,conviction,level,both_item_customers,both_item_repeat_rate,both_item_avg_ltv,both_item_pct_subscribed,antecedent_item_revenue_sgd,antecedent_item_covered_revenue_sgd,antecedent_item_est_gross_profit_sgd,antecedent_item_margin_coverage_pct,antecedent_item_est_margin_pct,consequent_item_revenue_sgd,consequent_item_covered_revenue_sgd,consequent_item_est_gross_profit_sgd,consequent_item_margin_coverage_pct,consequent_item_est_margin_pct,margin_overlay_available
0724999810463 | Lean Protein Single Serve | 1 x 40g Sachet (1 serving) / Thai Milk Tea,0724999810470 | Lean Protein Single Serve | 1 x 40g Sachet (1 serving) / Taro,38,51,51,7564,0.005023796932839768,0.0067424643046007406,0.0067424643046007406,0.7450980392156863,110.50826605151865,0.004978336107940953,3.8966257169588743,sku_flavor,38,0.39473684210526316,1260.754282296651,0.07894736842105263,,,,,,,,,,,False
0724999810470 | Lean Protein Single Serve | 1 x 40g Sachet (1 serving) / Taro,0724999810463 | Lean Protein Single Serve | 1 x 40g Sachet (1 serving) / Thai Milk Tea,38,51,51,7564,0.005023796932839768,0.0067424643046007406,0.0067424643046007406,0.7450980392156863,110.50826605151865,0.004978336107940953,3.8966257169588743,sku_flavor,38,0.39473684210526316,1260.754282296651,0.07894736842105263,,,,,,,,,,,False
0724999810487 | CLEAR PROTEIN | 25g Sachet (1 serving) / White Grape,0724999810494 | CLEAR PROTEIN | 25g Sachet (1 serving) / Peach,60,71,71,7564,0.007932310946589107,0.009386567953463775,0.009386567953463775,0.8450704225352113,90.0297560007935,0.007844203288644115,6.393959425027642,sku_flavor,58,0.3620689655172414,849.9067241379311,0.15517241379310345,,,,,,,,,,,False
0724999810494 | CLEAR PROTEIN | 25g Sachet (1 serving) / Peach,0724999810487 | CLEAR PROTEIN | 25g Sachet (1 serving) / White Grape,60,71,71,7564,0.007932310946589107,0.009386567953463775,0.009386567953463775,0.8450704225352113,90.0297560007935,0.007844203288644115,6.393959425027642,sku_flavor,58,0.3620689655172414,849.9067241379311,0.15517241379310345,,,,,,,,,,,False
LEAN-THA-40G-V1 | Lean Protein Single Serve | 1 x 40g Sachet (1 serving) / Thai Milk Tea,LEAN-TAR-40G-V1 | Lean Protein Single Serve | 1 x 40g Sachet (1 serving) / Taro,56,91,74,7564,0.007403490216816499,0.012030671602326811,0.00978318350079323,0.6153846153846154,62.90228690228691,0.007285791948893154,2.574563722897938,sku_flavor,51,0.21568627450980393,958.8411764705883,0.0392156862745098,,,,,,,,,,,False
LEAN-TAR-40G-V1 | Lean Protein Single Serve | 1 x 40g Sachet (1 serving) / Taro,LEAN-THA-40G-V1 | Lean Protein Single Serve | 1 x 40g Sachet (1 serving) / Thai Milk Tea,56,74,91,7564,0.007403490216816499,0.00978318350079323,0.012030671602326811,0.7567567567567568,62.9022869022869,0.007285791948893154,4.061651683412657,sku_flavor,51,0.21568627450980393,958.8411764705883,0.0392156862745098,,,,,,,,,,,False
0724999810470 | LEAN PROTEIN | 40g Sachet (1 serving) / Taro,0724999810463 | LEAN PROTEIN | 40g Sachet (1 serving) / Thai Milk Tea,116,125,131,7564,0.015335801163405606,0.01652564780539397,0.017318878900052882,0.928,53.58314503816794,0.015049595470319064,13.64834890416594,sku_flavor,115,0.20869565217391303,57.579214756258224,0.11304347826086956,,,,,,,,,,,False
0724999810463 | LEAN PROTEIN | 40g Sachet (1 serving) / Thai Milk Tea,0724999810470 | LEAN PROTEIN | 40g Sachet (1 serving) / Taro,116,131,125,7564,0.015335801163405606,0.017318878900052882,0.01652564780539397,0.8854961832061069,53.58314503816794,0.015049595470319064,8.589009342499562,sku_flavor,115,0.20869565217391303,57.579214756258224,0.11304347826086956,,,,,,,,,,,False
CLEAR-GRA-25G-V2 | Clear Protein Single Serve | 1 x 25g (1 serving) / White Grape,CLEAR-PEA-25G-V2 | Clear Protein Single Serve | 1 x 25g (1 serving) / Peach,66,86,110,7564,0.008725542041248016,0.011369645690111053,0.014542570068746695,0.7674418604651163,52.77209302325581,0.008560198172142753,4.23746694870439,sku_flavor,59,0.23728813559322035,829.4772881355934,0.01694915254237288,,,,,,,,,,,False
CLEAR-PEA-25G-V2 | Clear Protein Single Serve | 1 x 25g (1 serving) / Peach,CLEAR-GRA-25G-V2 | Clear Protein Single Serve | 1 x 25g (1 serving) / White Grape,66,110,86,7564,0.008725542041248016,0.014542570068746695,0.011369645690111053,0.6,52.77209302325581,0.008560198172142753,2.4715758857747225,sku_flavor,59,0.23728813559322035,829.4772881355934,0.01694915254237288,,,,,,,,,,,False
0724999810463 | LEAN PROTEIN SACHET | 40g Sachet / Thai Milk Tea,0724999810470 | LEAN PROTEIN SACHET #2 | 40g Sachet / Taro,59,136,65,7564,0.007800105764145955,0.017979904812268643,0.008593336858804866,0.4338235294117647,50.48371040723982,0.007645598385404883,1.751055924509124,sku_flavor,60,0.25,48.6769696969697,0.11666666666666667,,,,,,,,,,,False
0724999810470 | LEAN PROTEIN SACHET #2 | 40g Sachet / Taro,0724999810463 | LEAN PROTEIN SACHET | 40g Sachet / Thai Milk Tea,59,65,136,7564,0.007800105764145955,0.008593336858804866,0.017979904812268643,0.9076923076923077,50.48371040723981,0.007645598385404883,10.638551031200423,sku_flavor,60,0.25,48.6769696969697,0.11666666666666667,,,,,,,,,,,False
0724999810463 | LEAN PROTEIN SACHET #2 | 40g Sachet / Thai Milk Tea,0724999810470 | LEAN PROTEIN SACHET | 40g Sachet / Taro,22,51,77,7564,0.002908514013749339,0.0067424643046007406,0.010179799048122686,0.43137254901960786,42.37535014005603,0.0028398770820393633,1.740718284432612,sku_flavor,24,0.20833333333333334,42.178333333333335,0.08333333333333333,,,,,,,,,,,False
0724999810470 | LEAN PROTEIN SACHET | 40g Sachet / Taro,0724999810463 | LEAN PROTEIN SACHET #2 | 40g Sachet / Thai Milk Tea,22,77,51,7564,0.002908514013749339,0.010179799048122686,0.0067424643046007406,0.2857142857142857,42.37535014005602,0.0028398770820393633,1.390560549973559,sku_flavor,24,0.20833333333333334,42.178333333333335,0.08333333333333333,,,,,,,,,,,False
0724999810463 | LEAN PROTEIN SACHET | 40g Sachet / Thai Milk Tea,0724999810463 | LEAN PROTEIN SACHET #2 | 40g Sachet / Thai Milk Tea,32,136,51,7564,0.004230565838180857,0.017979904812268643,0.0067424643046007406,0.23529411764705882,34.897347174163784,0.004109336971784016,1.2988752389862914,sku_flavor,32,0.3125,83.6571875,0.125,,,,,,,,,,,False
0724999810463 | LEAN PROTEIN SACHET #2 | 40g Sachet / Thai Milk Tea,0724999810463 | LEAN PROTEIN SACHET | 40g Sachet / Thai Milk Tea,32,51,136,7564,0.004230565838180857,0.0067424643046007406,0.017979904812268643,0.6274509803921569,34.89734717416378,0.004109336971784016,2.635948676556542,sku_flavor,32,0.3125,83.6571875,0.125,,,,,,,,,,,False
0724999810463 | LEAN PROTEIN SACHET | 40g Sachet / Thai Milk Tea,0724999810470 | LEAN PROTEIN SACHET | 40g Sachet / Taro,47,136,77,7564,0.0062136435748281335,0.017979904812268643,0.010179799048122686,0.34558823529411764,33.94843391902216,0.006030611756934865,1.5125342396568011,sku_flavor,44,0.18181818181818182,1062.7662672176311,0.022727272727272728,,,,,,,,,,,False
0724999810470 | LEAN PROTEIN SACHET | 40g Sachet / Taro,0724999810463 | LEAN PROTEIN SACHET | 40g Sachet / Thai Milk Tea,47,77,136,7564,0.0062136435748281335,0.010179799048122686,0.017979904812268643,0.6103896103896104,33.94843391902215,0.006030611756934865,2.520518244315177,sku_flavor,44,0.18181818181818182,1062.7662672176311,0.022727272727272728,,,,,,,,,,,False
0724999807807 | CLEAR PROTEIN | 500g Pack (20 servings) / White Grape,0724999807814 | CLEAR PROTEIN | 500g Pack (20 servings) / Peach,18,65,86,7564,0.002379693283976732,0.008593336858804866,0.011369645690111053,0.27692307692307694,24.35635062611807,0.002281990088596349,1.3672547453221868,sku_flavor,20,0.35,2558.716,0.25,,,,,,,,,,,False
0724999807814 | CLEAR PROTEIN | 500g Pack (20 servings) / Peach,0724999807807 | CLEAR PROTEIN | 500g Pack (20 servings) / White Grape,18,86,65,7564,0.002379693283976732,0.011369645690111053,0.008593336858804866,0.20930232558139536,24.35635062611807,0.002281990088596349,1.2538378386785705,sku_flavor,20,0.35,2558.716,0.25,,,,,,,,,,,False
CLEAR-GRA-25G-V2 | Clear Protein Single Serve | 1 x 25g (1 serving) / White Grape,LEAN-THA-40G-V1 | Lean Protein Single Serve | 1 x 40g Sachet (1 serving) / Thai Milk Tea,23,86,91,7564,0.003040719196192491,0.011369645690111053,0.012030671602326811,0.26744186046511625,22.230002555583948,0.0029039347226599544,1.3486565435269824,sku_flavor,21,0.19047619047619047,2207.211428571428,0.0,,,,,,,,,,,False
LEAN-THA-40G-V1 | Lean Protein Single Serve | 1 x 40g Sachet (1 serving) / Thai Milk Tea,CLEAR-GRA-25G-V2 | Clear Protein Single Serve | 1 x 25g (1 serving) / White Grape,23,91,86,7564,0.003040719196192491,0.012030671602326811,0.011369645690111053,0.25274725274725274,22.230002555583948,0.0029039347226599544,1.323020032973528,sku_flavor,21,0.19047619047619047,2207.211428571428,0.0,,,,,,,,,,,False
LEAN-THA-40G-V1 | Lean Protein Single Serve | 1 x 40g Sachet (1 serving) / Thai Milk Tea,CLEAR-PEA-25G-V2 | Clear Protein Single Serve | 1 x 25g (1 serving) / Peach,26,91,110,7564,0.003437334743521946,0.012030671602326811,0.014542570068746695,0.2857142857142857,19.646753246753246,0.0032623778587710273,1.3796404019037545,sku_flavor,26,0.11538461538461539,1797.0549999999998,0.0,,,,,,,,,,,False
CLEAR-PEA-25G-V2 | Clear Protein Single Serve | 1 x 25g (1 serving) / Peach,LEAN-THA-40G-V1 | Lean Protein Single Serve | 1 x 40g Sachet (1 serving) / Thai Milk Tea,26,110,91,7564,0.003437334743521946,0.014542570068746695,0.012030671602326811,0.23636363636363636,19.646753246753246,0.0032623778587710273,1.2937693586160004,sku_flavor,26,0.11538461538461539,1797.0549999999998,0.0,,,,,,,,,,,False
LEAN-TAR-40G-V1 | Lean Protein Single Serve | 1 x 40g Sachet (1 serving) / Taro,CLEAR-GRA-25G-V2 | Clear Protein Single Serve | 1 x 25g (1 serving) / White Grape,16,74,86,7564,0.0021152829190904283,0.00978318350079323,0.011369645690111053,0.21621621621621623,19.016970458830926,0.002004051588965069,1.2613559692919274,sku_flavor,17,0.17647058823529413,2680.0899999999997,0.0,,,,,,,,,,,False
CLEAR-GRA-25G-V2 | Clear Protein Single Serve | 1 x 25g (1 serving) / White Grape,LEAN-TAR-40G-V1 | Lean Protein Single Serve | 1 x 40g Sachet (1 serving) / Taro,16,86,74,7564,0.0021152829190904283,0.011369645690111053,0.00978318350079323,0.18604651162790697,19.016970458830926,0.002004051588965069,1.2165520888418826,sku_flavor,17,0.17647058823529413,2680.0899999999997,0.0,,,,,,,,,,,False
