antecedent,consequent,co_customers,antecedent_first_customers,consequent_base_rate,next_order_confidence,next_order_lift,level,repeat_customers_analyzed
Soy Protein,Soy Protein,91,143,0.06307895897662108,0.6363636363636364,10.08836617927527,category,2267
Collagen Glow,Collagen Glow,209,312,0.14027348919276578,0.6698717948717948,4.775469682309304,category,2267
Lean Protein,Lean Protein,371,541,0.25893250992501105,0.6857670979667283,2.648439541891947,category,2267
Clear Protein,Clear Protein,365,621,0.22761358623731803,0.5877616747181964,2.582278520515797,category,2267
Accessories,Accessories,92,434,0.12483458314953683,0.2119815668202765,1.6980996889808015,category,2267
Clear Protein,Accessories,121,621,0.12483458314953683,0.19484702093397746,1.5608416835947947,category,2267
Other,Other,960,1198,0.5152183502426114,0.8013355592654424,1.5553319459372927,category,2267
Accessories,Lean Protein,157,434,0.25893250992501105,0.3617511520737327,1.397086646935523,category,2267
Accessories,Clear Protein,133,434,0.22761358623731803,0.3064516129032258,1.34636784196049,category,2267
Lean Protein,Accessories,86,541,0.12483458314953683,0.1589648798521257,1.2734041788861095,category,2267
Clear Protein,Lean Protein,196,621,0.25893250992501105,0.31561996779388085,1.218927541718446,category,2267
Lean Protein,Clear Protein,135,541,0.22761358623731803,0.24953789279112754,1.0963224863517174,category,2267
Soy Protein,Accessories,18,143,0.12483458314953683,0.1258741258741259,1.0083273616842523,category,2267
Other,Soy Protein,65,1198,0.06307895897662108,0.05425709515859766,0.8601456973744119,category,2267
Accessories,Collagen Glow,52,434,0.14027348919276578,0.11981566820276497,0.8541576094832333,category,2267
Accessories,Soy Protein,23,434,0.06307895897662108,0.052995391705069124,0.8401437272405015,category,2267
Accessories,Other,177,434,0.5152183502426114,0.4078341013824885,0.7915752635565936,category,2267
Collagen Glow,Accessories,30,312,0.12483458314953683,0.09615384615384616,0.7702500679532482,category,2267
Collagen Glow,Soy Protein,15,312,0.06307895897662108,0.04807692307692308,0.7621705217859065,category,2267
Other,Accessories,113,1198,0.12483458314953683,0.09432387312186978,0.7555908846900311,category,2267
Soy Protein,Collagen Glow,15,143,0.14027348919276578,0.1048951048951049,0.7477899459031534,category,2267
Other,Collagen Glow,120,1198,0.14027348919276578,0.1001669449081803,0.7140832204617759,category,2267
Collagen Glow,Other,114,312,0.5152183502426114,0.36538461538461536,0.7091840094836669,category,2267
Soy Protein,Other,51,143,0.5152183502426114,0.35664335664335667,0.6922178848548711,category,2267
Clear Protein,Collagen Glow,60,621,0.14027348919276578,0.0966183574879227,0.6887855862425181,category,2267
Collagen Glow,Clear Protein,46,312,0.22761358623731803,0.14743589743589744,0.6477464718743788,category,2267
Lean Protein,Collagen Glow,46,541,0.14027348919276578,0.08502772643253234,0.6061567793161975,category,2267
Other,Lean Protein,174,1198,0.25893250992501105,0.14524207011686144,0.5609263593780662,category,2267
Clear Protein,Other,176,621,0.5152183502426114,0.2834138486312399,0.5500849270950521,category,2267
Lean Protein,Other,152,541,0.5152183502426114,0.2809611829944547,0.5453244878839287,category,2267
Collagen Glow,Lean Protein,40,312,0.25893250992501105,0.1282051282051282,0.49512951557244567,category,2267
Other,Clear Protein,131,1198,0.22761358623731803,0.10934891485809682,0.48041470926997193,category,2267
Clear Protein,Soy Protein,16,621,0.06307895897662108,0.02576489533011272,0.4084546693242346,category,2267
better-whey-protein-elite,better-whey-protein-elite,28,45,0.025191183085919926,0.6222222222222222,24.700000000000003,handle,2223
prime-whey-isolate,prime-whey-isolate,96,150,0.05713000449842555,0.64,11.202519685039372,handle,2223
soy-protein-isolate,soy-protein-isolate,91,143,0.06477732793522267,0.6363636363636364,9.823863636363637,handle,2223
plant-protein,plant-protein,144,206,0.08906882591093117,0.6990291262135923,7.84819064430715,handle,2223
lushprotein-lean-protein-40g-single-serve,lushprotein-lean-protein-40g-single-serve,22,121,0.03418803418803419,0.18181818181818182,5.3181818181818175,handle,2223
collagen-glow,collagen-glow,209,302,0.14080071974808817,0.6920529801324503,4.9151238812601825,handle,2223
micronized-creatine-monohydrate,micronized-creatine-monohydrate,104,194,0.11246063877642826,0.5360824742268041,4.766845360824742,handle,2223
better-whey,better-whey,393,559,0.21592442645074225,0.7030411449016101,3.2559593023255813,handle,2223
lushprotein-lean-protein-40g-single-serve,lean-protein,82,121,0.22807017543859648,0.6776859504132231,2.971392244119517,handle,2223
clear-protein,discovery-sampler,19,552,0.012145748987854251,0.034420289855072464,2.8339371980676327,handle,2223
clear-protein,clear-protein,323,552,0.206927575348628,0.5851449275362319,2.8277764650283554,handle,2223
lean-protein,lean-protein,262,417,0.22807017543859648,0.6282973621103117,2.754842280022136,handle,2223
lushprotein-clear-shaker,clear-protein-25g-single-sachet,28,425,0.03013945119208277,0.06588235294117648,2.1859174714661984,handle,2223
lean-protein,clear-protein-25g-single-sachet,25,417,0.03013945119208277,0.05995203836930456,1.9891549447009558,handle,2223
clear-protein-25g-single-sachet,lean-protein,30,67,0.22807017543859648,0.44776119402985076,1.9632606199770382,handle,2223
