level,item,appears_in_rules,total_co_orders,wtd_repeat_uplift,wtd_subscription_uplift,wtd_ltv_ratio,anchor_score
category,Clear Protein,2,682,0.2279820681158756,0.12908196801230154,2.4020261968963235,1.0
category,Accessories,4,1446,0.2029490808736474,0.11675411400991716,2.1575310293352308,0.47164591977869963
category,Lean Protein,2,764,0.18060288022024482,0.10574940664129653,1.9392774897060876,0.0
handle,green-tea-extract-capsules,2,58,0.37128915473004875,0.08761215173933576,13.165612626463068,0.8378034160181536
handle,pureburn-fat-burner-capsules,2,58,0.37128915473004875,0.08761215173933576,13.165612626463068,0.8378034160181536
handle,lean-protein-peach-oolong-pre-order,1,30,0.339470972911867,0.09215760628479025,1.7665028350745773,0.783055844650918
handle,lean-protein,2,554,0.22975069319158728,0.14915061327779724,2.260656133912952,0.7031703873569877
handle,lushprotein-clear-shaker,7,878,0.22555960650701723,0.10697791032614497,3.376241207157182,0.5832266231568165
handle,discovery-sampler,1,40,0.2071865906274847,0.04145830558548955,11.64120461383751,0.3720057025036382
handle,lushprotein-lean-protein-40g-single-serve,4,384,0.16205516969065134,0.0029857112172766522,4.403339551648709,0.1759556276687613
handle,clear-protein-25g-single-sachet,3,274,0.13287213784587862,-0.04055270854231286,4.462909395237564,0.0
